,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AGCJ-105-501,62,7,0,0,0,69,3.898,0,0,0,0,0,69,WALTHER D
,89.86%,10.14%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-105-502,18,1,0,0,0,19,3.947,0,0,0,0,0,19,WALTHER D
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,80,8,0,0,0,88,3.909,0,0,0,0,0,88,
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-281-599,17,11,6,0,1,35,3.228,0,0,0,3,0,38,LEGGETTE H
,48.57%,31.43%,17.14%,0.00%,2.86%,,,,,,,,,
AGCJ-281-700,11,11,0,0,0,22,3.5,0,0,0,3,0,25,LEGGETTE H
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,22,6,0,1,57,3.333,0,0,0,6,0,63,
,49.12%,38.60%,10.53%,0.00%,1.75%,,,,,,,,,
AGCJ-305-599,11,11,0,1,2,25,3.12,0,0,0,1,0,26,LEGGETTE H
,44.00%,44.00%,0.00%,4.00%,8.00%,,,,,,,,,
AGCJ-305-700,6,10,2,1,2,21,2.809,0,0,0,2,0,23,LEGGETTE H
,28.57%,47.62%,9.52%,4.76%,9.52%,,,,,,,,,
COURSE TOTAL:,17,21,2,2,4,46,2.978,0,0,0,3,0,49,
,36.96%,45.65%,4.35%,4.35%,8.70%,,,,,,,,,
AGCJ-307-501,17,7,1,0,1,26,3.5,0,0,0,0,0,26,RUTHERFORD T
,65.38%,26.92%,3.85%,0.00%,3.85%,,,,,,,,,
AGCJ-307-700,7,5,6,1,2,21,2.666,0,0,0,1,0,22,RUTHERFORD T
,33.33%,23.81%,28.57%,4.76%,9.52%,,,,,,,,,
COURSE TOTAL:,24,12,7,1,3,47,3.127,0,0,0,1,0,48,
,51.06%,25.53%,14.89%,2.13%,6.38%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AGCJ-308-501,19,3,0,0,0,22,3.863,0,0,0,0,0,22,REDWINE T
,86.36%,13.64%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,3,0,0,0,22,3.863,0,0,0,0,0,22,
,86.36%,13.64%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-312-501,41,0,2,0,0,43,3.906,0,0,0,0,0,43,WALTHER D
,95.35%,0.00%,4.65%,0.00%,0.00%,,,,,,,,,
