,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,ACADEMIC ENHANCEMENT-GV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CAEN-101-401,11,14,2,0,0,27,3.333,0,0,0,0,0,27,UDOETUK M
,40.74%,51.85%,7.41%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,14,2,0,0,27,3.333,0,0,0,0,0,27,
,40.74%,51.85%,7.41%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,11,14,2,0,0,27,3.333,0,0,0,0,0,27,
,40.74%,51.85%,7.41%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ANTH-202-401,8,11,5,0,0,24,3.125,0,0,0,1,0,25,PEARL F
,33.33%,45.83%,20.83%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,11,5,0,0,24,3.125,0,0,0,1,0,25,
,33.33%,45.83%,20.83%,0.00%,0.00%,,,,,,,,,
ANTH-210-401,40,3,1,0,0,44,3.886,0,0,0,1,1,46,PEARL F
,90.91%,6.82%,2.27%,0.00%,0.00%,,,,,,,,,
ANTH-210-402,14,16,2,0,6,38,2.842,0,0,0,2,0,40,FURTH B
,36.84%,42.11%,5.26%,0.00%,15.79%,,,,,,,,,
COURSE TOTAL:,54,19,3,0,6,82,3.402,0,0,0,3,1,86,
,65.85%,23.17%,3.66%,0.00%,7.32%,,,,,,,,,
ANTH-316-401,19,20,5,0,1,45,3.244,0,0,0,1,0,46,MARK S
,42.22%,44.44%,11.11%,0.00%,2.22%,,,,,,,,,
COURSE TOTAL:,19,20,5,0,1,45,3.244,0,0,0,1,0,46,
,42.22%,44.44%,11.11%,0.00%,2.22%,,,,,,,,,
ARTS-150-401,35,2,1,0,0,38,3.894,0,0,0,1,0,39,KRESS L
,92.11%,5.26%,2.63%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,35,2,1,0,0,38,3.894,0,0,0,1,0,39,
,92.11%,5.26%,2.63%,0.00%,0.00%,,,,,,,,,
COMM-203-401,24,0,0,0,0,24,4,0,0,0,0,0,24,HENDON E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COMM-203-402,23,0,0,1,0,24,3.875,0,0,0,0,0,24,HENDON E
,95.83%,0.00%,0.00%,4.17%,0.00%,,,,,,,,,
COMM-203-403,5,10,4,0,1,20,2.9,0,0,0,1,0,21,VISER V
,25.00%,50.00%,20.00%,0.00%,5.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,52,10,4,1,1,68,3.632,0,0,0,1,0,69,
,76.47%,14.71%,5.88%,1.47%,1.47%,,,,,,,,,
COMM-365-401,7,5,1,0,1,14,3.214,0,0,0,2,0,16,VISER V
,50.00%,35.71%,7.14%,0.00%,7.14%,,,,,,,,,
COURSE TOTAL:,7,5,1,0,1,14,3.214,0,0,0,2,0,16,
,50.00%,35.71%,7.14%,0.00%,7.14%,,,,,,,,,
DIVE-250-401,5,5,1,1,0,12,3.166,0,0,0,0,0,12,WILLIAMS S
,41.67%,41.67%,8.33%,8.33%,0.00%,,,,,,,,,
DIVE-250-402,4,3,0,0,1,8,3.125,2,0,0,0,0,10,WILLIAMS S
,50.00%,37.50%,0.00%,0.00%,12.50%,,,,,,,,,
DIVE-250-403,8,1,0,0,0,9,3.888,0,0,0,0,0,9,WILLIAMS S
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
DIVE-250-404,6,4,1,1,0,12,3.25,1,0,0,0,0,13,WILLIAMS S
,50.00%,33.33%,8.33%,8.33%,0.00%,,,,,,,,,
DIVE-250-405,5,2,1,0,0,8,3.5,1,0,0,1,0,10,WILLIAMS S
,62.50%,25.00%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,15,3,2,1,49,3.367,4,0,0,1,0,54,
,57.14%,30.61%,6.12%,4.08%,2.04%,,,,,,,,,
DIVE-251-401,10,1,0,0,0,11,3.909,0,0,0,0,0,11,EURESTI V
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
DIVE-251-402,8,3,1,0,0,12,3.583,0,0,0,0,0,12,EURESTI V
,66.67%,25.00%,8.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,4,1,0,0,23,3.739,0,0,0,0,0,23,
,78.26%,17.39%,4.35%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DIVE-330-401,10,1,0,0,0,11,3.909,0,0,0,0,0,11,BOSQUEZ J
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
DIVE-330-403,7,3,0,0,0,10,3.7,0,0,0,0,0,10,BOSQUEZ J
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,4,0,0,0,21,3.809,0,0,0,0,0,21,
,80.95%,19.05%,0.00%,0.00%,0.00%,,,,,,,,,
DIVE-331-401,7,2,0,0,0,9,3.777,0,0,0,0,1,10,WHITE L
,77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,2,0,0,0,9,3.777,0,0,0,0,1,10,
,77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
DIVE-357-401,11,1,0,0,0,12,3.916,0,0,0,0,0,12,WHITE L
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,1,0,0,0,12,3.916,0,0,0,0,0,12,
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-104-401,9,7,1,2,0,19,3.21,0,0,0,1,0,20,ECHOLS K
,47.37%,36.84%,5.26%,10.53%,0.00%,,,,,,,,,
ENGL-104-402,10,6,1,0,1,18,3.333,0,0,0,2,0,20,ECHOLS K
