,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ATMO-201-501,83,69,13,0,0,165,3.424,0,0,0,4,0,169,LOGAN T
,50.30%,41.82%,7.88%,0.00%,0.00%,,,,,,,,,
ATMO-201-502,30,22,9,4,0,65,3.2,1,0,0,2,0,68,CONLEE D
,46.15%,33.85%,13.85%,6.15%,0.00%,,,,,,,,,
ATMO-201-503,39,16,4,1,0,60,3.55,0,0,0,1,0,61,BROOKS S
,65.00%,26.67%,6.67%,1.67%,0.00%,,,,,,,,,
ATMO-201-504,41,21,5,0,0,67,3.537,0,0,0,2,0,69,LOGAN T
,61.19%,31.34%,7.46%,0.00%,0.00%,,,,,,,,,
ATMO-201-505,11,28,4,2,1,46,3,0,0,0,2,0,48,SCHADE G
,23.91%,60.87%,8.70%,4.35%,2.17%,,,,,,,,,
ATMO-201-506,73,81,13,0,0,167,3.359,0,0,0,2,0,169,LOGAN T
,43.71%,48.50%,7.78%,0.00%,0.00%,,,,,,,,,
ATMO-201-507,10,10,8,0,0,28,3.071,0,0,0,0,0,28,KORTY R
,35.71%,35.71%,28.57%,0.00%,0.00%,,,,,,,,,
ATMO-201-508,18,31,8,2,0,59,3.101,0,0,0,1,0,60,BOWMAN K
,30.51%,52.54%,13.56%,3.39%,0.00%,,,,,,,,,
COURSE TOTAL:,305,278,64,9,1,657,3.334,1,0,0,14,0,672,
,46.42%,42.31%,9.74%,1.37%,0.15%,,,,,,,,,
ATMO-202-501,18,3,0,0,1,22,3.681,0,0,0,0,0,22,LOGAN T
,81.82%,13.64%,0.00%,0.00%,4.55%,,,,,,,,,
ATMO-202-502,20,4,0,1,0,25,3.72,0,0,0,0,0,25,LOGAN T
,80.00%,16.00%,0.00%,4.00%,0.00%,,,,,,,,,
ATMO-202-504,14,6,3,0,0,23,3.478,0,0,0,0,0,23,LOGAN T
,60.87%,26.09%,13.04%,0.00%,0.00%,,,,,,,,,
ATMO-202-506,15,4,2,0,0,21,3.619,0,0,0,0,0,21,LOGAN T
,71.43%,19.05%,9.52%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ATMO-202-507,8,2,1,0,1,12,3.333,0,0,0,0,0,12,LOGAN T
,66.67%,16.67%,8.33%,0.00%,8.33%,,,,,,,,,
ATMO-202-508,12,2,1,0,0,15,3.733,0,0,0,0,0,15,LOGAN T
,80.00%,13.33%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,87,21,7,1,2,118,3.61,0,0,0,0,0,118,
