,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BIMS-101-501,109,12,0,0,1,122,3.868,0,0,0,1,0,123,PATTERSON C
,89.34%,9.84%,0.00%,0.00%,0.82%,,,,,,,,,
BIMS-101-502,116,5,0,0,1,122,3.926,0,0,0,0,0,122,PATTERSON C
,95.08%,4.10%,0.00%,0.00%,0.82%,,,,,,,,,
BIMS-101-503,105,13,1,0,2,121,3.809,0,0,0,2,0,123,IVANOV I
,86.78%,10.74%,0.83%,0.00%,1.65%,,,,,,,,,
BIMS-101-504,95,18,7,0,3,123,3.642,0,0,0,0,0,123,IVANOV I
,77.24%,14.63%,5.69%,0.00%,2.44%,,,,,,,,,
COURSE TOTAL:,425,48,8,0,7,488,3.811,0,0,0,3,0,491,
,87.09%,9.84%,1.64%,0.00%,1.43%,,,,,,,,,
BIMS-110-501,88,10,2,0,0,100,3.86,0,0,0,1,0,101,YOUNG C
,88.00%,10.00%,2.00%,0.00%,0.00%,,,,,,,,,
BIMS-110-502,84,12,1,1,0,98,3.826,0,0,0,1,0,99,YOUNG C
,85.71%,12.24%,1.02%,1.02%,0.00%,,,,,,,,,
COURSE TOTAL:,172,22,3,1,0,198,3.843,0,0,0,2,0,200,
,86.87%,11.11%,1.52%,0.51%,0.00%,,,,,,,,,
BIMS-320-201,11,1,0,0,0,12,3.916,0,0,0,0,0,12,SKOW L
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-320-501,23,21,7,2,1,54,3.166,0,0,0,2,0,56,SAMOLLOW P
,42.59%,38.89%,12.96%,3.70%,1.85%,,,,,,,,,
BIMS-320-502,31,20,4,1,0,56,3.446,0,0,0,0,0,56,DINDOT S
,55.36%,35.71%,7.14%,1.79%,0.00%,,,,,,,,,
BIMS-320-503,44,11,1,1,0,57,3.719,0,0,0,0,0,57,RAUDSEPP T
,77.19%,19.30%,1.75%,1.75%,0.00%,,,,,,,,,
COURSE TOTAL:,109,53,12,4,1,179,3.48,0,0,0,2,0,181,
,60.89%,29.61%,6.70%,2.23%,0.56%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BIMS-405-500,12,11,3,1,0,27,3.259,0,0,0,0,0,27,WOMACK J
,44.44%,40.74%,11.11%,3.70%,0.00%,,,,,,,,,
COURSE TOTAL:,12,11,3,1,0,27,3.259,0,0,0,0,0,27,
,44.44%,40.74%,11.11%,3.70%,0.00%,,,,,,,,,
