,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-912-301,134,0,0,0,0,134,4,0,0,0,0,0,134,BLUE MCLENDON A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,134,0,0,0,0,134,4,0,0,0,0,0,134,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-915-301,128,6,0,0,0,134,3.955,0,0,0,0,0,134,BEAVER B
,95.52%,4.48%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,128,6,0,0,0,134,3.955,0,0,0,0,0,134,
,95.52%,4.48%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-921-301,130,0,0,0,0,130,4,0,0,0,0,0,130,POSEY R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,130,0,0,0,0,130,4,0,0,0,0,0,130,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-925-301,41,72,14,2,2,131,3.129,0,0,0,0,0,131,GRIFFIN J
,31.30%,54.96%,10.69%,1.53%,1.53%,,,,,,,,,
COURSE TOTAL:,41,72,14,2,2,131,3.129,0,0,0,0,0,131,
,31.30%,54.96%,10.69%,1.53%,1.53%,,,,,,,,,
VMID-935-301,122,9,0,0,0,131,3.931,0,0,0,0,0,131,STICKNEY M
,93.13%,6.87%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,122,9,0,0,0,131,3.931,0,0,0,0,0,131,
,93.13%,6.87%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-950-301,100,29,1,0,0,130,3.761,0,0,0,0,0,130,JONES M
,76.92%,22.31%,0.77%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,100,29,1,0,0,130,3.761,0,0,0,0,0,130,
,76.92%,22.31%,0.77%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,655,116,15,2,2,790,3.789,0,0,0,0,0,790,
,82.91%,14.68%,1.90%,0.25%,0.25%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2016,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET INTEGRATIVE BIOSCIENCES,,,,,TOTAL,,,,,,,,
