,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,BUSH SCHOOL OF GOVT. - DEANS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BUSH-602-600,9,6,0,0,1,16,0,0,0,0,2,0,18,RAISOR C
,56.25%,37.50%,0.00%,0.00%,6.25%,,,,,,,,,
COURSE TOTAL:,9,6,0,0,1,16,Error,0,0,0,2,0,18,
,56.25%,37.50%,0.00%,0.00%,6.25%,,,,,,,,,
BUSH-631-601,9,5,1,0,1,16,3.312,0,0,0,0,1,17,CARROLL K
,56.25%,31.25%,6.25%,0.00%,6.25%,,,,,,,,,
BUSH-631-602,13,3,1,1,1,19,3.368,0,0,0,0,0,19,CARROLL K
,68.42%,15.79%,5.26%,5.26%,5.26%,,,,,,,,,
BUSH-631-603,9,8,0,0,0,17,3.529,1,0,0,0,0,18,LAHEY J
,52.94%,47.06%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-604,15,2,1,0,0,18,3.777,0,0,0,0,0,18,HANNIBAL B
,83.33%,11.11%,5.56%,0.00%,0.00%,,,,,,,,,
BUSH-631-605,15,8,3,0,0,26,3.461,0,0,0,2,0,28,SELLARS E
,57.69%,30.77%,11.54%,0.00%,0.00%,,,,,,,,,
BUSH-631-606,8,6,0,0,0,14,3.571,0,0,0,0,0,14,HAMIE C
,57.14%,42.86%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-607,12,4,0,0,0,16,3.75,0,0,0,0,0,16,NIELSEN R
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-700,13,4,1,0,0,18,3.666,1,0,0,0,0,19,HANNIBAL B
,72.22%,22.22%,5.56%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,94,40,7,1,2,144,3.548,2,0,0,2,1,149,
,65.28%,27.78%,4.86%,0.69%,1.39%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,BUSH SCHOOL OF GOVT. - DEANS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,103,46,7,1,3,160,3.548,2,0,0,4,1,167,
,64.38%,28.75%,4.38%,0.63%,1.88%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
INTA-601-601,9,8,0,0,0,17,3.529,0,0,0,0,0,17,SCHUESSLER J
,52.94%,47.06%,0.00%,0.00%,0.00%,,,,,,,,,
INTA-601-602,10,11,0,0,0,21,3.476,0,0,0,0,0,21,SCHUESSLER J
,47.62%,52.38%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,19,0,0,0,38,3.5,0,0,0,0,0,38,
