,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-209-501,135,159,106,12,5,417,2.976,1,0,0,16,0,434,STASNY M
,32.37%,38.13%,25.42%,2.88%,1.20%,,,,,,,,,
ACCT-209-502,130,150,118,13,2,413,2.951,0,0,0,19,0,432,STASNY M
,31.48%,36.32%,28.57%,3.15%,0.48%,,,,,,,,,
ACCT-209-503,0,8,16,0,0,24,2.333,0,0,0,0,0,24,STASNY M
,0.00%,33.33%,66.67%,0.00%,0.00%,,,,,,,,,
ACCT-209-504,7,5,11,0,0,23,2.826,0,0,0,1,0,24,STASNY M
,30.43%,21.74%,47.83%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,272,322,251,25,7,877,2.942,1,0,0,36,0,914,
,31.01%,36.72%,28.62%,2.85%,0.80%,,,,,,,,,
ACCT-210-501,16,8,11,5,2,42,2.738,0,0,0,12,0,54,STRAWSER R
,38.10%,19.05%,26.19%,11.90%,4.76%,,,,,,,,,
ACCT-210-502,18,13,14,6,4,55,2.636,0,0,0,2,1,58,STRAWSER R
,32.73%,23.64%,25.45%,10.91%,7.27%,,,,,,,,,
COURSE TOTAL:,34,21,25,11,6,97,2.68,0,0,0,14,1,112,
,35.05%,21.65%,25.77%,11.34%,6.19%,,,,,,,,,
ACCT-229-201,17,9,0,0,0,26,3.653,0,0,0,0,0,26,BENJAMIN J
,65.38%,34.62%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-229-202,12,6,1,1,0,20,3.45,0,0,0,0,0,20,STRAWSER J
,60.00%,30.00%,5.00%,5.00%,0.00%,,,,,,,,,
ACCT-229-501,8,13,7,8,0,36,2.583,0,0,0,8,0,44,BARRETT J
,22.22%,36.11%,19.44%,22.22%,0.00%,,,,,,,,,
ACCT-229-502,7,12,15,5,0,39,2.538,0,0,0,5,0,44,BARRETT J
,17.95%,30.77%,38.46%,12.82%,0.00%,,,,,,,,,
ACCT-229-503,11,13,11,7,0,42,2.666,0,0,0,2,0,44,BARRETT J
,26.19%,30.95%,26.19%,16.67%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-229-504,33,38,26,15,0,112,2.794,0,0,0,14,0,126,KNOOP J
,29.46%,33.93%,23.21%,13.39%,0.00%,,,,,,,,,
ACCT-229-505,12,20,13,12,4,61,2.393,0,0,0,7,0,68,FARMER K
,19.67%,32.79%,21.31%,19.67%,6.56%,,,,,,,,,
ACCT-229-506,14,18,17,10,4,63,2.444,0,0,0,5,0,68,CLARKE M
,22.22%,28.57%,26.98%,15.87%,6.35%,,,,,,,,,
ACCT-229-507,11,9,12,6,1,39,2.589,0,0,0,7,0,46,GRADY M
,28.21%,23.08%,30.77%,15.38%,2.56%,,,,,,,,,
ACCT-229-508,4,12,16,4,3,39,2.256,0,0,0,22,0,61,HEAD M
,10.26%,30.77%,41.03%,10.26%,7.69%,,,,,,,,,
ACCT-229-509,11,15,12,6,3,47,2.531,0,0,0,20,0,67,HEAD M
