,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
OBIO-611-600,23,11,1,0,0,35,3.628,1,0,0,0,0,36,BUSCHANG P
,65.71%,31.43%,2.86%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,11,1,0,0,35,3.628,1,0,0,0,0,36,
,65.71%,31.43%,2.86%,0.00%,0.00%,,,,,,,,,
OBIO-630-600,23,0,0,0,0,23,4,0,0,0,0,0,23,RUEST L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,0,0,0,0,23,4,0,0,0,0,0,23,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-631-600,25,2,0,0,0,27,3.928,0,0,0,0,0,27,RUEST L
,92.59%,7.41%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,2,0,0,0,27,3.928,0,0,0,0,0,27,
,92.59%,7.41%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-634-600,5,0,0,0,0,5,4,0,0,0,0,0,5,LIU X
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4,0,0,0,0,0,5,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-643-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,FENG J
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6,3.833,0,0,0,0,0,6,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-674-600,21,0,0,0,0,21,4,0,0,0,0,0,21,NEWMAN J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,0,0,0,0,21,4,0,0,0,0,0,21,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
OBIO-687-600,6,1,0,0,0,7,3.913,1,0,0,0,0,8,SVOBODA K
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.913,1,0,0,0,0,8,
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-688-600,7,0,0,0,0,7,4,0,0,0,0,0,7,SVOBODA K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4,0,0,0,0,0,7,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,115,15,1,0,0,131,3.849,2,0,0,0,0,133,
,87.79%,11.45%,0.76%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,DENTAL HYGIENE,,,,,TOTAL,,,,,,,,
