,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
LAW-689-603,16,3,2,0,0,21,3.666,0,0,0,0,0,21,MCGRATH J
,76.19%,14.29%,9.52%,0.00%,0.00%,,,,,,,,,
LAW-689-700,13,11,1,1,0,26,3.384,0,0,0,0,0,26,HARNESS N
,50.00%,42.31%,3.85%,3.85%,0.00%,,,,,,,,,
LAW-689-701,25,0,0,0,1,26,3.846,0,0,0,0,0,26,POLAK S
,96.15%,0.00%,0.00%,0.00%,3.85%,,,,,,,,,
LAW-689-702,22,2,1,0,1,26,3.692,0,0,0,0,0,26,MANHIRE J
,84.62%,7.69%,3.85%,0.00%,3.85%,,,,,,,,,
COURSE TOTAL:,76,16,4,1,2,99,3.642,0,0,0,0,0,99,
,76.77%,16.16%,4.04%,1.01%,2.02%,,,,,,,,,
DEPARTMENT TOTAL:,76,16,4,1,2,99,3.642,0,0,0,0,0,99,
,76.77%,16.16%,4.04%,1.01%,2.02%,,,,,,,,,
COLLEGE TOTAL:,76,16,4,1,2,99,3.642,0,0,0,0,0,99,
,76.77%,16.16%,4.04%,1.01%,2.02%,,,,,,,,,
