,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERS-101-501,18,9,1,1,0,29,3.517,0,0,0,0,0,29,TATER C
,62.07%,31.03%,3.45%,3.45%,0.00%,,,,,,,,,
AERS-101-502,20,7,0,0,0,27,3.74,0,0,0,0,0,27,TATER C
,74.07%,25.93%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-101-503,19,7,0,0,0,26,3.73,0,0,0,1,0,27,TATER C
,73.08%,26.92%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-101-504,19,7,1,0,0,27,3.666,0,0,0,0,0,27,TATER C
,70.37%,25.93%,3.70%,0.00%,0.00%,,,,,,,,,
AERS-101-505,19,7,0,1,1,28,3.5,0,0,0,0,0,28,TATER C
,67.86%,25.00%,0.00%,3.57%,3.57%,,,,,,,,,
AERS-101-507,20,8,1,1,0,30,3.566,0,0,0,0,0,30,TATER C
,66.67%,26.67%,3.33%,3.33%,0.00%,,,,,,,,,
AERS-101-508,21,7,0,0,0,28,3.75,0,0,0,0,0,28,TATER C
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-101-509,23,2,1,0,0,26,3.846,0,0,0,0,0,26,TATER C
,88.46%,7.69%,3.85%,0.00%,0.00%,,,,,,,,,
AERS-101-510,21,4,1,0,0,26,3.769,0,0,0,0,0,26,TATER C
,80.77%,15.38%,3.85%,0.00%,0.00%,,,,,,,,,
AERS-101-511,21,5,0,0,1,27,3.666,0,0,0,0,0,27,TATER C
,77.78%,18.52%,0.00%,0.00%,3.70%,,,,,,,,,
AERS-101-512,14,5,0,0,0,19,3.736,0,0,0,0,0,19,TATER C
,73.68%,26.32%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,215,68,5,3,2,293,3.675,0,0,0,1,0,294,
,73.38%,23.21%,1.71%,1.02%,0.68%,,,,,,,,,
AERS-201-501,29,0,0,0,1,30,3.866,0,0,0,0,0,30,PETTIT B
,96.67%,0.00%,0.00%,0.00%,3.33%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERS-201-502,29,1,0,0,0,30,3.966,0,0,0,0,0,30,PETTIT B
,96.67%,3.33%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-201-503,31,0,0,0,0,31,4,0,0,0,0,0,31,PETTIT B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-201-505,32,0,0,0,0,32,4,0,0,0,0,0,32,PETTIT B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-201-506,30,1,0,0,0,31,3.967,0,0,0,0,0,31,PETTIT B
,96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-201-507,31,0,0,0,0,31,4,0,0,0,0,0,31,PETTIT B
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-201-510,28,2,0,0,0,30,3.933,0,0,0,0,0,30,PETTIT B
,93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
