,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
FORS-603-700,4,1,0,0,0,5,3.8,0,0,0,0,0,5,CHARLES L
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.8,0,0,0,0,0,5,
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-305-500,48,1,0,0,0,49,3.979,0,0,0,0,0,49,KOSAREK J
,97.96%,2.04%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-305-501,20,0,0,0,0,20,4,0,0,0,0,0,20,KOSAREK J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,68,1,0,0,0,69,3.985,0,0,0,0,0,69,
,98.55%,1.45%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-312-500,23,2,0,0,0,25,3.92,0,0,0,0,0,25,BRUCE R
,92.00%,8.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-312-501,9,11,0,0,0,20,3.45,0,0,0,0,0,20,BRUCE R
,45.00%,55.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,32,13,0,0,0,45,3.711,0,0,0,0,0,45,
,71.11%,28.89%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-313-500,5,18,1,0,0,24,3.166,1,0,0,0,0,25,MULCAHY A
,20.83%,75.00%,4.17%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,18,1,0,0,24,3.166,1,0,0,0,0,25,
,20.83%,75.00%,4.17%,0.00%,0.00%,,,,,,,,,
NURS-314-900,32,16,1,0,0,49,3.632,1,0,0,0,0,50,CONTRERAS N
,65.31%,32.65%,2.04%,0.00%,0.00%,,,,,,,,,
NURS-314-901,6,13,1,0,0,20,3.25,0,0,0,0,0,20,CONTRERAS N
,30.00%,65.00%,5.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,38,29,2,0,0,69,3.521,1,0,0,0,0,70,
,55.07%,42.03%,2.90%,0.00%,0.00%,,,,,,,,,
NURS-315-500,37,11,0,0,0,48,3.77,0,0,0,0,0,48,SEABACK W
,77.08%,22.92%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-315-501,10,9,0,0,0,19,3.526,0,0,0,0,0,19,SEABACK W
,52.63%,47.37%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,47,20,0,0,0,67,3.701,0,0,0,0,0,67,
,70.15%,29.85%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-316-500,8,30,7,1,0,46,2.978,1,0,0,3,0,50,HOFFMAN M
,17.39%,65.22%,15.22%,2.17%,0.00%,,,,,,,,,
NURS-316-501,4,8,4,2,0,18,2.777,0,0,0,3,0,21,HOFFMAN M
,22.22%,44.44%,22.22%,11.11%,0.00%,,,,,,,,,
COURSE TOTAL:,12,38,11,3,0,64,2.921,1,0,0,6,0,71,
,18.75%,59.38%,17.19%,4.69%,0.00%,,,,,,,,,
