,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-605-300,77,0,0,0,1,78,3.948,0,0,0,0,78,JOSEPH M
,98.72%,0.00%,0.00%,0.00%,1.28%,,,,,,,,
PHAR-605-301,41,0,0,0,0,41,4,0,0,0,0,41,JOSEPH M
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,118,0,0,0,1,119,3.966,0,0,0,0,119,
,99.16%,0.00%,0.00%,0.00%,0.84%,,,,,,,,
PHAR-610-300,27,38,11,1,1,78,3.141,0,0,0,0,78,SAWYER G
,34.62%,48.72%,14.10%,1.28%,1.28%,,,,,,,,
PHAR-610-301,19,18,4,0,0,41,3.365,0,0,0,0,41,SAWYER G
,46.34%,43.90%,9.76%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,46,56,15,1,1,119,3.218,0,0,0,0,119,
,38.66%,47.06%,12.61%,0.84%,0.84%,,,,,,,,
PHAR-626-300,14,37,25,1,1,78,2.794,0,0,0,0,78,BUSTAMANTE J
,17.95%,47.44%,32.05%,1.28%,1.28%,,,,,,,,
PHAR-626-301,9,23,8,1,0,41,2.975,0,0,0,0,41,BUSTAMANTE J
,21.95%,56.10%,19.51%,2.44%,0.00%,,,,,,,,
COURSE TOTAL:,23,60,33,2,1,119,2.857,0,0,0,0,119,
,19.33%,50.42%,27.73%,1.68%,0.84%,,,,,,,,
PHAR-627-300,9,34,30,3,2,78,2.576,0,0,0,0,78,DANIELS L
,11.54%,43.59%,38.46%,3.85%,2.56%,,,,,,,,
PHAR-627-301,12,20,7,1,1,41,3,0,0,0,0,41,DANIELS L
,29.27%,48.78%,17.07%,2.44%,2.44%,,,,,,,,
COURSE TOTAL:,21,54,37,4,3,119,2.722,0,0,0,0,119,
,17.65%,45.38%,31.09%,3.36%,2.52%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2017,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-641-300,37,21,14,4,2,78,3.115,0,0,0,0,78,NUTAN M
,47.44%,26.92%,17.95%,5.13%,2.56%,,,,,,,,
PHAR-641-301,28,8,3,1,1,41,3.487,0,0,0,0,41,NUTAN M
,68.29%,19.51%,7.32%,2.44%,2.44%,,,,,,,,
COURSE TOTAL:,65,29,17,5,3,119,3.243,0,0,0,0,119,
,54.62%,24.37%,14.29%,4.20%,2.52%,,,,,,,,
PHAR-656-300,26,45,6,1,0,78,3.23,0,0,0,0,78,MILLER M
,33.33%,57.69%,7.69%,1.28%,0.00%,,,,,,,,
PHAR-656-301,19,20,2,0,0,41,3.414,0,0,0,0,41,MILLER M
,46.34%,48.78%,4.88%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,45,65,8,1,0,119,3.294,0,0,0,0,119,
,37.82%,54.62%,6.72%,0.84%,0.00%,,,,,,,,
PHAR-671-300,70,8,0,0,0,78,3.897,0,0,0,0,78,IVY D
,89.74%,10.26%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-671-301,39,2,0,0,0,41,3.951,0,0,0,0,41,IVY D
,95.12%,4.88%,0.00%,0.00%,0.00%,,,,,,,,
