,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ARCH-205-901,15,0,0,0,0,15,4,0,0,0,1,0,16,ESQUIVEL J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-902,13,5,0,0,0,18,3.722,0,0,0,0,0,18,KIM H
,72.22%,27.78%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-903,14,1,1,0,0,16,3.812,0,0,0,0,0,16,DE LIMA VAZ XAVIER
,87.50%,6.25%,6.25%,0.00%,0.00%,,,,,,,,,
ARCH-205-904,14,3,0,0,0,17,3.823,0,0,0,1,0,18,KIM H
,82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-905,11,6,1,0,0,18,3.555,0,0,0,0,0,18,VAHDAT ZAD V
,61.11%,33.33%,5.56%,0.00%,0.00%,,,,,,,,,
ARCH-205-906,6,11,0,0,0,17,3.352,0,0,0,0,0,17,CLAYTON M
,35.29%,64.71%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-205-907,6,1,4,1,0,12,3,0,0,0,1,0,13,LUTZ S
,50.00%,8.33%,33.33%,8.33%,0.00%,,,,,,,,,
COURSE TOTAL:,79,27,6,1,0,113,3.628,0,0,0,3,0,116,
,69.91%,23.89%,5.31%,0.88%,0.00%,,,,,,,,,
ARCH-212-500,82,97,19,2,2,202,3.262,0,0,0,1,0,203,QIU L
,40.59%,48.02%,9.41%,0.99%,0.99%,,,,,,,,,
COURSE TOTAL:,82,97,19,2,2,202,3.262,0,0,0,1,0,203,
,40.59%,48.02%,9.41%,0.99%,0.99%,,,,,,,,,
ARCH-216-501,10,4,0,0,0,14,3.714,0,0,0,1,0,15,KIM H
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,4,0,0,0,14,3.714,0,0,0,1,0,15,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-246-500,18,18,1,0,0,37,3.459,0,0,0,0,0,37,GEVA A
,48.65%,48.65%,2.70%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
