,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
LAW-603-600,9,7,0,0,0,16,3.562,0,0,0,0,0,16,BURGE M
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,7,0,0,0,16,3.562,0,0,0,0,0,16,
,56.25%,43.75%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-600,10,6,0,0,0,16,3.625,0,0,0,0,0,16,HENNING W
,62.50%,37.50%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-602,17,2,0,0,0,19,3.894,0,0,0,0,0,19,MARVIN E
,89.47%,10.53%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-603,15,3,0,0,0,18,3.833,0,0,0,0,0,18,PHILLIPS S
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-604,12,4,0,0,0,16,3.75,0,0,0,0,0,16,MCGRATH J
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-700,19,0,0,0,0,19,4,0,0,0,0,0,19,GEORGE J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-702,14,1,0,0,0,15,3.933,0,0,0,0,0,15,POLAK S
,93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-703,32,16,0,0,0,48,3.666,0,0,0,0,0,48,BRILL A
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-704,42,2,0,0,0,44,3.954,2,0,0,0,0,46,KRAVITZ R
,95.45%,4.55%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-705,28,20,1,0,0,49,3.551,0,0,0,0,0,49,GUIORA A
,57.14%,40.82%,2.04%,0.00%,0.00%,,,,,,,,,
LAW-689-706,10,4,0,0,0,14,3.714,1,0,0,0,0,15,HARNESS N
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-707,13,6,0,0,0,19,3.684,2,0,0,0,0,21,KLEINFIELD D
,68.42%,31.58%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,212,64,1,0,0,277,3.72,5,0,0,0,0,282,
,76.53%,23.10%,0.36%,0.00%,0.00%,,,,,,,,,
LAW-706-700,11,7,0,0,0,18,3.611,1,0,0,0,0,19,NEWMAN N
,61.11%,38.89%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,7,0,0,0,18,3.611,1,0,0,0,0,19,
,61.11%,38.89%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,232,78,1,0,0,311,3.699,6,0,0,0,0,317,
,74.60%,25.08%,0.32%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,232,78,1,0,0,311,3.699,6,0,0,0,0,317,
,74.60%,25.08%,0.32%,0.00%,0.00%,,,,,,,,,
