,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EDHP-630-700,8,1,0,0,0,9,3.888,0,0,0,0,0,9,ARNOLD S
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,1,0,0,0,9,3.888,0,0,0,0,0,9,
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
HCPI-655-700,6,3,0,0,0,9,3.666,0,0,0,0,0,9,MCCANN A
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,3,0,0,0,9,3.666,0,0,0,0,0,9,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
MPHY-624-601,5,1,0,0,0,6,3.833,0,0,0,0,0,6,VANBUREN V
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6,3.833,0,0,0,0,0,6,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
MPIM-602-600,7,0,0,0,0,7,4,0,0,0,0,0,7,ALANIZ R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MPIM-602-601,6,0,0,0,0,6,4,0,0,0,0,0,6,ALANIZ R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4,0,0,0,0,0,13,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-601-600,3,4,0,0,0,7,3.428,0,0,0,0,0,7,ZIMMER W
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-601-603,1,5,0,0,0,6,3.166,0,0,0,0,0,6,ZIMMER W
,16.67%,83.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,9,0,0,0,13,3.307,0,0,0,0,0,13,
,30.77%,69.23%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MSCI-609-305,13,0,0,0,0,13,4,0,0,0,0,0,13,WILSON E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-609-600,15,0,0,0,0,15,4,0,0,0,0,0,15,WILSON E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,0,28,4,0,0,0,0,0,28,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MSCI-689-600,7,0,0,0,0,7,4,0,0,0,0,0,7,HUSTON D
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4,0,0,0,0,0,7,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,71,14,0,0,0,85,3.721,0,0,0,0,0,85,
,83.53%,16.47%,0.00%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,71,14,0,0,0,85,3.721,0,0,0,0,0,85,
,83.53%,16.47%,0.00%,0.00%,0.00%,,,,,,,,,
