,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEN-204-500,6,12,3,0,2,23,2.869,0,0,0,0,0,23,SALAMA G
,26.09%,52.17%,13.04%,0.00%,8.70%,,,,,,,,,
COURSE TOTAL:,6,12,3,0,2,23,2.869,0,0,0,0,0,23,
,26.09%,52.17%,13.04%,0.00%,8.70%,,,,,,,,,
CHEN-304-500,7,7,1,1,0,16,3.25,0,0,0,0,0,16,KAKOSIMOS K
,43.75%,43.75%,6.25%,6.25%,0.00%,,,,,,,,,
COURSE TOTAL:,7,7,1,1,0,16,3.25,0,0,0,0,0,16,
,43.75%,43.75%,6.25%,6.25%,0.00%,,,,,,,,,
CHEN-320-500,6,6,4,0,0,16,3.125,0,0,0,1,0,17,MARKATOS N
,37.50%,37.50%,25.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,6,4,0,0,16,3.125,0,0,0,1,0,17,
,37.50%,37.50%,25.00%,0.00%,0.00%,,,,,,,,,
CHEN-324-500,3,5,7,0,0,15,2.733,1,0,0,0,0,16,ABDALLA A
,20.00%,33.33%,46.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,5,7,0,0,15,2.733,1,0,0,0,0,16,
,20.00%,33.33%,46.67%,0.00%,0.00%,,,,,,,,,
CHEN-354-500,4,9,3,0,0,16,3.062,0,0,0,1,0,17,ABDEL-WAHAB A
,25.00%,56.25%,18.75%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,9,3,0,0,16,3.062,0,0,0,1,0,17,
,25.00%,56.25%,18.75%,0.00%,0.00%,,,,,,,,,
CHEN-364-500,4,10,1,0,0,15,3.2,1,0,0,0,0,16,ELBASHIR N
,26.67%,66.67%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,10,1,0,0,15,3.2,1,0,0,0,0,16,
,26.67%,66.67%,6.67%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEN-425-500,5,8,2,0,0,15,3.2,0,0,0,0,0,15,LINKE P
,33.33%,53.33%,13.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,8,2,0,0,15,3.2,0,0,0,0,0,15,
,33.33%,53.33%,13.33%,0.00%,0.00%,,,,,,,,,
CHEN-432-500,1,3,2,0,0,6,2.833,0,0,0,0,0,6,SALAMA G
,16.67%,50.00%,33.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,3,2,0,0,6,2.833,0,0,0,0,0,6,
,16.67%,50.00%,33.33%,0.00%,0.00%,,,,,,,,,
CHEN-455-500,8,6,1,0,1,16,3.25,0,0,0,0,0,16,OLEWSKI T
,50.00%,37.50%,6.25%,0.00%,6.25%,,,,,,,,,
COURSE TOTAL:,8,6,1,0,1,16,3.25,0,0,0,0,0,16,
,50.00%,37.50%,6.25%,0.00%,6.25%,,,,,,,,,
CHEN-481-500,13,1,0,0,0,14,3.928,0,0,0,0,0,14,VECHOT L
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,1,0,0,0,14,3.928,0,0,0,0,0,14,
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-601-600,15,2,0,0,0,17,3.882,0,0,0,0,0,17,ELSAID K
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,2,0,0,0,17,3.882,0,0,0,0,0,17,
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-604-600,7,9,0,0,0,16,3.437,1,0,0,0,0,17,NOUNOU M
,43.75%,56.25%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,9,0,0,0,16,3.437,1,0,0,0,0,17,
,43.75%,56.25%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEN-629-600,10,6,1,0,0,17,3.529,1,0,0,1,0,19,ECONOMOU I
,58.82%,35.29%,5.88%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,6,1,0,0,17,3.529,1,0,0,1,0,19,
,58.82%,35.29%,5.88%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,89,84,25,1,3,202,3.193,4,0,0,3,0,209,
,44.06%,41.58%,12.38%,0.50%,1.49%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF LIBERAL ARTS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ASCC-101-500,14,5,1,0,1,21,3.476,0,0,0,0,0,21,RUDD L
,66.67%,23.81%,4.76%,0.00%,4.76%,,,,,,,,,
COURSE TOTAL:,14,5,1,0,1,21,3.476,0,0,0,0,0,21,
,66.67%,23.81%,4.76%,0.00%,4.76%,,,,,,,,,
ASCC-289-501,4,6,3,0,1,14,2.857,1,0,0,0,0,15,HODGES A
,28.57%,42.86%,21.43%,0.00%,7.14%,,,,,,,,,
ASCC-289-502,2,10,1,0,0,13,3.076,0,0,0,0,0,13,WARD S
,15.38%,76.92%,7.69%,0.00%,0.00%,,,,,,,,,
ASCC-289-503,0,9,1,0,0,10,2.9,0,0,0,0,0,10,WARD S
,0.00%,90.00%,10.00%,0.00%,0.00%,,,,,,,,,
ASCC-289-504,3,6,3,0,0,12,3,0,0,0,0,0,12,HILLMAN S
,25.00%,50.00%,25.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,31,8,0,1,49,2.959,1,0,0,0,0,50,
,18.37%,63.27%,16.33%,0.00%,2.04%,,,,,,,,,
COMM-335-500,11,10,2,1,0,24,3.291,0,0,0,1,0,25,ESLAMI Z
,45.83%,41.67%,8.33%,4.17%,0.00%,,,,,,,,,
COURSE TOTAL:,11,10,2,1,0,24,3.291,0,0,0,1,0,25,
,45.83%,41.67%,8.33%,4.17%,0.00%,,,,,,,,,
ENGL-104-501,13,4,0,0,0,17,3.764,0,0,0,0,0,17,RUDD L
,76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-104-502,9,8,1,0,1,19,3.263,0,0,0,0,0,19,HINGTGEN L
,47.37%,42.11%,5.26%,0.00%,5.26%,,,,,,,,,
ENGL-104-503,10,6,2,0,0,18,3.444,0,0,0,0,0,18,HINGTGEN L
,55.56%,33.33%,11.11%,0.00%,0.00%,,,,,,,,,
ENGL-104-504,7,5,3,0,0,15,3.266,1,0,0,1,0,17,HODGES A
,46.67%,33.33%,20.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF LIBERAL ARTS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENGL-104-505,12,4,1,0,1,18,3.444,0,0,0,0,0,18,RUDD L
,66.67%,22.22%,5.56%,0.00%,5.56%,,,,,,,,,
ENGL-104-506,11,4,1,1,0,17,3.47,0,0,0,0,0,17,HINGTGEN L
,64.71%,23.53%,5.88%,5.88%,0.00%,,,,,,,,,
COURSE TOTAL:,62,31,8,1,2,104,3.442,1,0,0,1,0,106,
,59.62%,29.81%,7.69%,0.96%,1.92%,,,,,,,,,
ENGL-210-501,6,8,1,0,0,15,3.333,0,0,0,0,0,15,TELAFICI M
,40.00%,53.33%,6.67%,0.00%,0.00%,,,,,,,,,
ENGL-210-502,7,4,4,0,0,15,3.2,0,0,0,0,0,15,HODGES A
,46.67%,26.67%,26.67%,0.00%,0.00%,,,,,,,,,
ENGL-210-503,8,6,0,0,0,14,3.571,0,0,0,0,0,14,WARD S
