,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ASCC-101-502,4,6,1,0,0,11,3.272,0,0,0,0,0,11,JONES M
,36.36%,54.55%,9.09%,0.00%,0.00%,,,,,,,,,
ASCC-101-503,14,7,0,0,0,21,3.666,0,0,0,0,0,21,MCCLURE M
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,13,1,0,0,32,3.531,0,0,0,0,0,32,
,56.25%,40.63%,3.13%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,18,13,1,0,0,32,3.531,0,0,0,0,0,32,
,56.25%,40.63%,3.13%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,18,13,1,0,0,32,3.531,0,0,0,0,0,32,
,56.25%,40.63%,3.13%,0.00%,0.00%,,,,,,,,,
