,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7001-601,0,1,1,3,8,2,4,0,0,0,0,0,0,19,2.964,0,0,0,19
RICH L,0.00%,5.26%,5.26% 15.79% 42.11% 10.53% 21.05%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-602,0,1,1,3,9,4,2,0,0,0,0,0,0,20,3,0,0,0,20
LARSON B,0.00%,5.00%,5.00% 15.00% 45.00% 20.00% 10.00%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-603,0,1,2,2,8,6,0,1,0,0,0,0,0,20,3.001,0,0,0,20
PAULI C,0.00%,5.00% 10.00% 10.00% 40.00% 30.00%,,,,0.00%,5.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-604,0,0,4,4,2,2,1,1,0,1,0,0,0,15,3,0,0,0,15
SOBOL N,0.00%,0.00% 26.67% 26.67% 13.33% 13.33%,,,,6.67%,6.67%,0.00%,6.67%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-605,0,4,0,1,7,4,4,1,0,0,0,0,0,21,2.968,0,0,0,21
MURPHY J,0.00% 19.05%,,0.00%,4.76% 33.33% 19.05% 19.05%,,,4.76%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-606,0,1,2,2,9,3,3,0,0,0,0,0,0,20,3,0,0,0,20
LARSON B,0.00%,5.00% 10.00% 10.00% 45.00% 15.00% 15.00%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-607,0,1,2,4,8,3,1,1,1,0,0,0,0,21,2.984,0,0,0,21
PAULI C,0.00%,4.76%,9.52% 19.05% 38.10% 14.29%,,,4.76%,4.76%,4.76%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-608,0,1,3,3,5,5,4,0,0,0,0,0,0,21,2.984,0,0,0,21
PIERCE T,0.00%,4.76% 14.29% 14.29% 23.81% 23.81% 19.05%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7001-609,0,0,0,3,12,1,1,0,0,0,0,0,0,17,2.999,0,0,0,17
KASPAR-COKER L,0.00%,0.00%,0.00% 17.65% 70.59%,,5.88%,5.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,10,15,25,68,30,20,4,1,1,0,0,0,174,2.988,0,0,0,174
,0.00%,5.75%,8.62% 14.37% 39.08% 17.24% 11.49%,,,,2.30%,0.57%,0.57%,0.00%,0.00%,0.00%,,,,,,,
LAW-7005-601,0,3,3,8,32,8,0,3,0,0,1,0,0,58,3,0,0,0,58
WELSH N,0.00%,5.17%,5.17% 13.79% 55.17% 13.79%,,,0.00%,5.17%,0.00%,0.00%,1.72%,0.00%,0.00%,,,,,,,
LAW-7005-602,1,6,8,3,11,12,9,1,0,2,0,0,0,53,2.981,0,0,0,53
PIERCE T,1.89% 11.32% 15.09%,,5.66% 20.75% 22.64% 16.98%,,,,1.89%,0.00%,3.77%,0.00%,0.00%,0.00%,,,,,,,
LAW-7005-603,0,2,9,11,21,6,11,1,1,0,0,0,0,62,2.999,0,0,0,62
VISHNUBHAKAT S,0.00%,3.23% 14.52% 17.74% 33.87%,,,9.68% 17.74%,,1.61%,1.61%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,P,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,1,11,20,22,64,26,20,5,1,2,1,0,0,173,2.994,0,0,0,173
,0.58%,6.36% 11.56% 12.72% 36.99% 15.03% 11.56%,,,,,2.89%,0.58%,1.16%,0.58%,0.00%,0.00%,,,,,,,
