,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ANTHROPOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ANTH-201-501,12,15,17,5,6,55,2.4,0,1,0,5,0,61,ALVARD M
,21.82%,27.27%,30.91%,9.09%,10.91%,,,,,,,,,
ANTH-201-502,9,16,8,1,2,36,2.805,0,0,0,0,0,36,ANDERSON M
,25.00%,44.44%,22.22%,2.78%,5.56%,,,,,,,,,
ANTH-201-599,9,19,24,9,2,63,2.38,1,0,0,9,0,73,BRYANT V
,14.29%,30.16%,38.10%,14.29%,3.17%,,,,,,,,,
COURSE TOTAL:,30,50,49,15,10,154,2.487,1,1,0,14,0,170,
,19.48%,32.47%,31.82%,9.74%,6.49%,,,,,,,,,
ANTH-202-501,4,18,23,5,0,50,2.42,3,0,0,5,0,58,THOMS A
,8.00%,36.00%,46.00%,10.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,18,23,5,0,50,2.42,3,0,0,5,0,58,
,8.00%,36.00%,46.00%,10.00%,0.00%,,,,,,,,,
ANTH-204-500,34,49,22,0,1,106,3.084,0,0,0,6,0,112,PRATT J
,32.08%,46.23%,20.75%,0.00%,0.94%,,,,,,,,,
COURSE TOTAL:,34,49,22,0,1,106,3.084,0,0,0,6,0,112,
,32.08%,46.23%,20.75%,0.00%,0.94%,,,,,,,,,
ANTH-205-501,27,54,37,3,1,122,2.844,0,0,0,0,0,122,VIEIRA DE CASTRO L
,22.13%,44.26%,30.33%,2.46%,0.82%,,,,,,,,,
ANTH-205-502,19,69,25,5,1,119,2.84,0,0,0,5,0,124,VIEIRA DE CASTRO L
,15.97%,57.98%,21.01%,4.20%,0.84%,,,,,,,,,
ANTH-205-503,48,43,25,3,1,120,3.116,0,1,0,2,0,123,LYNCH D
,40.00%,35.83%,20.83%,2.50%,0.83%,,,,,,,,,
ANTH-205-504,51,48,15,6,3,123,3.121,0,0,0,2,0,125,LYNCH D
,41.46%,39.02%,12.20%,4.88%,2.44%,,,,,,,,,
ANTH-205-505,33,17,1,1,0,52,3.576,0,0,0,1,0,53,YOUNG J
,63.46%,32.69%,1.92%,1.92%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ANTHROPOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ANTH-205-506,35,13,2,0,3,53,3.452,0,0,0,0,0,53,JOHNSON T
,66.04%,24.53%,3.77%,0.00%,5.66%,,,,,,,,,
ANTH-205-508,65,10,7,0,2,84,3.619,0,0,0,0,0,84,MATHENY R
,77.38%,11.90%,8.33%,0.00%,2.38%,,,,,,,,,
ANTH-205-512,21,21,4,2,1,49,3.204,0,0,0,1,0,50,GAUTHIER-BERUBE M
,42.86%,42.86%,8.16%,4.08%,2.04%,,,,,,,,,
ANTH-205-513,22,24,6,6,2,60,2.966,0,0,0,7,0,67,BURKE A
,36.67%,40.00%,10.00%,10.00%,3.33%,,,,,,,,,
ANTH-205-599,9,40,24,11,4,88,2.443,0,1,0,34,1,124,BRYANT V
,10.23%,45.45%,27.27%,12.50%,4.55%,,,,,,,,,
COURSE TOTAL:,330,339,146,37,18,870,3.064,0,2,0,52,1,925,
,37.93%,38.97%,16.78%,4.25%,2.07%,,,,,,,,,
ANTH-210-501,25,53,18,4,2,102,2.931,0,0,0,0,0,102,WINKING J
,24.51%,51.96%,17.65%,3.92%,1.96%,,,,,,,,,
ANTH-210-502,37,12,4,0,0,53,3.622,0,0,0,1,0,54,FARRAR J
,69.81%,22.64%,7.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,62,65,22,4,2,155,3.167,0,0,0,1,0,156,
,40.00%,41.94%,14.19%,2.58%,1.29%,,,,,,,,,
ANTH-225-500,8,23,16,14,1,62,2.37,0,0,0,5,1,68,ANDERSON M
,12.90%,37.10%,25.81%,22.58%,1.61%,,,,,,,,,
COURSE TOTAL:,8,23,16,14,1,62,2.37,0,0,0,5,1,68,
,12.90%,37.10%,25.81%,22.58%,1.61%,,,,,,,,,
ANTH-226-501,15,1,2,0,0,18,3.722,0,0,0,0,0,18,IZZO V
