,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,ENVIRONMENTAL & OCCPTNL HLTH,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PHEO-600-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,BENDEN M
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-605-600,22,0,0,0,0,22,4,1,0,0,0,0,23,MCDONALD T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,0,0,0,0,22,4,1,0,0,0,0,23,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-613-700,5,0,0,0,0,5,4,0,0,0,0,0,5,CARRILLO G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4,0,0,0,0,0,5,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-618-600,11,5,1,0,0,17,3.588,0,0,0,1,0,18,PICKENS A
,64.71%,29.41%,5.88%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,5,1,0,0,17,3.588,0,0,0,1,0,18,
,64.71%,29.41%,5.88%,0.00%,0.00%,,,,,,,,,
PHEO-630-600,18,8,0,0,0,26,3.692,0,0,0,0,0,26,JOHNSON N
,69.23%,30.77%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,8,0,0,0,26,3.692,0,0,0,0,0,26,
,69.23%,30.77%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-676-699,7,1,0,0,0,8,3.875,0,0,0,0,0,8,SHARMA V
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,1,0,0,0,8,3.875,0,0,0,0,0,8,
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,ENVIRONMENTAL & OCCPTNL HLTH,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PHEO-678-600,15,2,0,0,0,17,3.882,0,0,0,0,0,17,BENDEN M
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,2,0,0,0,17,3.882,0,0,0,0,0,17,
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-682-600,9,3,0,0,0,12,3.75,0,0,0,0,0,12,BENDEN M
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,3,0,0,0,12,3.75,0,0,0,0,0,12,
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-689-601,6,2,0,0,0,8,3.75,1,0,0,0,0,9,PERES C
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,2,0,0,0,8,3.75,1,0,0,0,0,9,
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,98,23,1,0,0,122,3.795,2,0,0,1,0,125,
,80.33%,18.85%,0.82%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR FALL 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,EPIDEMIOLOGY & BIOSTATISTICS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PHEB-602-600,13,12,11,0,0,36,3.055,0,0,0,1,0,37,HAN G
,36.11%,33.33%,30.56%,0.00%,0.00%,,,,,,,,,
PHEB-602-699,0,4,3,0,0,7,2.571,0,0,0,0,0,7,HAN G
,0.00%,57.14%,42.86%,0.00%,0.00%,,,,,,,,,
PHEB-602-700,3,7,7,0,1,18,2.611,0,0,0,0,0,18,HAN G
