,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SPRING 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
NURS-305-500,46,0,0,0,0,46 4.000,0,0,0,0,0,46,KOSAREK J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-305-501,18,1,0,0,0,19 3.947,0,0,0,0,0,19,KOSAREK J
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,64,1,0,0,0,65 3.985,0,0,0,0,0,65,
,98.46%,1.54%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-312-500,31,14,1,0,0,46 3.652,0,0,0,0,0,46,BALKE N
,67.39%,30.43%,2.17%,0.00%,0.00%,,,,,,,,,
NURS-312-501,13,5,1,0,0,19 3.632,0,0,0,0,0,19,BALKE N
,68.42%,26.32%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,44,19,2,0,0,65 3.646,0,0,0,0,0,65,
,67.69%,29.23%,3.08%,0.00%,0.00%,,,,,,,,,
NURS-313-500,21,28,0,0,0,49 3.429,0,0,0,0,0,49,BONNER R
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-313-501,5,14,0,0,0,19 3.263,0,0,0,0,0,19,BONNER R
,26.32%,73.68%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,26,42,0,0,0,68 3.382,0,0,0,0,0,68,
,38.24%,61.76%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-314-500,33,13,0,0,0,46 3.717,0,0,0,0,0,46,STOUT AGUILAR J
,71.74%,28.26%,0.00%,0.00%,0.00%,,,,,,,,,
