,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
STLC-101-501,16,1,1,0,0,18,3.833,0,0,0,0,1,19,SPEED K
,88.89%,5.56%,5.56%,0.00%,0.00%,,,,,,,,,
STLC-101-502,12,9,1,0,1,23,3.347,0,0,0,1,0,24,SPEED K
,52.17%,39.13%,4.35%,0.00%,4.35%,,,,,,,,,
STLC-101-503,16,3,0,0,0,19,3.65,0,0,0,0,0,19,SPEED K
,84.21%,15.79%,0.00%,0.00%,0.00%,,,,,,,,,
STLC-101-505,10,9,2,0,1,22,3.227,0,0,0,1,0,23,JONES M
,45.45%,40.91%,9.09%,0.00%,4.55%,,,,,,,,,
COURSE TOTAL:,54,22,4,0,2,82,3.493,0,0,0,2,1,85,
,65.85%,26.83%,4.88%,0.00%,2.44%,,,,,,,,,
STLC-102-501,14,7,1,0,0,22,3.59,0,0,0,0,0,22,BROOKINS B
,63.64%,31.82%,4.55%,0.00%,0.00%,,,,,,,,,
STLC-102-502,18,4,0,1,0,23,3.695,0,0,0,0,0,23,BROOKINS B
,78.26%,17.39%,0.00%,4.35%,0.00%,,,,,,,,,
STLC-102-504,15,6,4,0,0,25,3.44,0,0,0,0,0,25,BROOKINS B
,60.00%,24.00%,16.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,47,17,5,1,0,70,3.571,0,0,0,0,0,70,
,67.14%,24.29%,7.14%,1.43%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,101,39,9,1,2,152,3.529,0,0,0,2,1,155,
,66.45%,25.66%,5.92%,0.66%,1.32%,,,,,,,,,
COLLEGE TOTAL:,101,39,9,1,2,152,3.529,0,0,0,2,1,155,
,66.45%,25.66%,5.92%,0.66%,1.32%,,,,,,,,,
