,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6510-300,50,14,25,4,8,1,0,102,3.441,0,0,0,1,103,GROPPE J
,49.02%,13.73%,24.51%,3.92%,7.84%,0.98%,0.00%,,,,,,,,
COURSE TOTAL:,50,14,25,4,8,1,0,102,3.441,0,0,0,1,103,
,49.02%,13.73%,24.51%,3.92%,7.84%,0.98%,0.00%,,,,,,,,
DDDS-6520-300,70,19,13,0,0,0,0,102,3.779,0,0,0,0,102,NOUREL-DIN A
,68.63%,18.63%,12.75%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,70,19,13,0,0,0,0,102,3.779,0,0,0,0,102,
,68.63%,18.63%,12.75%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6540-300,38,26,29,7,1,2,0,103,3.412,0,0,0,0,103,MCDONALD S
,36.89%,25.24%,28.16%,6.80%,0.97%,1.94%,0.00%,,,,,,,,
COURSE TOTAL:,38,26,29,7,1,2,0,103,3.412,0,0,0,0,103,
,36.89%,25.24%,28.16%,6.80%,0.97%,1.94%,0.00%,,,,,,,,
DDDS-6543-300,10,17,52,14,10,0,0,103,3.014,0,0,0,0,103,MCDONALD S
,9.71%,16.50%,50.49%,13.59%,9.71%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,10,17,52,14,10,0,0,103,3.014,0,0,0,0,103,
,9.71%,16.50%,50.49%,13.59%,9.71%,0.00%,0.00%,,,,,,,,
DDDS-6580-300,56,34,11,0,1,0,0,102,3.705,0,0,0,0,102,CRAMER G
,54.90%,33.33%,10.78%,0.00%,0.98%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,56,34,11,0,1,0,0,102,3.705,0,0,0,0,102,
,54.90%,33.33%,10.78%,0.00%,0.98%,0.00%,0.00%,,,,,,,,
DDDS-6600-300,37,14,27,9,12,4,0,103,3.189,0,0,0,0,103,OPPERMAN L
,35.92%,13.59%,26.21%,8.74%,11.65%,3.88%,0.00%,,,,,,,,
COURSE TOTAL:,37,14,27,9,12,4,0,103,3.189,0,0,0,0,103,
,35.92%,13.59%,26.21%,8.74%,11.65%,3.88%,0.00%,,,,,,,,
,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,
,,,,,,Professional Dentistry,,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DDDS-6640-300,38,18,32,11,4,0,0,103,3.364,0,0,0,0,103,WANG Q
,36.89%,17.48%,31.07%,10.68%,3.88%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,38,18,32,11,4,0,0,103,3.364,0,0,0,0,103,
,36.89%,17.48%,31.07%,10.68%,3.88%,0.00%,0.00%,,,,,,,,
DDDS-6660-300,32,16,30,13,9,2,1,103,3.169,0,0,0,0,103,BUSCHANG P
,31.07%,15.53%,29.13%,12.62%,8.74%,1.94%,0.97%,,,,,,,,
COURSE TOTAL:,32,16,30,13,9,2,1,103,3.169,0,0,0,0,103,
,31.07%,15.53%,29.13%,12.62%,8.74%,1.94%,0.97%,,,,,,,,
DDDS-6690-300,63,24,13,3,0,0,0,103,3.713,0,0,0,0,103,JONES D
,61.17%,23.30%,12.62%,2.91%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,63,24,13,3,0,0,0,103,3.713,0,0,0,0,103,
,61.17%,23.30%,12.62%,2.91%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6730-300,103,0,0,0,0,0,0,103,4,0,0,0,0,103,COBB S
,100,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,103,0,0,0,0,0,0,103,4,0,0,0,0,103,
,100,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
DDDS-6740-300,9,13,31,16,24,7,3,103,2.616,0,0,0,0,103,HONEYMAN A
,8.74%,12.62%,30.10%,15.53%,23.30%,6.80%,2.91%,,,,,,,,
COURSE TOTAL:,9,13,31,16,24,7,3,103,2.616,0,0,0,0,103,
,8.74%,12.62%,30.10%,15.53%,23.30%,6.80%,2.91%,,,,,,,,
DDDS-6770-300,27,17,30,17,6,2,3,102,3.078,0,0,0,0,102,BENSON M
,26.47%,16.67%,29.41%,16.67%,5.88%,1.96%,2.94%,,,,,,,,
