,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7002-601,0,0,1,3,7,1,2,0,0,0,0,0,0,14,2.999,0,0,0,14
MORRISON A,0.00%,0.00%,7.14% 21.43% 50.00%,,7.14% 14.29%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-602,0,1,2,2,3,3,4,0,0,0,0,0,0,15,2.955,0,0,0,15
PAULI C,0.00%,6.67% 13.33% 13.33% 20.00% 20.00% 26.67%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-603,0,0,2,4,2,2,3,0,0,0,0,0,0,13,2.999,0,0,0,13
MURPHY J,0.00%,0.00% 15.38% 30.77% 15.38% 15.38% 23.08%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-604,0,0,1,3,5,6,0,0,0,0,0,0,0,15,2.978,0,0,0,15
KELLY H,0.00%,0.00%,6.67% 20.00% 33.33% 40.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-605,1,0,1,4,5,1,1,2,0,0,0,0,0,15,3,0,0,0,15
MURPHY J,6.67%,0.00%,6.67% 26.67% 33.33%,,6.67%,6.67% 13.33%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-606,1,1,1,2,3,4,0,2,0,0,0,0,0,14,3.001,0,0,0,14
BURGE M,7.14%,7.14%,7.14% 14.29% 21.43% 28.57%,,,0.00% 14.29%,,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-607,0,0,1,3,8,0,1,1,0,0,0,0,0,14,2.999,0,0,0,14
RICH L,0.00%,0.00%,7.14% 21.43% 57.14%,,0.00%,7.14%,7.14%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-608,0,0,2,2,3,0,3,0,0,0,0,0,0,10,2.999,0,0,0,10
KELLY H,0.00%,0.00% 20.00% 20.00% 30.00%,,,0.00% 30.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7002-609,0,1,2,4,3,2,1,0,2,0,0,0,0,15,2.978,0,0,0,15
SOBOL N,0.00%,6.67% 13.33% 26.67% 20.00% 13.33%,,,,6.67%,0.00% 13.33%,,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,3,13,27,39,19,15,5,2,0,0,0,0,125,2.989,0,0,0,125
,1.60%,2.40% 10.40% 21.60% 31.20% 15.20% 12.00%,,,,,4.00%,1.60%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7005-601,0,1,8,7,9,7,4,0,0,0,1,1,0,38,2.982,0,0,0,38
GEORGE J,0.00%,2.63% 21.05% 18.42% 23.68% 18.42% 10.53%,,,,,0.00%,0.00%,0.00%,2.63%,2.63%,0.00%,,,,,,,
LAW-7005-602,0,2,5,2,13,18,0,0,0,0,0,0,0,40,3.001,0,0,0,40
VISHNUBHAKAT S,0.00%,5.00% 12.50%,5.00% 32.50% 45.00%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7005-603,1,2,5,9,8,8,5,4,0,0,0,0,0,42,2.984,0,0,0,42
PIERCE T,2.38%,4.76% 11.90% 21.43% 19.05% 19.05% 11.90%,,,,,9.52%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
COURSE TOTAL:,1,5,18,18,30,33,9,4,0,0,1,1,0,120,2.989,0,0,0,120
,0.83%,4.17% 15.00% 15.00% 25.00% 27.50%,,,,7.50%,3.33%,0.00%,0.00%,0.83%,0.83%,0.00%,,,,,,,
LAW-7010-601,0,0,6,3,4,5,5,0,0,0,0,0,0,23,3,0,0,0,23
PENROSE M,0.00%,0.00% 26.09% 13.04% 17.39% 21.74% 21.74%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
