,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ARCH-206-500,11,4,1,0,0,16,3.625,0,0,0,0,0,16,AITANI K
,68.75%,25.00%,6.25%,0.00%,0.00%,,,,,,,,,
ARCH-206-501,10,2,2,0,1,15,3.333,1,0,0,0,0,16,FAULKNER M
,66.67%,13.33%,13.33%,0.00%,6.67%,,,,,,,,,
ARCH-206-502,7,7,2,0,0,16,3.312,1,0,0,1,0,18,HUNTER C
,43.75%,43.75%,12.50%,0.00%,0.00%,,,,,,,,,
ARCH-206-503,15,0,0,0,0,15,4,0,0,0,0,0,15,VAHDAT ZAD V
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-504,13,1,0,0,0,14,3.928,0,0,0,0,0,14,ESQUIVEL J
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-206-505,7,6,2,0,1,16,3.125,0,0,0,0,0,16,STEWART K
,43.75%,37.50%,12.50%,0.00%,6.25%,,,,,,,,,
ARCH-206-506,12,3,0,0,0,15,3.8,1,0,0,0,0,16,CLAYTON M
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,75,23,7,0,2,107,3.579,3,0,0,1,0,111,
,70.09%,21.50%,6.54%,0.00%,1.87%,,,,,,,,,
ARCH-212-500,20,53,15,1,0,89,3.033,0,0,0,1,0,90,ZHU X
,22.47%,59.55%,16.85%,1.12%,0.00%,,,,,,,,,
COURSE TOTAL:,20,53,15,1,0,89,3.033,0,0,0,1,0,90,
,22.47%,59.55%,16.85%,1.12%,0.00%,,,,,,,,,
ARCH-213-500,19,36,29,5,6,95,2.6,1,0,0,4,0,100,BELTRAN L
,20.00%,37.89%,30.53%,5.26%,6.32%,,,,,,,,,
ARCH-213-501,9,15,27,6,0,57,2.473,0,0,0,6,0,63,BELTRAN L
,15.79%,26.32%,47.37%,10.53%,0.00%,,,,,,,,,
COURSE TOTAL:,28,51,56,11,6,152,2.552,1,0,0,10,0,163,
,18.42%,33.55%,36.84%,7.24%,3.95%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ARCH-216-500,15,1,0,0,0,16,3.937,0,0,0,1,0,17,KIM H
,93.75%,6.25%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-216-501,12,6,0,0,0,18,3.666,0,0,0,0,0,18,KIM H
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,7,0,0,0,34,3.794,0,0,0,1,0,35,
,79.41%,20.59%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-249-200,7,1,0,0,0,8,3.875,0,0,0,2,0,10,YOUSIF S
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-249-201,13,1,0,0,0,14,3.928,0,0,0,0,0,14,CAFFEY S
,92.86%,7.14%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-249-501,95,35,12,2,2,146,3.5,0,0,0,4,0,150,YOUSIF S
,65.07%,23.97%,8.22%,1.37%,1.37%,,,,,,,,,
ARCH-249-502,14,7,1,1,0,23,3.478,0,0,0,1,0,24,YOUSIF S
,60.87%,30.43%,4.35%,4.35%,0.00%,,,,,,,,,
ARCH-249-503,108,20,3,0,2,133,3.744,0,1,0,0,0,134,CAFFEY S
,81.20%,15.04%,2.26%,0.00%,1.50%,,,,,,,,,
ARCH-249-504,31,5,4,0,0,40,3.675,0,0,0,2,0,42,CAFFEY S
,77.50%,12.50%,10.00%,0.00%,0.00%,,,,,,,,,
ARCH-249-700,71,19,6,0,2,98,3.602,0,0,0,2,0,100,CAFFEY S
,72.45%,19.39%,6.12%,0.00%,2.04%,,,,,,,,,
COURSE TOTAL:,339,88,26,3,6,462,3.625,0,1,0,11,0,474,
,73.38%,19.05%,5.63%,0.65%,1.30%,,,,,,,,,
ARCH-250-200,5,0,0,0,0,5,4,0,0,0,0,0,5,KLEIN N
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-250-501,79,51,20,3,2,155,3.303,0,0,0,5,0,160,KLEIN N
,50.97%,32.90%,12.90%,1.94%,1.29%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ARCH-250-502,31,23,7,5,1,67,3.164,0,0,0,1,0,68,KLEIN N
,46.27%,34.33%,10.45%,7.46%,1.49%,,,,,,,,,
ARCH-250-503,22,30,14,4,0,70,3,0,0,0,2,0,72,STEWART Z
,31.43%,42.86%,20.00%,5.71%,0.00%,,,,,,,,,
