,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
OBIO-610-600,8,0,0,0,0,8,4,0,0,0,0,0,8,SVOBODA K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,0,0,0,0,8,4,0,0,0,0,0,8,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-612-600,5,1,0,0,0,6,3.833,0,0,0,0,0,6,OPPERMAN L
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,1,0,0,0,6,3.833,0,0,0,0,0,6,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-621-600,21,10,1,0,0,32,3.625,0,0,0,0,0,32,SCHNEIDERMAN E
,65.63%,31.25%,3.13%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,10,1,0,0,32,3.625,0,0,0,0,0,32,
,65.63%,31.25%,3.13%,0.00%,0.00%,,,,,,,,,
OBIO-632-600,8,11,0,0,0,19,3.421,0,0,0,0,0,19,BUSCHANG P
,42.11%,57.89%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,11,0,0,0,19,3.421,0,0,0,0,0,19,
,42.11%,57.89%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-633-600,3,3,0,0,0,6,3.5,0,0,0,0,0,6,LIU X
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,3,0,0,0,6,3.5,0,0,0,0,0,6,
,50.00%,50.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-641-600,4,1,0,0,2,7,3.1,0,0,0,0,0,7,LIU X
,57.14%,14.29%,0.00%,0.00%,28.57%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,2,7,3.1,0,0,0,0,0,7,
,57.14%,14.29%,0.00%,0.00%,28.57%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF DENTISTRY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
OBIO-673-600,10,0,0,0,0,10,4,0,0,0,0,0,10,HONEYMAN A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,0,0,0,0,10,4,0,0,0,0,0,10,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
OBIO-687-600,6,0,0,0,0,6,4,0,0,0,0,0,6,SVOBODA K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4,0,0,0,0,0,6,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,65,26,1,0,2,94,3.681,0,0,0,0,0,94,
,69.15%,27.66%,1.06%,0.00%,2.13%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,DENTISTRY,,,,,,,,,,,,,
DEPARTMENT:,DENTAL HYGIENE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DDHS-3020-500,8,18,2,0,0,28,3.214,0,0,0,0,0,28,COTTER J
,28.57%,64.29%,7.14%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,18,2,0,0,28,3.214,0,0,0,0,0,28,
,28.57%,64.29%,7.14%,0.00%,0.00%,,,,,,,,,
DDHS-3220-500,21,7,0,0,0,28,3.75,0,0,0,0,0,28,LIANG H
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,7,0,0,0,28,3.75,0,0,0,0,0,28,
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3310-500,27,1,0,0,0,28,3.964,0,0,0,0,0,28,WYATT L
,96.43%,3.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,1,0,0,0,28,3.964,0,0,0,0,0,28,
,96.43%,3.57%,0.00%,0.00%,0.00%,,,,,,,,,
DDHS-3325-500,3,13,4,7,1,28,2.357,0,0,0,0,0,28,OPPERMAN L
,10.71%,46.43%,14.29%,25.00%,3.57%,,,,,,,,,
COURSE TOTAL:,3,13,4,7,1,28,2.357,0,0,0,0,0,28,
,10.71%,46.43%,14.29%,25.00%,3.57%,,,,,,,,,
DDHS-3340-500,5,15,5,3,0,28,2.785,0,0,0,0,0,28,OPPERMAN L
,17.86%,53.57%,17.86%,10.71%,0.00%,,,,,,,,,
COURSE TOTAL:,5,15,5,3,0,28,2.785,0,0,0,0,0,28,
,17.86%,53.57%,17.86%,10.71%,0.00%,,,,,,,,,
DDHS-3410-500,10,14,3,1,0,28,3.178,0,0,0,0,0,28,WRIGHT J
,35.71%,50.00%,10.71%,3.57%,0.00%,,,,,,,,,
COURSE TOTAL:,10,14,3,1,0,28,3.178,0,0,0,0,0,28,
