,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-201-500,0,23,4,1,0,28,2.785,0,0,0,0,0,28,SHRYOCK K
,0.00%,82.14%,14.29%,3.57%,0.00%,,,,,,,,,
COURSE TOTAL:,0,23,4,1,0,28,2.785,0,0,0,0,0,28,
,0.00%,82.14%,14.29%,3.57%,0.00%,,,,,,,,,
AERO-202-500,0,3,1,1,0,5,2.4,0,0,0,0,0,5,SHRYOCK K
,0.00%,60.00%,20.00%,20.00%,0.00%,,,,,,,,,
COURSE TOTAL:,0,3,1,1,0,5,2.4,0,0,0,0,0,5,
,0.00%,60.00%,20.00%,20.00%,0.00%,,,,,,,,,
AERO-210-200,1,9,1,1,0,12,2.833,0,0,0,1,0,13,LE GRAVEREND J
,8.33%,75.00%,8.33%,8.33%,0.00%,,,,,,,,,
AERO-210-500,8,12,30,10,2,62,2.225,0,0,0,13,0,75,BOYD J
,12.90%,19.35%,48.39%,16.13%,3.23%,,,,,,,,,
AERO-210-501,1,10,33,5,2,51,2.058,0,0,0,6,0,57,LE GRAVEREND J
,1.96%,19.61%,64.71%,9.80%,3.92%,,,,,,,,,
COURSE TOTAL:,10,31,64,16,4,125,2.216,0,0,0,20,0,145,
,8.00%,24.80%,51.20%,12.80%,3.20%,,,,,,,,,
AERO-212-500,18,18,12,3,1,52,2.942,0,0,0,0,0,52,KARPETIS A
,34.62%,34.62%,23.08%,5.77%,1.92%,,,,,,,,,
COURSE TOTAL:,18,18,12,3,1,52,2.942,0,0,0,0,0,52,
,34.62%,34.62%,23.08%,5.77%,1.92%,,,,,,,,,
AERO-214-500,2,18,35,4,0,59,2.305,0,0,0,0,0,59,LE GRAVEREND J
,3.39%,30.51%,59.32%,6.78%,0.00%,,,,,,,,,
AERO-214-501,12,19,17,4,5,57,2.508,0,0,0,5,0,62,NARAGHI M
,21.05%,33.33%,29.82%,7.02%,8.77%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,14,37,52,8,5,116,2.405,0,0,0,5,0,121,
,12.07%,31.90%,44.83%,6.90%,4.31%,,,,,,,,,
AERO-220-200,10,0,0,0,0,10,4,0,0,0,0,0,10,BORISSOV S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-220-500,20,9,6,9,1,45,2.844,0,0,0,1,0,46,BORISSOV S
,44.44%,20.00%,13.33%,20.00%,2.22%,,,,,,,,,
AERO-220-501,14,12,8,2,1,37,2.972,0,0,0,13,0,50,TROPINA A
,37.84%,32.43%,21.62%,5.41%,2.70%,,,,,,,,,
COURSE TOTAL:,44,21,14,11,2,92,3.021,0,0,0,14,0,106,
,47.83%,22.83%,15.22%,11.96%,2.17%,,,,,,,,,
AERO-301-200,6,0,0,0,0,6,4,0,0,0,0,0,6,LIMBACH C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-301-500,15,15,4,0,1,35,3.228,0,0,0,1,0,36,LIMBACH C
,42.86%,42.86%,11.43%,0.00%,2.86%,,,,,,,,,
COURSE TOTAL:,21,15,4,0,1,41,3.341,0,0,0,1,0,42,
,51.22%,36.59%,9.76%,0.00%,2.44%,,,,,,,,,
AERO-302-900,10,6,1,0,1,18,3.333,0,0,0,0,0,18,TICHENOR N
,55.56%,33.33%,5.56%,0.00%,5.56%,,,,,,,,,
AERO-302-901,5,8,0,0,2,15,2.933,0,0,0,0,0,15,TICHENOR N
,33.33%,53.33%,0.00%,0.00%,13.33%,,,,,,,,,
AERO-302-902,9,3,0,0,1,13,3.461,0,0,0,0,0,13,TICHENOR N
,69.23%,23.08%,0.00%,0.00%,7.69%,,,,,,,,,
COURSE TOTAL:,24,17,1,0,4,46,3.239,0,0,0,0,0,46,
,52.17%,36.96%,2.17%,0.00%,8.70%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-303-200,3,4,0,0,0,7,3.428,0,0,0,0,0,7,POLUDNENKO O
,42.86%,57.14%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-303-500,16,22,17,1,2,58,2.844,0,0,0,3,0,61,POLUDNENKO O
,27.59%,37.93%,29.31%,1.72%,3.45%,,,,,,,,,
AERO-303-501,13,10,12,0,0,35,3.028,0,0,0,1,0,36,BOWERSOX R
,37.14%,28.57%,34.29%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,32,36,29,1,2,100,2.95,0,0,0,4,0,104,
,32.00%,36.00%,29.00%,1.00%,2.00%,,,,,,,,,
