,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ATMO-201-501,31,26,22,3,0,82,3.036,1,0,0,6,0,89,CONLEE D
,37.80%,31.71%,26.83%,3.66%,0.00%,,,,,,,,,
ATMO-201-502,97,58,10,0,0,165,3.527,1,0,0,2,0,168,LOGAN T
,58.79%,35.15%,6.06%,0.00%,0.00%,,,,,,,,,
ATMO-201-503,25,35,15,5,1,81,2.962,0,0,0,5,0,86,SCHUMACHER C
,30.86%,43.21%,18.52%,6.17%,1.23%,,,,,,,,,
ATMO-201-504,19,32,24,7,4,86,2.639,0,0,0,3,0,89,NIELSEN-GAMMON J
,22.09%,37.21%,27.91%,8.14%,4.65%,,,,,,,,,
ATMO-201-505,2,8,2,1,0,13,2.846,0,0,0,0,0,13,SCHADE G
,15.38%,61.54%,15.38%,7.69%,0.00%,,,,,,,,,
ATMO-201-506,78,81,11,0,0,170,3.394,0,0,0,0,0,170,LOGAN T
,45.88%,47.65%,6.47%,0.00%,0.00%,,,,,,,,,
ATMO-201-507,38,36,12,0,0,86,3.302,0,0,0,1,0,87,LOGAN T
,44.19%,41.86%,13.95%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,290,276,96,16,5,683,3.215,2,0,0,17,0,702,
,42.46%,40.41%,14.06%,2.34%,0.73%,,,,,,,,,
ATMO-202-501,15,5,3,0,0,23,3.521,0,0,0,0,0,23,LOGAN T
,65.22%,21.74%,13.04%,0.00%,0.00%,,,,,,,,,
ATMO-202-502,21,2,0,0,0,23,3.913,0,0,0,0,0,23,LOGAN T
,91.30%,8.70%,0.00%,0.00%,0.00%,,,,,,,,,
ATMO-202-504,16,3,1,0,0,20,3.75,0,0,0,2,0,22,LOGAN T
,80.00%,15.00%,5.00%,0.00%,0.00%,,,,,,,,,
ATMO-202-505,18,5,0,0,1,24,3.625,0,0,0,0,0,24,LOGAN T
,75.00%,20.83%,0.00%,0.00%,4.17%,,,,,,,,,
ATMO-202-508,14,7,0,0,0,21,3.666,0,0,0,1,0,22,LOGAN T
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,84,22,4,0,1,111,3.693,0,0,0,3,0,114,
,75.68%,19.82%,3.60%,0.00%,0.90%,,,,,,,,,
ATMO-203-501,8,7,3,0,0,18,3.277,0,0,0,0,0,18,CONLEE D
,44.44%,38.89%,16.67%,0.00%,0.00%,,,,,,,,,
ATMO-203-502,10,7,2,0,0,19,3.421,0,0,0,0,0,19,CONLEE D
,52.63%,36.84%,10.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,14,5,0,0,37,3.351,0,0,0,0,0,37,
,48.65%,37.84%,13.51%,0.00%,0.00%,,,,,,,,,
ATMO-321-500,11,6,3,0,0,20,3.4,0,0,0,1,0,21,XU Y
,55.00%,30.00%,15.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,6,3,0,0,20,3.4,0,0,0,1,0,21,
,55.00%,30.00%,15.00%,0.00%,0.00%,,,,,,,,,
ATMO-324-501,9,2,2,1,2,16,2.937,0,0,0,0,0,16,NIELSEN-GAMMON J
,56.25%,12.50%,12.50%,6.25%,12.50%,,,,,,,,,
ATMO-324-502,7,3,0,0,0,10,3.7,0,0,0,0,0,10,NIELSEN-GAMMON J
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,5,2,1,2,26,3.23,0,0,0,0,0,26,
,61.54%,19.23%,7.69%,3.85%,7.69%,,,,,,,,,
ATMO-352-501,14,3,2,0,0,19,3.631,0,0,0,0,0,19,EPIFANIO C
,73.68%,15.79%,10.53%,0.00%,0.00%,,,,,,,,,
ATMO-352-502,2,9,0,0,0,11,3.181,0,0,0,0,0,11,EPIFANIO C
,18.18%,81.82%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,12,2,0,0,30,3.466,0,0,0,0,0,30,
,53.33%,40.00%,6.67%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ATMO-435-501,11,11,5,2,0,29,3.068,0,0,0,0,0,29,KORTY R
,37.93%,37.93%,17.24%,6.90%,0.00%,,,,,,,,,
COURSE TOTAL:,11,11,5,2,0,29,3.068,0,0,0,0,0,29,
,37.93%,37.93%,17.24%,6.90%,0.00%,,,,,,,,,
ATMO-441-501,3,5,2,0,1,11,2.818,0,0,0,1,0,12,BOWMAN K
