,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,ANESTHESIOLOGY,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
ANES-805-30T,0,6,0,0,6,3,0,0,0,0,6,BRAUER M
,0.00%,100,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,0,6,0,0,6,3,0,0,0,0,6,
,0.00%,100,0.00%,0.00%,,,,,,,,
DEPARTMENT TOTAL:,0,6,0,0,6,3,0,0,0,0,6,
,0.00%,100,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,
,,,,,Professional Medicine,,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,,
,,,,,TOTAL,,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------,
MEID-608-300,24,134,0,1,159,3.132,0,0,0,0,159,ALLEN G
,15.09%,84.28%,0.00%,0.63%,,,,,,,,,
COURSE TOTAL:,24,134,0,1,159,3.132,0,0,0,0,159,,
,15.09%,84.28%,0.00%,0.63%,,,,,,,,,
MEID-609-300,24,132,0,2,158,3.113,0,0,0,0,158,WELLS G
,15.19%,83.54%,0.00%,1.27%,,,,,,,,,
COURSE TOTAL:,24,132,0,2,158,3.113,0,0,0,0,158,,
,15.19%,83.54%,0.00%,1.27%,,,,,,,,,
MEID-616-300,24,133,0,0,157,3.152,1,0,0,0,158,WILSON E
,15.29%,84.71%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,133,0,0,157,3.152,1,0,0,0,158,,
,15.29%,84.71%,0.00%,0.00%,,,,,,,,,
MEID-617-300,23,134,0,1,158,3.126,0,0,0,0,158,PETERSON T
,14.56%,84.81%,0.00%,0.63%,,,,,,,,,
COURSE TOTAL:,23,134,0,1,158,3.126,0,0,0,0,158,,
,14.56%,84.81%,0.00%,0.63%,,,,,,,,,
MEID-618-300,24,134,0,0,158,3.151,0,0,0,0,158,MAXWELL S
,15.19%,84.81%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,134,0,0,158,3.151,0,0,0,0,158,,
,15.19%,84.81%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
DEPARTMENT TOTAL:,119,667,0,4,790,3.129,1,0,0,0,791,
,15.06%,84.43%,0.00%,0.51%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,FAMILY & COMMUNITY MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
MFCM-800-30B,3,18,0,0,21,3.142,0,0,0,0,21,VIA R
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
MFCM-800-31D,1,4,0,0,5,3.2,1,0,0,0,6,VIA R
,20.00%,80.00%,0.00%,0.00%,,,,,,,,
MFCM-800-31H,2,4,0,0,6,3.333,1,0,0,0,7,VIA R
,33.33%,66.67%,0.00%,0.00%,,,,,,,,
MFCM-800-31T,0,5,0,0,5,3,2,0,0,0,7,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-32D,0,5,0,0,5,3,1,0,0,0,6,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-32H,0,5,0,0,5,3,1,0,0,0,6,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-32T,0,7,0,0,7,3,1,0,0,0,8,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
MFCM-800-33R,3,2,0,0,5,3.6,0,0,0,0,5,VIA R
,60.00%,40.00%,0.00%,0.00%,,,,,,,,
MFCM-800-33T,1,5,0,0,6,3.166,0,0,0,0,6,VIA R
,16.67%,83.33%,0.00%,0.00%,,,,,,,,
MFCM-800-34D,1,6,0,0,7,3.142,0,0,0,0,7,VIA R
,14.29%,85.71%,0.00%,0.00%,,,,,,,,
MFCM-800-34T,0,8,0,0,8,3,0,0,0,0,8,VIA R
,0.00%,100,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,11,69,0,0,80,3.137,7,0,0,0,87,
,13.75%,86.25%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,
,,,,,Professional Medicine,,,,,,,
COLLEGE:,MEDICINE,,,,,,,,,,,
DEPARTMENT:,FAMILY & COMMUNITY MEDICINE,,,,,,,,,,,
,,,,,TOTAL,,,,,,,
SECTION,H,P,F/P,F,H - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
