,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BIMS-101-501,90,10,1,0,2,103,3.805,0,0,0,0,0,103,IVANOV I
,87.38%,9.71%,0.97%,0.00%,1.94%,,,,,,,,,
BIMS-101-502,93,7,1,0,2,103,3.834,0,0,0,0,0,103,IVANOV I
,90.29%,6.80%,0.97%,0.00%,1.94%,,,,,,,,,
BIMS-101-504,96,2,0,0,0,98,3.979,0,0,0,1,0,99,TIAN Y
,97.96%,2.04%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,279,19,2,0,4,304,3.871,0,0,0,1,0,305,
,91.78%,6.25%,0.66%,0.00%,1.32%,,,,,,,,,
BIMS-110-501,67,17,2,0,0,86,3.755,0,0,0,0,0,86,YOUNG C
,77.91%,19.77%,2.33%,0.00%,0.00%,,,,,,,,,
BIMS-110-502,63,19,3,0,0,85,3.705,0,0,0,0,0,85,YOUNG C
,74.12%,22.35%,3.53%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,130,36,5,0,0,171,3.73,0,0,0,0,0,171,
,76.02%,21.05%,2.92%,0.00%,0.00%,,,,,,,,,
BIMS-201-500,22,8,3,0,0,33,3.575,0,0,0,0,0,33,CROUCH E
,66.67%,24.24%,9.09%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,8,3,0,0,33,3.575,0,0,0,0,0,33,
,66.67%,24.24%,9.09%,0.00%,0.00%,,,,,,,,,
BIMS-289-501,49,6,2,0,1,58,3.758,0,0,0,0,0,58,YOUNG C
,84.48%,10.34%,3.45%,0.00%,1.72%,,,,,,,,,
BIMS-289-502,19,2,1,0,0,22,3.818,0,0,0,0,0,22,YOUNG C
,86.36%,9.09%,4.55%,0.00%,0.00%,,,,,,,,,
BIMS-289-503,6,0,0,0,0,6,4,0,0,0,0,0,6,KRENEK N
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,74,8,3,0,1,86,3.816,0,0,0,0,0,86,
,86.05%,9.30%,3.49%,0.00%,1.16%,,,,,,,,,
BIMS-320-200,13,2,0,0,0,15,3.866,0,0,0,0,0,15,SEABURY C
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-320-502,42,24,9,0,0,75,3.44,0,0,0,0,0,75,DERR J
,56.00%,32.00%,12.00%,0.00%,0.00%,,,,,,,,,
BIMS-320-503,20,20,14,2,0,56,3.035,0,0,0,1,0,57,MURPHY W
,35.71%,35.71%,25.00%,3.57%,0.00%,,,,,,,,,
BIMS-320-504,44,18,17,3,0,82,3.256,0,0,0,0,0,82,SKOW L
,53.66%,21.95%,20.73%,3.66%,0.00%,,,,,,,,,
COURSE TOTAL:,119,64,40,5,0,228,3.302,0,0,0,1,0,229,
,52.19%,28.07%,17.54%,2.19%,0.00%,,,,,,,,,
BIMS-421-500,31,2,0,0,0,33,3.939,0,0,0,0,0,33,VENKATRAJ V
,93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,2,0,0,0,33,3.939,0,0,0,0,0,33,
,93.94%,6.06%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-485-501,14,1,0,0,0,15,3.918,2,4,0,0,0,21,CROUCH E
,93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
BIMS-485-543,16,0,0,0,0,16,4,1,0,0,0,0,17,CROUCH E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,30,1,0,0,0,31,3.956,3,4,0,0,0,38,
,96.77%,3.23%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-686-600,38,0,0,0,1,39,3.897,0,1,0,0,0,40,JOHNSON L
,97.44%,0.00%,0.00%,0.00%,2.56%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,38,0,0,0,1,39,3.897,0,1,0,0,0,40,
,97.44%,0.00%,0.00%,0.00%,2.56%,,,,,,,,,
DEPARTMENT TOTAL:,723,138,53,5,6,925,3.594,3,5,0,2,0,935,
,78.16%,14.92%,5.73%,0.54%,0.65%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
