,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,BUSH SCHOOL OF GOVT. - DEANS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BUSH-631-601,25,3,0,0,0,28,3.892,0,0,0,0,0,28,LENZ E
,89.29%,10.71%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-631-700,13,2,0,0,1,16,3.625,0,0,0,0,0,16,BULLOCK J
,81.25%,12.50%,0.00%,0.00%,6.25%,,,,,,,,,
COURSE TOTAL:,38,5,0,0,1,44,3.795,0,0,0,0,0,44,
,86.36%,11.36%,0.00%,0.00%,2.27%,,,,,,,,,
BUSH-632-600,18,4,0,0,0,22,3.818,0,0,0,0,0,22,BULLOCK J
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,4,0,0,0,22,3.818,0,0,0,0,0,22,
,81.82%,18.18%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-635-601,11,4,1,2,1,19,3.157,0,0,0,0,0,19,MARCHBANKS M
,57.89%,21.05%,5.26%,10.53%,5.26%,,,,,,,,,
BUSH-635-602,15,4,0,0,0,19,3.789,0,0,0,0,0,19,CORTES K
,78.95%,21.05%,0.00%,0.00%,0.00%,,,,,,,,,
BUSH-635-603,8,3,0,0,0,11,3.727,0,0,0,0,0,11,MU R
,72.73%,27.27%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,34,11,1,2,1,49,3.53,0,0,0,0,0,49,
,69.39%,22.45%,2.04%,4.08%,2.04%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,BUSH SCHOOL OF GOVT. - DEANS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,90,20,1,2,2,115,3.686,0,0,0,0,0,115,
,78.26%,17.39%,0.87%,1.74%,1.74%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,BUSH SCHOOL OF GOV & PUB SERV,,,,,,,,,,,,,
DEPARTMENT:,INTERNATIONAL AFFAIRS,,,,,TOTAL,,,,,,,,
