,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-209-501,89,142,148,25,2,406,2.716,0,0,0,25,0,431,CLARKE M
,21.92%,34.98%,36.45%,6.16%,0.49%,,,,,,,,,
ACCT-209-502,100,143,135,20,2,400,2.797,0,0,0,24,0,424,CLARKE M
,25.00%,35.75%,33.75%,5.00%,0.50%,,,,,,,,,
ACCT-209-503,2,7,3,1,2,15,2.4,0,0,0,1,0,16,CLARKE M
,13.33%,46.67%,20.00%,6.67%,13.33%,,,,,,,,,
COURSE TOTAL:,191,292,286,46,6,821,2.75,0,0,0,50,0,871,
,23.26%,35.57%,34.84%,5.60%,0.73%,,,,,,,,,
ACCT-210-501,44,49,33,13,17,156,2.576,4,0,0,15,0,175,STRAWSER R
,28.21%,31.41%,21.15%,8.33%,10.90%,,,,,,,,,
COURSE TOTAL:,44,49,33,13,17,156,2.576,4,0,0,15,0,175,
,28.21%,31.41%,21.15%,8.33%,10.90%,,,,,,,,,
ACCT-229-200,12,8,1,0,0,21,3.523,0,0,0,0,0,21,KNOOP J
,57.14%,38.10%,4.76%,0.00%,0.00%,,,,,,,,,
ACCT-229-201,7,10,2,0,0,19,3.263,0,0,0,0,0,19,KNOOP J
,36.84%,52.63%,10.53%,0.00%,0.00%,,,,,,,,,
ACCT-229-202,14,9,1,0,0,24,3.541,0,0,0,0,0,24,KNOOP J
,58.33%,37.50%,4.17%,0.00%,0.00%,,,,,,,,,
ACCT-229-501,6,15,13,2,0,36,2.694,0,0,0,3,0,39,BARRETT J
,16.67%,41.67%,36.11%,5.56%,0.00%,,,,,,,,,
ACCT-229-502,5,14,9,2,1,31,2.645,0,0,0,6,0,37,BARRETT J
,16.13%,45.16%,29.03%,6.45%,3.23%,,,,,,,,,
ACCT-229-503,4,14,8,5,2,33,2.393,0,0,0,5,0,38,BARRETT J
,12.12%,42.42%,24.24%,15.15%,6.06%,,,,,,,,,
ACCT-229-504,6,13,14,7,2,42,2.333,0,0,0,12,0,54,HEAD M
,14.29%,30.95%,33.33%,16.67%,4.76%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
