,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF EDUCATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CEHD-603-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,GOODSON P
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EDAD-601-600,7,0,0,0,0,7,4,0,0,0,0,0,7,HAYNES DAVISON C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4,0,0,0,0,0,7,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-605-700,44,2,0,0,1,47,3.872,0,0,0,0,0,47,IRBY B
,93.62%,4.26%,0.00%,0.00%,2.13%,,,,,,,,,
COURSE TOTAL:,44,2,0,0,1,47,3.872,0,0,0,0,0,47,
,93.62%,4.26%,0.00%,0.00%,2.13%,,,,,,,,,
EDAD-606-700,24,2,1,0,0,27,3.851,0,0,0,0,0,27,FAHRENWALD C
,88.89%,7.41%,3.70%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,2,1,0,0,27,3.851,0,0,0,0,0,27,
,88.89%,7.41%,3.70%,0.00%,0.00%,,,,,,,,,
EDAD-608-700,27,0,0,0,0,27,4,0,0,0,0,0,27,POENITZSCH N
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,27,0,0,0,0,27,4,0,0,0,0,0,27,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-609-700,28,0,0,0,0,28,4,0,0,0,0,0,28,POENITZSCH N
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,0,0,0,0,28,4,0,0,0,0,0,28,
