,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ANTHROPOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ANTH-201-500,17,37,17,6,6,83,2.638,0,0,0,13,0,96,BURKE A
,20.48%,44.58%,20.48%,7.23%,7.23%,,,,,,,,,
ANTH-201-501,9,34,28,11,3,85,2.411,0,0,0,12,0,97,ALVARD M
,10.59%,40.00%,32.94%,12.94%,3.53%,,,,,,,,,
COURSE TOTAL:,26,71,45,17,9,168,2.523,0,0,0,25,0,193,
,15.48%,42.26%,26.79%,10.12%,5.36%,,,,,,,,,
ANTH-202-500,4,19,13,4,3,43,2.395,0,0,0,2,0,45,WATERS M
,9.30%,44.19%,30.23%,9.30%,6.98%,,,,,,,,,
COURSE TOTAL:,4,19,13,4,3,43,2.395,0,0,0,2,0,45,
,9.30%,44.19%,30.23%,9.30%,6.98%,,,,,,,,,
ANTH-204-500,6,15,10,4,0,35,2.657,0,0,0,6,0,41,GRAF K
,17.14%,42.86%,28.57%,11.43%,0.00%,,,,,,,,,
COURSE TOTAL:,6,15,10,4,0,35,2.657,0,0,0,6,0,41,
,17.14%,42.86%,28.57%,11.43%,0.00%,,,,,,,,,
ANTH-205-500,39,19,9,1,2,70,3.314,1,0,0,0,1,72,DEMPSEY A
,55.71%,27.14%,12.86%,1.43%,2.86%,,,,,,,,,
ANTH-205-501,24,68,30,2,0,124,2.919,1,0,0,2,0,127,VIEIRA DE CASTRO L
,19.35%,54.84%,24.19%,1.61%,0.00%,,,,,,,,,
ANTH-205-502,62,35,20,2,3,122,3.237,0,0,0,3,0,125,LYNCH D
,50.82%,28.69%,16.39%,1.64%,2.46%,,,,,,,,,
ANTH-205-503,65,43,9,1,3,121,3.371,0,0,0,2,0,123,LYNCH D
,53.72%,35.54%,7.44%,0.83%,2.48%,,,,,,,,,
ANTH-205-504,41,12,0,0,0,53,3.773,0,0,0,1,0,54,HODGES S
,77.36%,22.64%,0.00%,0.00%,0.00%,,,,,,,,,
ANTH-205-505,24,27,12,2,0,65,3.123,0,1,0,1,0,67,DOHERTY C
,36.92%,41.54%,18.46%,3.08%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ANTHROPOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
