,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-601-300,68,0,0,0,0,68,4,0,0,0,0,68,PETERSON S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-601-301,36,1,0,0,0,37,3.972,0,0,0,0,37,PETERSON S
,97.30%,2.70%,0.00%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,104,1,0,0,0,105,3.99,0,0,0,0,105,
,99.05%,0.95%,0.00%,0.00%,0.00%,,,,,,,,
PHAR-606-300,62,0,6,0,0,68,3.823,0,0,0,0,68,JOSEPH M
,91.18%,0.00%,8.82%,0.00%,0.00%,,,,,,,,
PHAR-606-301,35,0,2,0,0,37,3.891,0,0,0,0,37,JOSEPH M
,94.59%,0.00%,5.41%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,97,0,8,0,0,105,3.847,0,0,0,0,105,
,92.38%,0.00%,7.62%,0.00%,0.00%,,,,,,,,
PHAR-611-300,18,23,24,2,1,68,2.808,0,0,0,0,68,PETERSON S
,26.47%,33.82%,35.29%,2.94%,1.47%,,,,,,,,
PHAR-611-301,18,12,6,0,0,36,3.333,1,0,0,0,37,PETERSON S
,50.00%,33.33%,16.67%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,36,35,30,2,1,104,2.99,1,0,0,0,105,
,34.62%,33.65%,28.85%,1.92%,0.96%,,,,,,,,
PHAR-628-300,28,34,6,0,0,68,3.323,0,0,0,0,68,ZHONG L
,41.18%,50.00%,8.82%,0.00%,0.00%,,,,,,,,
PHAR-628-301,24,11,2,0,0,37,3.594,0,0,0,0,37,ZHONG L
,64.86%,29.73%,5.41%,0.00%,0.00%,,,,,,,,
COURSE TOTAL:,52,45,8,0,0,105,3.419,0,0,0,0,105,
,49.52%,42.86%,7.62%,0.00%,0.00%,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,
,,,,,Professional Pharmacy,,,,,,,,
COLLEGE:,PHARMACY,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF PHARMACY,,,,,TOTAL,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- -----,,,------- -------------------,
PHAR-642-300,14,45,7,1,1,68,3.029,0,0,0,0,68,NUTAN M
,20.59%,66.18%,10.29%,1.47%,1.47%,,,,,,,,
PHAR-642-301,15,18,3,0,0,36,3.333,1,0,0,0,37,NUTAN M
