,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,BIOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BIOL-107-501,2,7,10,4,0,23,2.304,0,0,0,1,0,24,WINEMILLER L
,8.70%,30.43%,43.48%,17.39%,0.00%,,,,,,,,,
BIOL-107-502,7,3,9,1,0,20,2.8,0,0,0,1,0,21,WINEMILLER L
,35.00%,15.00%,45.00%,5.00%,0.00%,,,,,,,,,
BIOL-107-503,7,7,3,0,0,17,3.235,0,0,0,3,0,20,WINEMILLER L
,41.18%,41.18%,17.65%,0.00%,0.00%,,,,,,,,,
BIOL-107-504,6,9,6,1,0,22,2.909,0,0,0,0,0,22,WINEMILLER L
,27.27%,40.91%,27.27%,4.55%,0.00%,,,,,,,,,
BIOL-107-505,7,5,10,1,1,24,2.666,0,0,0,0,0,24,WINEMILLER L
,29.17%,20.83%,41.67%,4.17%,4.17%,,,,,,,,,
BIOL-107-507,4,6,3,4,2,19,2.315,0,0,0,3,0,22,WINEMILLER L
,21.05%,31.58%,15.79%,21.05%,10.53%,,,,,,,,,
BIOL-107-508,2,6,4,0,0,12,2.833,0,0,0,2,0,14,WINEMILLER L
,16.67%,50.00%,33.33%,0.00%,0.00%,,,,,,,,,
BIOL-107-509,1,4,2,1,1,9,2.333,0,0,0,0,0,9,WINEMILLER L
,11.11%,44.44%,22.22%,11.11%,11.11%,,,,,,,,,
BIOL-107-510,5,1,6,2,0,14,2.642,0,0,0,0,0,14,WINEMILLER L
,35.71%,7.14%,42.86%,14.29%,0.00%,,,,,,,,,
COURSE TOTAL:,41,48,53,14,4,160,2.675,0,0,0,10,0,170,
,25.63%,30.00%,33.13%,8.75%,2.50%,,,,,,,,,
BIOL-111-501,10,6,4,1,2,23,2.913,0,0,0,1,0,24,LEBOEUF B
,43.48%,26.09%,17.39%,4.35%,8.70%,,,,,,,,,
BIOL-111-502,12,7,3,0,0,22,3.409,0,0,0,2,0,24,LEBOEUF B
,54.55%,31.82%,13.64%,0.00%,0.00%,,,,,,,,,
BIOL-111-503,9,6,8,1,0,24,2.958,0,0,0,0,0,24,LEBOEUF B
,37.50%,25.00%,33.33%,4.17%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,BIOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
