,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AGCJ-105-500,8,1,1,0,0,10,3.7,0,0,0,0,0,10,ROBERTS L
,80.00%,10.00%,10.00%,0.00%,0.00%,,,,,,,,,
AGCJ-105-501,31,2,3,0,1,37,3.675,0,1,0,0,0,38,ROBERTS L
,83.78%,5.41%,8.11%,0.00%,2.70%,,,,,,,,,
COURSE TOTAL:,39,3,4,0,1,47,3.68,0,1,0,0,0,48,
,82.98%,6.38%,8.51%,0.00%,2.13%,,,,,,,,,
AGCJ-281-500,22,1,0,0,0,23,3.956,0,0,0,0,0,23,NORRIS S
,95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,1,0,0,0,23,3.956,0,0,0,0,0,23,
,95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
AGCJ-306-599,54,16,1,0,0,71,3.746,0,0,0,0,0,71,WALTHER D
,76.06%,22.54%,1.41%,0.00%,0.00%,,,,,,,,,
AGCJ-306-700,12,2,1,0,0,15,3.733,0,0,0,0,0,15,WALTHER D
,80.00%,13.33%,6.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,66,18,2,0,0,86,3.744,0,0,0,0,0,86,
,76.74%,20.93%,2.33%,0.00%,0.00%,,,,,,,,,
AGCJ-307-501,11,2,3,0,0,16,3.5,0,0,0,0,0,16,WAGNER S
,68.75%,12.50%,18.75%,0.00%,0.00%,,,,,,,,,
AGCJ-307-700,19,10,5,3,2,39,3.051,0,0,0,2,0,41,TOPP K
,48.72%,25.64%,12.82%,7.69%,5.13%,,,,,,,,,
COURSE TOTAL:,30,12,8,3,2,55,3.181,0,0,0,2,0,57,
,54.55%,21.82%,14.55%,5.45%,3.64%,,,,,,,,,
AGCJ-312-501,31,18,4,1,2,56,3.339,3,0,0,1,0,60,DUNSFORD D
,55.36%,32.14%,7.14%,1.79%,3.57%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,31,18,4,1,2,56,3.339,3,0,0,1,0,60,
,55.36%,32.14%,7.14%,1.79%,3.57%,,,,,,,,,
AGCJ-313-901,11,9,1,0,0,21,3.476,0,0,0,0,0,21,MCGRATH P
,52.38%,42.86%,4.76%,0.00%,0.00%,,,,,,,,,
AGCJ-313-902,17,4,1,0,0,22,3.727,0,0,0,0,0,22,MCGRATH P
,77.27%,18.18%,4.55%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,28,13,2,0,0,43,3.604,0,0,0,0,0,43,
,65.12%,30.23%,4.65%,0.00%,0.00%,,,,,,,,,
AGCJ-314-901,17,3,1,0,0,21,3.761,0,0,0,0,0,21,REDWINE T
,80.95%,14.29%,4.76%,0.00%,0.00%,,,,,,,,,
AGCJ-314-902,22,5,1,0,0,28,3.75,0,0,0,0,0,28,REDWINE T
,78.57%,17.86%,3.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,39,8,2,0,0,49,3.755,0,0,0,0,0,49,
,79.59%,16.33%,4.08%,0.00%,0.00%,,,,,,,,,
AGCJ-405-501,23,0,1,0,0,24,3.916,0,0,0,0,0,24,REDWINE T
,95.83%,0.00%,4.17%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,23,0,1,0,0,24,3.916,0,0,0,0,0,24,
,95.83%,0.00%,4.17%,0.00%,0.00%,,,,,,,,,
AGCJ-407-599,22,3,1,0,0,26,3.807,0,0,0,0,0,26,MISZTAL M
,84.62%,11.54%,3.85%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,3,1,0,0,26,3.807,0,0,0,0,0,26,
,84.62%,11.54%,3.85%,0.00%,0.00%,,,,,,,,,
AGCJ-408-700,4,3,2,0,0,9,3.222,0,0,0,0,0,9,WEGENER R
,44.44%,33.33%,22.22%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,AGRICULTURE & LIFE SCIENCES,,,,,,,,,,,,,
DEPARTMENT:,"AG LEADERSHIP, EDUC & COMM",,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,4,3,2,0,0,9,3.222,0,0,0,0,0,9,
,44.44%,33.33%,22.22%,0.00%,0.00%,,,,,,,,,
AGCJ-409-500,9,0,0,0,0,9,4,0,0,0,2,0,11,ZENT R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,2,0,11,
