,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEM-107-401,5,20,8,4,3,40,2.5,0,0,0,2,0,42,NAIR R
,12.50%,50.00%,20.00%,10.00%,7.50%,,,,,,,,,
CHEM-107-402,15,26,14,3,5,63,2.682,0,0,0,0,0,63,NAIR R
,23.81%,41.27%,22.22%,4.76%,7.94%,,,,,,,,,
COURSE TOTAL:,20,46,22,7,8,103,2.611,0,0,0,2,0,105,
,19.42%,44.66%,21.36%,6.80%,7.77%,,,,,,,,,
CHEM-117-401,10,7,2,0,0,19,3.421,0,0,0,0,0,19,TOWNSEND G
,52.63%,36.84%,10.53%,0.00%,0.00%,,,,,,,,,
CHEM-117-402,4,4,3,1,1,13,2.692,0,0,0,0,0,13,TOWNSEND G
,30.77%,30.77%,23.08%,7.69%,7.69%,,,,,,,,,
CHEM-117-403,12,1,1,3,2,19,2.947,0,0,0,0,0,19,TOWNSEND G
,63.16%,5.26%,5.26%,15.79%,10.53%,,,,,,,,,
CHEM-117-404,1,6,0,0,3,10,2.2,0,0,0,0,0,10,TOWNSEND G
,10.00%,60.00%,0.00%,0.00%,30.00%,,,,,,,,,
CHEM-117-405,3,5,2,1,5,16,2,0,0,0,1,0,17,TOWNSEND G
,18.75%,31.25%,12.50%,6.25%,31.25%,,,,,,,,,
CHEM-117-406,8,6,0,2,1,17,3.058,0,0,0,0,0,17,TOWNSEND G
,47.06%,35.29%,0.00%,11.76%,5.88%,,,,,,,,,
COURSE TOTAL:,38,29,8,7,12,94,2.787,0,0,0,1,0,95,
,40.43%,30.85%,8.51%,7.45%,12.77%,,,,,,,,,
CHEM-119-400,2,4,9,1,1,17,2.294,0,0,0,0,0,17,TOWNSEND G
,11.76%,23.53%,52.94%,5.88%,5.88%,,,,,,,,,
CHEM-119-401,2,4,4,1,3,14,2.071,0,0,0,0,0,14,TOWNSEND G
,14.29%,28.57%,28.57%,7.14%,21.43%,,,,,,,,,
CHEM-119-402,1,2,3,1,3,10,1.7,0,0,0,0,0,10,TOWNSEND G
,10.00%,20.00%,30.00%,10.00%,30.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,5,10,16,3,7,41,2.073,0,0,0,0,0,41,
,12.20%,24.39%,39.02%,7.32%,17.07%,,,,,,,,,
CHEM-120-200,4,4,2,0,0,10,3.2,0,0,0,0,0,10,GALAN J
,40.00%,40.00%,20.00%,0.00%,0.00%,,,,,,,,,
CHEM-120-400,4,5,5,3,1,18,2.444,0,0,0,1,0,19,TOWNSEND G
,22.22%,27.78%,27.78%,16.67%,5.56%,,,,,,,,,
CHEM-120-401,7,5,4,2,0,18,2.944,0,0,0,0,0,18,TOWNSEND G
,38.89%,27.78%,22.22%,11.11%,0.00%,,,,,,,,,
CHEM-120-402,1,4,9,2,1,17,2.117,0,0,0,1,0,18,TOWNSEND G
,5.88%,23.53%,52.94%,11.76%,5.88%,,,,,,,,,
CHEM-120-403,4,8,1,2,2,17,2.588,0,0,0,0,0,17,TOWNSEND G
,23.53%,47.06%,5.88%,11.76%,11.76%,,,,,,,,,
CHEM-120-404,5,5,5,0,3,18,2.5,0,0,0,0,0,18,TOWNSEND G
,27.78%,27.78%,27.78%,0.00%,16.67%,,,,,,,,,
CHEM-120-405,2,5,7,3,1,18,2.222,0,0,0,0,0,18,NAIR R
,11.11%,27.78%,38.89%,16.67%,5.56%,,,,,,,,,
CHEM-120-406,2,2,5,5,3,17,1.705,0,0,0,0,0,17,NAIR R
,11.76%,11.76%,29.41%,29.41%,17.65%,,,,,,,,,
CHEM-120-407,2,5,5,2,2,16,2.187,0,0,0,0,0,16,NAIR R
,12.50%,31.25%,31.25%,12.50%,12.50%,,,,,,,,,
COURSE TOTAL:,31,43,43,19,13,149,2.402,0,0,0,2,0,151,
,20.81%,28.86%,28.86%,12.75%,8.72%,,,,,,,,,
CHEM-227-401,1,5,15,3,0,24,2.166,0,0,0,2,0,26,ARONSON C
,4.17%,20.83%,62.50%,12.50%,0.00%,,,,,,,,,
COURSE TOTAL:,1,5,15,3,0,24,2.166,0,0,0,2,0,26,
,4.17%,20.83%,62.50%,12.50%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEM-228-401,23,12,9,7,0,51,3,0,0,0,0,0,51,MOSER M
,45.10%,23.53%,17.65%,13.73%,0.00%,,,,,,,,,
CHEM-228-402,7,6,4,1,0,18,3.055,0,0,0,1,0,19,MOSER M
,38.89%,33.33%,22.22%,5.56%,0.00%,,,,,,,,,
COURSE TOTAL:,30,18,13,8,0,69,3.014,0,0,0,1,0,70,
,43.48%,26.09%,18.84%,11.59%,0.00%,,,,,,,,,
CHEM-237-401,8,3,0,1,0,12,3.5,0,0,0,0,0,12,TOWNSEND G
,66.67%,25.00%,0.00%,8.33%,0.00%,,,,,,,,,
CHEM-237-402,8,2,1,0,0,11,3.636,0,0,0,0,0,11,TOWNSEND G
,72.73%,18.18%,9.09%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,5,1,1,0,23,3.565,0,0,0,0,0,23,
,69.57%,21.74%,4.35%,4.35%,0.00%,,,,,,,,,
CHEM-238-401,5,2,1,1,1,10,2.9,0,0,0,0,0,10,TOWNSEND G
,50.00%,20.00%,10.00%,10.00%,10.00%,,,,,,,,,
CHEM-238-402,9,4,0,1,0,14,3.5,0,0,0,0,0,14,TOWNSEND G
,64.29%,28.57%,0.00%,7.14%,0.00%,,,,,,,,,
CHEM-238-403,10,3,0,0,0,13,3.769,0,0,0,0,0,13,TOWNSEND G
,76.92%,23.08%,0.00%,0.00%,0.00%,,,,,,,,,
CHEM-238-404,7,5,0,0,0,12,3.583,0,0,0,1,0,13,TOWNSEND G
,58.33%,41.67%,0.00%,0.00%,0.00%,,,,,,,,,
CHEM-238-405,6,1,0,1,0,8,3.5,0,0,0,0,0,8,TOWNSEND G
,75.00%,12.50%,0.00%,12.50%,0.00%,,,,,,,,,
CHEM-238-406,7,3,0,0,0,10,3.7,0,0,0,0,1,11,TOWNSEND G
,70.00%,30.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,44,18,1,3,1,67,3.507,0,0,0,1,1,69,
,65.67%,26.87%,1.49%,4.48%,1.49%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEM-466-400,2,1,3,1,0,7,2.571,0,0,0,0,0,7,ARONSON C
,28.57%,14.29%,42.86%,14.29%,0.00%,,,,,,,,,
COURSE TOTAL:,2,1,3,1,0,7,2.571,0,0,0,0,0,7,
,28.57%,14.29%,42.86%,14.29%,0.00%,,,,,,,,,
MATH-140-401,11,6,2,0,0,19,3.473,0,0,0,0,2,21,ACERO-SCHERTZER C
,57.89%,31.58%,10.53%,0.00%,0.00%,,,,,,,,,
MATH-140-403,6,1,1,2,5,15,2.066,0,0,0,0,0,15,PANGEMANAN A
,40.00%,6.67%,6.67%,13.33%,33.33%,,,,,,,,,
COURSE TOTAL:,17,7,3,2,5,34,2.852,0,0,0,0,2,36,
,50.00%,20.59%,8.82%,5.88%,14.71%,,,,,,,,,
MATH-142-402,2,11,5,1,4,23,2.26,0,0,0,3,4,30,ACERO-SCHERTZER C
,8.70%,47.83%,21.74%,4.35%,17.39%,,,,,,,,,
MATH-142-403,4,3,3,2,6,18,1.833,0,0,0,1,0,19,QIU L
,22.22%,16.67%,16.67%,11.11%,33.33%,,,,,,,,,
MATH-142-404,14,10,9,1,2,36,2.916,0,0,0,1,1,38,WARREN J
,38.89%,27.78%,25.00%,2.78%,5.56%,,,,,,,,,
COURSE TOTAL:,20,24,17,4,12,77,2.467,0,0,0,5,5,87,
,25.97%,31.17%,22.08%,5.19%,15.58%,,,,,,,,,
MATH-147-401,16,7,3,2,1,29,3.206,0,0,0,0,0,29,ARISTIDOU M
,55.17%,24.14%,10.34%,6.90%,3.45%,,,,,,,,,
MATH-147-402,8,5,6,1,1,21,2.857,0,0,0,0,0,21,ARISTIDOU M
,38.10%,23.81%,28.57%,4.76%,4.76%,,,,,,,,,
MATH-147-403,11,3,3,0,0,17,3.47,0,0,0,1,0,18,ARISTIDOU M
,64.71%,17.65%,17.65%,0.00%,0.00%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,35,15,12,3,2,67,3.164,0,0,0,1,0,68,
,52.24%,22.39%,17.91%,4.48%,2.99%,,,,,,,,,
MATH-150-401,4,14,11,5,10,44,1.931,0,0,0,1,0,45,PANGEMANAN A
,9.09%,31.82%,25.00%,11.36%,22.73%,,,,,,,,,
COURSE TOTAL:,4,14,11,5,10,44,1.931,0,0,0,1,0,45,
,9.09%,31.82%,25.00%,11.36%,22.73%,,,,,,,,,
MATH-151-402,6,7,8,6,0,27,2.481,1,0,0,0,0,28,BROWN P
,22.22%,25.93%,29.63%,22.22%,0.00%,,,,,,,,,
MATH-151-403,6,13,7,2,2,30,2.633,0,0,0,0,0,30,QIU L
,20.00%,43.33%,23.33%,6.67%,6.67%,,,,,,,,,
MATH-151-405,8,9,4,1,5,27,2.518,0,0,0,0,0,27,ACERO-SCHERTZER C
,29.63%,33.33%,14.81%,3.70%,18.52%,,,,,,,,,
MATH-151-409,7,11,8,2,3,31,2.548,0,0,0,0,0,31,QIU L
,22.58%,35.48%,25.81%,6.45%,9.68%,,,,,,,,,
COURSE TOTAL:,27,40,27,11,10,115,2.547,1,0,0,0,0,116,
,23.48%,34.78%,23.48%,9.57%,8.70%,,,,,,,,,
MATH-152-402,18,17,15,1,0,51,3.019,0,0,0,0,0,51,SUEN C
,35.29%,33.33%,29.41%,1.96%,0.00%,,,,,,,,,
MATH-152-405,38,13,3,5,0,59,3.423,0,0,0,0,0,59,YI E
,64.41%,22.03%,5.08%,8.47%,0.00%,,,,,,,,,
MATH-152-408,17,19,14,1,0,51,3.019,0,0,0,0,0,51,SUEN C
,33.33%,37.25%,27.45%,1.96%,0.00%,,,,,,,,,
MATH-152-409,5,7,5,0,2,19,2.684,0,0,0,0,0,19,LUXEMBURG L
,26.32%,36.84%,26.32%,0.00%,10.53%,,,,,,,,,
,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,FOUNDATIONAL SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,78,56,37,7,2,180,3.116,0,0,0,0,0,180,
,43.33%,31.11%,20.56%,3.89%,1.11%,,,,,,,,,
MATH-251-401,3,15,4,1,1,24,2.75,0,0,0,0,0,24,KANG C
,12.50%,62.50%,16.67%,4.17%,4.17%,,,,,,,,,
COURSE TOTAL:,3,15,4,1,1,24,2.75,0,0,0,0,0,24,
,12.50%,62.50%,16.67%,4.17%,4.17%,,,,,,,,,
MATH-308-401,7,5,3,2,3,20,2.55,0,0,0,0,0,20,LUXEMBURG L
,35.00%,25.00%,15.00%,10.00%,15.00%,,,,,,,,,
COURSE TOTAL:,7,5,3,2,3,20,2.55,0,0,0,0,0,20,
,35.00%,25.00%,15.00%,10.00%,15.00%,,,,,,,,,
MATH-401-401,2,2,3,0,0,7,2.857,0,0,0,0,0,7,BROWN P
