,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERS-102-502,41,7,1,0,0,49,3.816,0,0,0,0,0,49,ORR M
,83.67%,14.29%,2.04%,0.00%,0.00%,,,,,,,,,
AERS-102-503,43,6,0,0,0,49,3.877,0,0,0,0,0,49,ORR M
,87.76%,12.24%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-504,41,5,1,0,1,48,3.77,0,0,0,0,0,48,PEREZ M
,85.42%,10.42%,2.08%,0.00%,2.08%,,,,,,,,,
AERS-102-505,37,2,2,0,1,42,3.761,0,0,0,0,0,42,PEREZ M
,88.10%,4.76%,4.76%,0.00%,2.38%,,,,,,,,,
AERS-102-507,28,2,0,0,0,30,3.933,0,0,0,0,0,30,SILVA H
,93.33%,6.67%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-102-508,34,4,1,0,1,40,3.75,0,0,0,0,0,40,SILVA H
,85.00%,10.00%,2.50%,0.00%,2.50%,,,,,,,,,
COURSE TOTAL:,224,26,5,0,3,258,3.813,0,0,0,0,0,258,
,86.82%,10.08%,1.94%,0.00%,1.16%,,,,,,,,,
AERS-106-501,148,10,5,0,0,163,3.877,0,0,0,0,0,163,ORR M
,90.80%,6.13%,3.07%,0.00%,0.00%,,,,,,,,,
AERS-106-502,165,11,2,0,0,178,3.915,0,0,0,0,0,178,ORR M
,92.70%,6.18%,1.12%,0.00%,0.00%,,,,,,,,,
AERS-106-503,34,0,0,0,0,34,4,0,0,0,0,0,34,TATER C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-106-504,24,0,0,0,0,24,4,0,0,0,0,0,24,TATER C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-106-505,54,1,1,0,0,56,3.946,0,0,0,0,0,56,TATER C
,96.43%,1.79%,1.79%,0.00%,0.00%,,,,,,,,,
AERS-106-506,41,3,1,0,0,45,3.888,0,0,0,0,0,45,TATER C
,91.11%,6.67%,2.22%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,466,25,9,0,0,500,3.914,0,0,0,0,0,500,
,93.20%,5.00%,1.80%,0.00%,0.00%,,,,,,,,,
AERS-202-501,16,0,0,0,0,16,4,0,0,0,0,0,16,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-502,15,5,0,0,0,20,3.75,0,0,0,0,0,20,COOPER H
,75.00%,25.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-503,17,0,0,0,0,17,4,0,0,0,0,0,17,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-505,18,0,0,0,0,18,4,0,0,0,0,0,18,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-506,14,0,0,0,0,14,4,0,0,0,0,0,14,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-202-507,13,0,0,0,0,13,4,0,0,0,0,0,13,COOPER H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,93,5,0,0,0,98,3.948,0,0,0,0,0,98,
,94.90%,5.10%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-501,26,0,0,0,0,26,4,0,0,0,0,0,26,CARTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-502,26,0,0,0,0,26,4,0,0,0,0,0,26,CARTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-503,24,0,0,0,0,24,4,0,0,0,0,0,24,CARTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-304-504,18,0,0,0,0,18,4,0,0,0,0,0,18,CARTER R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,94,0,0,0,0,94,4,0,0,0,0,0,94,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MILITARY SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERS-404-501,19,3,0,0,0,22,3.863,0,0,0,0,0,22,GUGAS C
,86.36%,13.64%,0.00%,0.00%,0.00%,,,,,,,,,
AERS-404-502,22,2,0,0,0,24,3.916,0,0,0,0,0,24,GUGAS C
,91.67%,8.33%,0.00%,0.00%,0.00%,,,,,,,,,
