,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-944-301,50,83,8,0,0,141,3.297,0,0,0,0,0,141,CERFOGLI J
,35.46%,58.87%,5.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,50,83,8,0,0,141,3.297,0,0,0,0,0,141,
,35.46%,58.87%,5.67%,0.00%,0.00%,,,,,,,,,
VMID-964-300,40,51,0,6,0,97,3.288,40,0,0,0,0,137,TAYCE J
,41.24%,52.58%,0.00%,6.19%,0.00%,,,,,,,,,
COURSE TOTAL:,40,51,0,6,0,97,3.288,40,0,0,0,0,137,
,41.24%,52.58%,0.00%,6.19%,0.00%,,,,,,,,,
VMID-966-300,54,76,7,0,0,137,3.343,0,0,0,0,0,137,SCALLAN E
,39.42%,55.47%,5.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,54,76,7,0,0,137,3.343,0,0,0,0,0,137,
,39.42%,55.47%,5.11%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,144,210,15,6,0,375,3.313,40,0,0,0,0,415,
,38.40%,56.00%,4.00%,1.60%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET INTEGRATIVE BIOSCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VIBS-912-301,31,80,41,8,0,160,2.837,0,0,0,0,0,160,HERMAN C
,19.38%,50.00%,25.63%,5.00%,0.00%,,,,,,,,,
COURSE TOTAL:,31,80,41,8,0,160,2.837,0,0,0,0,0,160,
,19.38%,50.00%,25.63%,5.00%,0.00%,,,,,,,,,
VIBS-914-301,84,76,0,0,0,160,3.525,0,0,0,0,0,160,FRANK-CANNON T
,52.50%,47.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,84,76,0,0,0,160,3.525,0,0,0,0,0,160,
,52.50%,47.50%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-948-300,17,0,0,0,0,17,4,0,0,0,0,0,17,YOUNG C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-948-304,10,0,0,0,0,10,4,0,0,0,0,0,10,BUDKE C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VIBS-948-310,136,0,0,0,0,136,4,0,0,0,0,0,136,BUDKE C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,163,0,0,0,0,163,4,0,0,0,0,0,163,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET INTEGRATIVE BIOSCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,278,156,41,8,0,483,3.38,0,0,0,0,0,483,
,57.56%,32.30%,8.49%,1.66%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2020,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET LARGE ANIMAL CLINICAL SC,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VLCS-910-301,59,96,5,0,0,160,3.337,0,0,0,0,0,160,EADES S
,36.88%,60.00%,3.13%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,59,96,5,0,0,160,3.337,0,0,0,0,0,160,
,36.88%,60.00%,3.13%,0.00%,0.00%,,,,,,,,,
VLCS-924-301,78,63,0,0,0,141,3.553,0,0,0,0,0,141,GILMOUR L
,55.32%,44.68%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,78,63,0,0,0,141,3.553,0,0,0,0,0,141,
,55.32%,44.68%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-926-301,119,22,0,0,0,141,3.843,0,0,0,0,0,141,HARDY J
,84.40%,15.60%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,119,22,0,0,0,141,3.843,0,0,0,0,0,141,
,84.40%,15.60%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-948-300,41,5,1,0,0,47,3.851,0,0,0,0,0,47,MAYS G
