,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ASCC-101-502,7,7,2,1,2,19,2.842,0,0,0,0,0,19,MCCLURE M
,36.84%,36.84%,10.53%,5.26%,10.53%,,,,,,,,,
ASCC-101-503,5,12,6,0,2,25,2.72,0,0,0,0,0,25,JONES M
,20.00%,48.00%,24.00%,0.00%,8.00%,,,,,,,,,
COURSE TOTAL:,12,19,8,1,4,44,2.772,0,0,0,0,0,44,
,27.27%,43.18%,18.18%,2.27%,9.09%,,,,,,,,,
DEPARTMENT TOTAL:,12,19,8,1,4,44,2.772,0,0,0,0,0,44,
,27.27%,43.18%,18.18%,2.27%,9.09%,,,,,,,,,
COLLEGE TOTAL:,12,19,8,1,4,44,2.772,0,0,0,0,0,44,
,27.27%,43.18%,18.18%,2.27%,9.09%,,,,,,,,,
