,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-209-501,364,358,99,9,9,839,3.262,0,0,0,54,0,893,CLARKE M
,43.38%,42.67%,11.80%,1.07%,1.07%,,,,,,,,,
ACCT-209-504,0,8,1,0,0,9,2.888,0,0,0,1,0,10,CLARKE M
,0.00%,88.89%,11.11%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,364,366,100,9,9,848,3.258,0,0,0,55,0,903,
,42.92%,43.16%,11.79%,1.06%,1.06%,,,,,,,,,
ACCT-210-501,122,62,32,17,5,238,3.172,4,0,0,6,0,248,STRAWSER R
,51.26%,26.05%,13.45%,7.14%,2.10%,,,,,,,,,
COURSE TOTAL:,122,62,32,17,5,238,3.172,4,0,0,6,0,248,
,51.26%,26.05%,13.45%,7.14%,2.10%,,,,,,,,,
ACCT-229-200,7,2,2,1,0,12,3.25,0,0,0,1,0,13,KNOOP J
,58.33%,16.67%,16.67%,8.33%,0.00%,,,,,,,,,
ACCT-229-201,14,8,0,0,0,22,3.636,0,0,0,2,0,24,KNOOP J
,63.64%,36.36%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-229-202,10,9,0,0,0,19,3.526,0,0,0,3,0,22,KNOOP J
,52.63%,47.37%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-229-501,40,29,29,15,1,114,2.807,0,0,0,30,0,144,BARRETT J
,35.09%,25.44%,25.44%,13.16%,0.88%,,,,,,,,,
ACCT-229-502,34,33,27,5,0,99,2.969,0,0,0,49,0,148,FOSTER C
,34.34%,33.33%,27.27%,5.05%,0.00%,,,,,,,,,
ACCT-229-504,7,6,9,3,2,27,2.481,0,0,0,13,0,40,HEAD M
,25.93%,22.22%,33.33%,11.11%,7.41%,,,,,,,,,
ACCT-229-505,12,13,3,5,3,36,2.722,0,0,0,5,0,41,KNOOP J
,33.33%,36.11%,8.33%,13.89%,8.33%,,,,,,,,,
ACCT-229-506,15,28,16,3,1,63,2.841,0,0,0,13,0,76,ARNOSKY C
,23.81%,44.44%,25.40%,4.76%,1.59%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-229-510,9,12,11,3,0,35,2.771,0,0,0,5,0,40,WEAVER A
,25.71%,34.29%,31.43%,8.57%,0.00%,,,,,,,,,
ACCT-229-511,7,13,10,3,1,34,2.647,1,0,0,4,0,39,WEAVER A
,20.59%,38.24%,29.41%,8.82%,2.94%,,,,,,,,,
ACCT-229-513,10,11,12,2,0,35,2.828,0,0,0,5,0,40,WEAVER A
,28.57%,31.43%,34.29%,5.71%,0.00%,,,,,,,,,
COURSE TOTAL:,165,164,119,40,8,496,2.883,1,0,0,130,0,627,
,33.27%,33.06%,23.99%,8.06%,1.61%,,,,,,,,,
ACCT-230-201,12,7,0,0,0,19,3.631,0,0,0,1,0,20,ALLEN N
,63.16%,36.84%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-230-501,63,83,55,14,0,215,2.906,0,0,0,17,0,232,ALLEN N
,29.30%,38.60%,25.58%,6.51%,0.00%,,,,,,,,,
ACCT-230-502,75,83,34,11,3,206,3.048,0,0,0,13,0,219,ALLEN N
,36.41%,40.29%,16.50%,5.34%,1.46%,,,,,,,,,
COURSE TOTAL:,150,173,89,25,3,440,3.004,0,0,0,31,0,471,
,34.09%,39.32%,20.23%,5.68%,0.68%,,,,,,,,,
ACCT-321-500,195,0,0,0,0,195,4,0,0,0,0,0,195,MCELROY T
