,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
LAW-603-603,2,4,0,0,0,6,3.333,0,0,0,0,0,6,HENNING W
,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,4,0,0,0,6,3.333,0,0,0,0,0,6,
,33.33%,66.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-611-601,7,2,0,0,0,9,3.777,0,0,0,0,0,9,SEYMORE M
,77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,2,0,0,0,9,3.777,0,0,0,0,0,9,
,77.78%,22.22%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-612-601,8,4,0,0,0,12,3.666,0,0,0,0,0,12,REILLY P
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,4,0,0,0,12,3.666,0,0,0,0,0,12,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-641-600,10,2,0,0,0,12,3.833,1,0,0,1,0,14,HALL M
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,2,0,0,0,12,3.833,1,0,0,1,0,14,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-642-601,1,3,2,0,0,6,2.833,0,0,0,0,0,6,SLATTERY J
,16.67%,50.00%,33.33%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,3,2,0,0,6,2.833,0,0,0,0,0,6,
,16.67%,50.00%,33.33%,0.00%,0.00%,,,,,,,,,
LAW-689-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,DUFFY T
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-604,26,4,0,0,0,30,3.866,0,0,0,0,0,30,HARGROVE D
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
LAW-689-700,15,4,1,1,2,23,3.26,0,0,0,1,0,24,HELGE T
,65.22%,17.39%,4.35%,4.35%,8.70%,,,,,,,,,
LAW-689-701,23,14,2,0,2,41,3.365,0,0,0,0,0,41,DANCY J
,56.10%,34.15%,4.88%,0.00%,4.88%,,,,,,,,,
LAW-689-702,9,19,1,1,0,30,3.2,0,0,0,1,1,32,WELSH N
,30.00%,63.33%,3.33%,3.33%,0.00%,,,,,,,,,
LAW-689-703,19,14,0,0,0,33,3.575,0,0,0,0,0,33,MAGNUSON W
,57.58%,42.42%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-704,21,9,0,0,1,31,3.58,2,0,0,1,0,34,ALEXANDER L
,67.74%,29.03%,0.00%,0.00%,3.23%,,,,,,,,,
LAW-689-705,19,11,0,0,0,30,3.633,5,0,0,0,0,35,BURT J
,63.33%,36.67%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-706,26,5,0,0,0,31,3.838,2,0,0,0,0,33,ALEXANDER L
,83.87%,16.13%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-707,41,3,0,0,1,45,3.844,0,0,0,0,0,45,TOPINKA J
,91.11%,6.67%,0.00%,0.00%,2.22%,,,,,,,,,
LAW-689-709,11,3,0,0,0,14,3.785,0,0,0,0,0,14,BYRNES W
,78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-710,7,3,0,0,0,10,3.7,1,0,0,0,0,11,WURTZ K
