,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ASSOC PROVOST FOR UG STUDIES,,,,,,,,,,,,,
DEPARTMENT:,AP-UNDERGRAD STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
UGST-492-550,12,0,0,1,0,13,4,0,0,0,0,0,13,WEBB S
,92.31%,0.00%,0.00%,7.69%,0.00%,,,,,,,,,
UGST-492-552,20,1,2,1,1,25,4,0,0,0,0,0,25,WEBB S
,80.00%,4.00%,8.00%,4.00%,4.00%,,,,,,,,,
COURSE TOTAL:,32,1,2,2,1,38,4,0,0,0,0,0,38,
,84.21%,2.63%,5.26%,5.26%,2.63%,,,,,,,,,
DEPARTMENT TOTAL:,32,1,2,2,1,38,4,0,0,0,0,0,38,
,84.21%,2.63%,5.26%,5.26%,2.63%,,,,,,,,,
COLLEGE TOTAL:,32,1,2,2,1,38,4,0,0,0,0,0,38,
,84.21%,2.63%,5.26%,5.26%,2.63%,,,,,,,,,
