,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,ENVIRONMENTAL & OCCPTNL HLTH,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PHEO-612-698,10,1,0,0,0,11,3.909,0,0,0,0,0,11,CARRILLO G
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,1,0,0,0,11,3.909,0,0,0,0,0,11,
,90.91%,9.09%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-630-600,6,1,1,0,0,8,3.625,0,0,0,0,0,8,JOHNSON N
,75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,1,0,0,8,3.625,0,0,0,0,0,8,
,75.00%,12.50%,12.50%,0.00%,0.00%,,,,,,,,,
PHEO-639-601,19,1,0,0,0,20,3.95,1,0,0,0,0,21,CIZMAS L
,95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,19,1,0,0,0,20,3.95,1,0,0,0,0,21,
,95.00%,5.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-640-600,7,8,2,0,0,17,3.294,0,0,0,0,0,17,PICKENS A
,41.18%,47.06%,11.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,8,2,0,0,17,3.294,0,0,0,0,0,17,
,41.18%,47.06%,11.76%,0.00%,0.00%,,,,,,,,,
PHEO-645-600,15,2,1,0,0,18,3.777,0,0,0,0,0,18,BENDEN M
,83.33%,11.11%,5.56%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,2,1,0,0,18,3.777,0,0,0,0,0,18,
,83.33%,11.11%,5.56%,0.00%,0.00%,,,,,,,,,
PHEO-650-699,13,0,0,0,0,13,4,0,0,0,0,0,13,RENE A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4,0,0,0,0,0,13,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,ENVIRONMENTAL & OCCPTNL HLTH,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
PHEO-655-600,13,4,1,0,0,18,3.666,1,0,0,0,0,19,PERES C
,72.22%,22.22%,5.56%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,4,1,0,0,18,3.666,1,0,0,0,0,19,
,72.22%,22.22%,5.56%,0.00%,0.00%,,,,,,,,,
PHEO-675-600,6,1,0,0,0,7,3.857,0,0,0,0,0,7,SHARMA V
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,1,0,0,0,7,3.857,0,0,0,0,0,7,
,85.71%,14.29%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-679-600,17,1,0,0,0,18,3.944,0,0,0,0,0,18,BENDEN M
,94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,1,0,0,0,18,3.944,0,0,0,0,0,18,
,94.44%,5.56%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-682-600,5,2,0,0,0,7,3.714,0,0,0,0,0,7,BENDEN M
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,0,0,7,3.714,0,0,0,0,0,7,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
