,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEN-205-500,8,9,8,1,2,28,2.714,0,0,0,1,0,29,ABDEL-WAHAB A
,28.57%,32.14%,28.57%,3.57%,7.14%,,,,,,,,,
COURSE TOTAL:,8,9,8,1,2,28,2.714,0,0,0,1,0,29,
,28.57%,32.14%,28.57%,3.57%,7.14%,,,,,,,,,
CHEN-323-500,9,7,6,0,0,22,3.136,0,0,0,1,0,23,NOUNOU M
,40.91%,31.82%,27.27%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,7,6,0,0,22,3.136,0,0,0,1,0,23,
,40.91%,31.82%,27.27%,0.00%,0.00%,,,,,,,,,
CHEN-324-500,6,6,6,1,0,19,2.894,2,0,0,2,0,23,ABDALLA A
,31.58%,31.58%,31.58%,5.26%,0.00%,,,,,,,,,
COURSE TOTAL:,6,6,6,1,0,19,2.894,2,0,0,2,0,23,
,31.58%,31.58%,31.58%,5.26%,0.00%,,,,,,,,,
CHEN-364-500,10,9,2,1,0,22,3.272,0,0,0,1,0,23,AL-RAWASHDEH M
,45.45%,40.91%,9.09%,4.55%,0.00%,,,,,,,,,
COURSE TOTAL:,10,9,2,1,0,22,3.272,0,0,0,1,0,23,
,45.45%,40.91%,9.09%,4.55%,0.00%,,,,,,,,,
CHEN-426-500,15,6,0,0,0,21,3.714,0,0,0,0,0,21,LINKE P
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,6,0,0,0,21,3.714,0,0,0,0,0,21,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-433-900,11,10,0,0,0,21,3.523,0,0,0,0,0,21,SALAMA G
,52.38%,47.62%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,10,0,0,0,21,3.523,0,0,0,0,0,21,
,52.38%,47.62%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEN-455-500,12,7,2,0,0,21,3.476,0,0,0,0,0,21,VECHOT L
,57.14%,33.33%,9.52%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,7,2,0,0,21,3.476,0,0,0,0,0,21,
,57.14%,33.33%,9.52%,0.00%,0.00%,,,,,,,,,
CHEN-457-500,10,5,0,0,0,15,3.666,0,0,0,0,0,15,ABDEL-WAHAB A
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,5,0,0,0,15,3.666,0,0,0,0,0,15,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-482-500,5,0,0,0,0,5,4,0,0,0,0,0,5,VECHOT L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,0,0,0,0,5,4,0,0,0,0,0,5,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-489-501,1,4,0,0,0,5,3.2,0,0,0,0,0,5,AL-MOHANNADI D
,20.00%,80.00%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-489-502,9,0,0,0,0,9,4,0,0,0,0,0,9,LINKE P
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,4,0,0,0,14,3.714,0,0,0,0,0,14,
,71.43%,28.57%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-491-510,6,0,0,0,0,6,4,0,0,0,0,0,6,ABDEL-WAHAB A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4,0,0,0,0,0,6,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-624-600,12,1,0,0,0,13,3.923,0,0,0,0,0,13,ELBASHIR N
,92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SPRING 2021,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,12,1,0,0,0,13,3.923,0,0,0,0,0,13,
,92.31%,7.69%,0.00%,0.00%,0.00%,,,,,,,,,
CHEN-629-600,4,5,2,0,0,11,3.181,0,0,0,0,0,11,KAKOSIMOS K
,36.36%,45.45%,18.18%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,5,2,0,0,11,3.181,0,0,0,0,0,11,
,36.36%,45.45%,18.18%,0.00%,0.00%,,,,,,,,,
CHEN-689-600,4,2,0,0,0,6,3.666,0,0,0,0,0,6,LINKE P
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
