,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
NURS-313-500,10,12,1,0,0,23 3.391,0,0,0,0,0,23,BONNER R
,43.48%,52.17%,4.35%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,12,1,0,0,23 3.391,0,0,0,0,0,23,
,43.48%,52.17%,4.35%,0.00%,0.00%,,,,,,,,,
NURS-314-900,24,0,0,0,0,24 4.000,0,0,0,0,0,24,STOUT AGUILAR J
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,0,0,0,0,24 4.000,0,0,0,0,0,24,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-320-500,12,33,4,1,0,50 3.120,0,0,0,0,0,50,MOUNTAIN A
,24.00%,66.00%,8.00%,2.00%,0.00%,,,,,,,,,
NURS-320-501,4,10,4,0,0,18 3.000,0,0,0,0,0,18,BOSENBARK M
,22.22%,55.56%,22.22%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,43,8,1,0,68 3.088,0,0,0,0,0,68,
,23.53%,63.24%,11.76%,1.47%,0.00%,,,,,,,,,
NURS-323-500,22,38,1,0,0,61 3.344,0,0,0,0,0,61,WHITE-COREY S
,36.07%,62.30%,1.64%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,38,1,0,0,61 3.344,0,0,0,0,0,61,
,36.07%,62.30%,1.64%,0.00%,0.00%,,,,,,,,,
NURS-411-900,23,0,0,0,0,23 4.000,0,0,0,0,0,23,REYNOLDS R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
NURS-411-901,18,0,0,0,0,18 4.000,0,0,0,0,0,18,REYNOLDS R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,41,0,0,0,0,41 4.000,0,0,0,0,0,41,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,NURSING,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF NURSING,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
NURS-412-500,4,17,2,0,0,23 3.087,0,0,0,0,0,23,DECKER W
,17.39%,73.91%,8.70%,0.00%,0.00%,,,,,,,,,
NURS-412-501,2,13,3,0,0,18 2.944,0,0,0,0,0,18,DECKER W
,11.11%,72.22%,16.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,30,5,0,0,41 3.024,0,0,0,0,0,41,
,14.63%,73.17%,12.20%,0.00%,0.00%,,,,,,,,,
NURS-413-500,29,40,1,0,0,70 3.400,0,0,0,0,0,70,PITTMAN A
,41.43%,57.14%,1.43%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,29,40,1,0,0,70 3.400,0,0,0,0,0,70,
,41.43%,57.14%,1.43%,0.00%,0.00%,,,,,,,,,
NURS-420-500,4,5,1,0,0,10 3.300,0,0,0,0,0,10,MUFICH M
,40.00%,50.00%,10.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,5,1,0,0,10 3.300,0,0,0,0,0,10,
,40.00%,50.00%,10.00%,0.00%,0.00%,,,,,,,,,
