,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,ENVIRONMENTAL & OCCPTNL HLTH,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
PHEO-613-697,5,0,0,0,0,5 4.000,0,0,0,0,0,5,MARTIN S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
PHEO-613-699,17,0,1,0,0,18 3.889,0,0,0,1,0,19,MARTIN S
,94.44%,0.00%,5.56%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,0,1,0,0,23 3.913,0,0,0,1,0,24,
,95.65%,0.00%,4.35%,0.00%,0.00%,,,,,,,,,
PHEO-689-699,4,1,0,0,0,5 3.800,0,0,0,0,0,5,RENE A
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5 3.800,0,0,0,0,0,5,
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,26,1,1,0,0,28 3.893,0,0,0,1,0,29,
,92.86%,3.57%,3.57%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,EPIDEMIOLOGY & BIOSTATISTICS,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
PHEB-602-600,5,2,3,0,0,10 3.200,0,0,0,0,0,10,WANG S
,50.00%,20.00%,30.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,3,0,0,10 3.200,0,0,0,0,0,10,
,50.00%,20.00%,30.00%,0.00%,0.00%,,,,,,,,,
PHEB-603-698,14,6,5,2,0,27 3.185,0,0,0,1,0,28,GARCIA T
,51.85%,22.22%,18.52%,7.41%,0.00%,,,,,,,,,
COURSE TOTAL:,14,6,5,2,0,27 3.185,0,0,0,1,0,28,
,51.85%,22.22%,18.52%,7.41%,0.00%,,,,,,,,,
PHEB-612-699,26,5,1,0,0,32 3.781,0,0,0,0,0,32,PEREZ-PATRON M
,81.25%,15.63%,3.13%,0.00%,0.00%,,,,,,,,,
PHEB-612-700,7,1,0,0,0,8 3.875,0,0,0,0,0,8,PEREZ-PATRON M
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,33,6,1,0,0,40 3.800,0,0,0,0,0,40,
,82.50%,15.00%,2.50%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
COLLEGE:,PUBLIC HEALTH,,,,,,,,,,,,,
DEPARTMENT:,EPIDEMIOLOGY & BIOSTATISTICS,,,,,,,,,,,,,
,,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPR,I,S,U,Q,X,TOTAL,INSTRUCTOR
-----------------,-------,-------,------- -------,-------,,------- ----- -----,,-----,-----,-----,-----,,-------,-------------------
DEPARTMENT TOTAL:,52,14,9,2,0,77 3.506,0,0,0,1,0,78,
,67.53%,18.18%,11.69%,2.60%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2016 - COLLEGE STATION,,,,,,,,,,,
