,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EDAD-606-700,9,0,0,0,0,9,4,0,0,0,0,0,9,WEBB-JOHNSON G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-608-700,9,0,0,0,0,9,4,0,0,0,0,0,9,MORRIS E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-609-700,21,3,0,0,0,24,3.875,0,0,0,0,0,24,POENITZSCH N
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,21,3,0,0,0,24,3.875,0,0,0,0,0,24,
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-610-100,7,0,0,0,0,7,4,0,0,0,0,0,7,MUSOBA G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,0,0,0,0,7,4,0,0,0,0,0,7,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-619-700,11,3,0,0,0,14,3.785,0,0,0,0,0,14,RODRIGUEZ R
,78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,3,0,0,0,14,3.785,0,0,0,0,0,14,
,78.57%,21.43%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-623-700,12,0,0,0,0,12,4,1,0,0,0,0,13,HASTINGS C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,0,0,0,0,12,4,1,0,0,0,0,13,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EDAD-635-700,15,0,0,0,0,15,4,0,0,0,0,0,15,BLANSON A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4,0,0,0,0,0,15,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-637-700,13,2,0,0,0,15,3.866,0,0,0,0,0,15,HOLLEY S
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,2,0,0,0,15,3.866,0,0,0,0,0,15,
,86.67%,13.33%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-669-100,6,0,0,0,0,6,4,2,0,0,0,0,8,BAILEY K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,0,0,0,0,6,4,2,0,0,0,0,8,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-203-700,25,2,1,0,0,28,3.857,0,0,0,0,0,28,FOWLER R
,89.29%,7.14%,3.57%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,2,1,0,0,28,3.857,0,0,0,0,0,28,
,89.29%,7.14%,3.57%,0.00%,0.00%,,,,,,,,,
EHRD-210-700,10,13,6,0,1,30,3.033,0,0,0,0,0,30,MARK C
,33.33%,43.33%,20.00%,0.00%,3.33%,,,,,,,,,
COURSE TOTAL:,10,13,6,0,1,30,3.033,0,0,0,0,0,30,
,33.33%,43.33%,20.00%,0.00%,3.33%,,,,,,,,,
EHRD-289-100,16,8,0,0,0,24,3.666,0,0,0,0,0,24,PONJUAN L
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,8,0,0,0,24,3.666,0,0,0,0,0,24,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EHRD-315-700,10,2,0,0,0,12,3.833,0,0,0,0,0,12,MARK C
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,2,0,0,0,12,3.833,0,0,0,0,0,12,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-371-700,25,3,1,0,0,29,3.827,0,0,0,0,0,29,BAILEY K
,86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,3,1,0,0,29,3.827,0,0,0,0,0,29,
,86.21%,10.34%,3.45%,0.00%,0.00%,,,,,,,,,
EHRD-372-700,20,5,4,0,0,29,3.551,0,0,0,0,0,29,MUYIA M
,68.97%,17.24%,13.79%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,20,5,4,0,0,29,3.551,0,0,0,0,0,29,
,68.97%,17.24%,13.79%,0.00%,0.00%,,,,,,,,,
EHRD-374-700,12,10,5,1,1,29,3.068,0,0,0,0,0,29,MUYIA M
,41.38%,34.48%,17.24%,3.45%,3.45%,,,,,,,,,
COURSE TOTAL:,12,10,5,1,1,29,3.068,0,0,0,0,0,29,
,41.38%,34.48%,17.24%,3.45%,3.45%,,,,,,,,,
EHRD-391-700,11,10,4,1,0,26,3.192,0,0,0,0,0,26,MUSOBA G
,42.31%,38.46%,15.38%,3.85%,0.00%,,,,,,,,,
COURSE TOTAL:,11,10,4,1,0,26,3.192,0,0,0,0,0,26,
,42.31%,38.46%,15.38%,3.85%,0.00%,,,,,,,,,
EHRD-405-700,22,2,4,1,3,32,3.218,0,0,0,1,0,33,WORKMAN M
,68.75%,6.25%,12.50%,3.13%,9.38%,,,,,,,,,
COURSE TOTAL:,22,2,4,1,3,32,3.218,0,0,0,1,0,33,
,68.75%,6.25%,12.50%,3.13%,9.38%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EHRD-408-700,15,8,1,1,0,25,3.48,0,0,0,0,0,25,SANDOVAL C
,60.00%,32.00%,4.00%,4.00%,0.00%,,,,,,,,,
EHRD-408-701,19,5,2,2,0,28,3.464,0,0,0,0,0,28,SANDLIN J
,67.86%,17.86%,7.14%,7.14%,0.00%,,,,,,,,,
COURSE TOTAL:,34,13,3,3,0,53,3.471,0,0,0,0,0,53,
,64.15%,24.53%,5.66%,5.66%,0.00%,,,,,,,,,
EHRD-477-701,16,7,5,0,0,28,3.392,0,0,0,1,0,29,SMITH B
,57.14%,25.00%,17.86%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,7,5,0,0,28,3.392,0,0,0,1,0,29,
,57.14%,25.00%,17.86%,0.00%,0.00%,,,,,,,,,
EHRD-481-100,25,1,0,0,0,26,3.961,0,0,0,0,0,26,FOWLER R
,96.15%,3.85%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,25,1,0,0,0,26,3.961,0,0,0,0,0,26,
,96.15%,3.85%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-490-701,4,5,4,1,0,14,2.857,0,0,0,0,0,14,SANDLIN J
,28.57%,35.71%,28.57%,7.14%,0.00%,,,,,,,,,
EHRD-490-702,3,7,3,0,0,13,3,0,0,0,0,0,13,SANDLIN J
,23.08%,53.85%,23.08%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,7,12,7,1,0,27,2.925,0,0,0,0,0,27,
,25.93%,44.44%,25.93%,3.70%,0.00%,,,,,,,,,
EHRD-605-700,24,0,0,0,0,24,4,0,0,0,0,0,24,DOOLEY L
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,0,0,0,0,24,4,0,0,0,0,0,24,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EHRD-618-700,22,1,0,0,0,23,3.956,1,1,0,0,0,25,MINNIS S
,95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,22,1,0,0,0,23,3.956,1,1,0,0,0,25,
,95.65%,4.35%,0.00%,0.00%,0.00%,,,,,,,,,
EHRD-622-700,16,2,1,0,0,19,3.789,0,0,0,0,0,19,WANG J
,84.21%,10.53%,5.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,16,2,1,0,0,19,3.789,0,0,0,0,0,19,
,84.21%,10.53%,5.26%,0.00%,0.00%,,,,,,,,,
EHRD-627-700,12,2,0,0,1,15,3.6,0,0,0,0,0,15,ROUMELL E
,80.00%,13.33%,0.00%,0.00%,6.67%,,,,,,,,,
COURSE TOTAL:,12,2,0,0,1,15,3.6,0,0,0,0,0,15,
