,,,,TEXAS A&M UNIVERSITY AT GALVESTON,,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,TAMU AT GALVESTON,,,,,,,,,,,,,
DEPARTMENT:,LIBERAL STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENGL-104-401,2,11,5,3,0,21,2.571,0,0,0,0,0,21,BUNCH-DAVIS C
,9.52%,52.38%,23.81%,14.29%,0.00%,,,,,,,,,
COURSE TOTAL:,2,11,5,3,0,21,2.571,0,0,0,0,0,21,
,9.52%,52.38%,23.81%,14.29%,0.00%,,,,,,,,,
ENGL-210-401,16,4,2,0,1,23,3.478,0,0,0,0,0,23,ECHOLS K
,69.57%,17.39%,8.70%,0.00%,4.35%,,,,,,,,,
COURSE TOTAL:,16,4,2,0,1,23,3.478,0,0,0,0,0,23,
,69.57%,17.39%,8.70%,0.00%,4.35%,,,,,,,,,
KINE-223-301,8,3,4,0,0,15,3.266,1,0,0,0,0,16,HUFTON A
,53.33%,20.00%,26.67%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,3,4,0,0,15,3.266,1,0,0,0,0,16,
,53.33%,20.00%,26.67%,0.00%,0.00%,,,,,,,,,
MAST-491-250,9,0,0,0,0,9,0,0,0,0,0,0,9,HUFTON A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,Error,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MATH-141-401,4,7,2,0,0,13,3.153,0,0,0,0,0,13,GOODSON J
,30.77%,53.85%,15.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,7,2,0,0,13,3.153,0,0,0,0,0,13,
,30.77%,53.85%,15.38%,0.00%,0.00%,,,,,,,,,
PHIL-251-401,7,6,14,0,0,27,2.74,0,0,0,0,0,27,DOMSKY D
,25.93%,22.22%,51.85%,0.00%,0.00%,,,,,,,,,
