,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7113-601,1,1,1,0,2,0,0,0,0,0,0,0,0,5,3.536,0,0,0,5
HICKMAN K,20.00% 20.00% 20.00%,,0.00% 40.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,1,1,0,2,0,0,0,0,0,0,0,0,5,3.536,0,0,0,5
,20.00% 20.00% 20.00%,,0.00% 40.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7154-601,0,2,2,3,4,1,0,0,0,0,0,0,0,12,3.333,0,0,0,12
SPURLOCK J,0.00% 16.67% 16.67% 25.00% 33.33%,,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,2,2,3,4,1,0,0,0,0,0,0,0,12,3.333,0,0,0,12
,0.00% 16.67% 16.67% 25.00% 33.33%,,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7444-601,2,2,1,4,5,4,2,1,2,0,0,0,0,23,2.986,0,1,0,24
BLACKWELL R8.70%,,8.70%,4.35% 17.39% 21.74% 17.39%,,,8.70%,4.35%,8.70%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,2,1,4,5,4,2,1,2,0,0,0,0,23,2.986,0,1,0,24
,8.70%,8.70%,4.35% 17.39% 21.74% 17.39%,,,8.70%,4.35%,8.70%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7615-601,1,3,2,3,4,3,0,0,0,0,0,0,0,16,3.334,0,0,0,16
GARCIA D,6.25% 18.75% 12.50% 18.75% 25.00% 18.75%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,3,2,3,4,3,0,0,0,0,0,0,0,16,3.334,0,0,0,16
,6.25% 18.75% 12.50% 18.75% 25.00% 18.75%,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7776-601,1,2,2,2,0,0,0,0,0,0,0,0,0,7,3.715,0,0,0,8
BURRESS C,14.29% 28.57% 28.57% 28.57%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,1,2,2,2,0,0,0,0,0,0,0,0,0,7,3.715,0,0,0,8
,14.29% 28.57% 28.57% 28.57%,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7791-601,0,0,4,4,3,1,0,0,0,0,0,0,0,12,3.305,0,0,0,12
JOHNSON J,0.00%,0.00% 33.33% 33.33% 25.00%,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,4,4,3,1,0,0,0,0,0,0,0,12,3.305,0,0,0,12
,0.00%,0.00% 33.33% 33.33% 25.00%,,,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
,,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,,,,
,,,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,,,,
,,,,,,,,Professional Law,,,,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,,,,,,,,,,,,,,
SECTION,,,,,,,,,,,,,,TOTAL,,,,,
INSTRUCTOR,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,A - F,GPA,I,S,X,TOTAL
------------ -----,,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,------
LAW-7890-601,0,0,0,15,0,0,0,0,0,0,0,0,0,15,3.33,0,0,0,15
MCCOY J,0.00%,0.00%,0.00% 100.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,0,0,0,15,0,0,0,0,0,0,0,0,0,15,3.33,0,0,0,15
,0.00%,0.00%,0.00% 100.00,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7900-602,0,3,3,0,0,0,0,0,0,0,0,0,0,6,3.835,0,0,0,6
ALTON S,0.00% 50.00% 50.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7900-603,1,1,2,4,2,2,0,0,0,0,0,0,0,12,3.334,0,0,0,12
BURT J,8.33%,8.33% 16.67% 33.33% 16.67% 16.67%,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
LAW-7900-604,1,1,3,1,0,0,1,0,0,0,0,0,0,7,3.525,0,1,0,8
CROSSLEY M14.29% 14.29% 42.86% 14.29%,,,,0.00%,0.00% 14.29%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COURSE TOTAL:,2,5,8,5,2,2,1,0,0,0,0,0,0,25,3.51,0,1,0,26
,8.00% 20.00% 32.00% 20.00%,,,8.00%,8.00%,4.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,
DEPARTMENT,7,15,20,36,20,11,3,1,2,0,0,0,0,115,3.309,0,2,0,118
TOTAL:,6.09% 13.04% 17.39% 31.30% 17.39%,,,,9.57%,2.61%,0.87%,1.74%,0.00%,0.00%,0.00%,0.00%,,,,,,,
COLLEGE,7,15,20,36,20,11,3,1,2,0,0,0,0,115,3.309,0,2,0,118
TOTAL:,6.09% 13.04% 17.39% 31.30% 17.39%,,,,9.57%,2.61%,0.87%,1.74%,0.00%,0.00%,0.00%,0.00%,,,,,,,
