,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ANTHROPOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ANTH-201-200,5,18,11,2,1,37,2.648,0,0,0,2,0,39,DE RUITER D
,13.51%,48.65%,29.73%,5.41%,2.70%,,,,,,,,,
COURSE TOTAL:,5,18,11,2,1,37,2.648,0,0,0,2,0,39,
,13.51%,48.65%,29.73%,5.41%,2.70%,,,,,,,,,
ANTH-205-101,25,9,3,0,1,38,3.5,0,0,0,2,0,40,LYNCH D
,65.79%,23.68%,7.89%,0.00%,2.63%,,,,,,,,,
ANTH-205-901,16,4,4,0,0,24,3.5,0,0,0,0,0,24,LAPORTE C
,66.67%,16.67%,16.67%,0.00%,0.00%,,,,,,,,,
ANTH-205-902,18,5,2,0,0,25,3.64,0,0,0,0,0,25,LAPORTE C
,72.00%,20.00%,8.00%,0.00%,0.00%,,,,,,,,,
ANTH-205-903,11,6,3,2,1,23,3.043,0,0,0,0,0,23,LAPORTE C
,47.83%,26.09%,13.04%,8.70%,4.35%,,,,,,,,,
ANTH-205-904,15,6,3,1,0,25,3.4,0,0,0,0,0,25,LAPORTE C
,60.00%,24.00%,12.00%,4.00%,0.00%,,,,,,,,,
COURSE TOTAL:,85,30,15,3,2,135,3.429,0,0,0,2,0,137,
,62.96%,22.22%,11.11%,2.22%,1.48%,,,,,,,,,
ANTH-225-199,9,20,6,1,0,36,3.027,0,0,0,0,0,36,GURSKY S
,25.00%,55.56%,16.67%,2.78%,0.00%,,,,,,,,,
COURSE TOTAL:,9,20,6,1,0,36,3.027,0,0,0,0,0,36,
,25.00%,55.56%,16.67%,2.78%,0.00%,,,,,,,,,
ANTH-324-100,5,8,2,0,1,16,3,0,0,0,1,0,17,DEL CIAMPO M
,31.25%,50.00%,12.50%,0.00%,6.25%,,,,,,,,,
COURSE TOTAL:,5,8,2,0,1,16,3,0,0,0,1,0,17,
,31.25%,50.00%,12.50%,0.00%,6.25%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,ANTHROPOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,104,76,34,6,4,224,3.205,0,0,0,5,0,229,
,46.43%,33.93%,15.18%,2.68%,1.79%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF LIBERAL ARTS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
FILM-251-100,10,3,0,1,1,15,3.333,0,0,0,0,0,15,ELLIS L
,66.67%,20.00%,0.00%,6.67%,6.67%,,,,,,,,,
COURSE TOTAL:,10,3,0,1,1,15,3.333,0,0,0,0,0,15,
,66.67%,20.00%,0.00%,6.67%,6.67%,,,,,,,,,
DEPARTMENT TOTAL:,10,3,0,1,1,15,3.333,0,0,0,0,0,15,
,66.67%,20.00%,0.00%,6.67%,6.67%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,COMMUNICATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COMM-203-101,5,12,0,1,0,18,3.166,0,0,0,1,0,19,GAN I
,27.78%,66.67%,0.00%,5.56%,0.00%,,,,,,,,,
COMM-203-102,10,9,4,0,0,23,3.26,0,0,0,0,0,23,BRANNON G
,43.48%,39.13%,17.39%,0.00%,0.00%,,,,,,,,,
COMM-203-103,10,11,2,0,0,23,3.347,0,0,0,2,0,25,GLOECKNER P
,43.48%,47.83%,8.70%,0.00%,0.00%,,,,,,,,,
COMM-203-104,5,14,1,0,0,20,3.2,0,0,0,0,0,20,BAJAN A
,25.00%,70.00%,5.00%,0.00%,0.00%,,,,,,,,,
COMM-203-105,6,13,3,0,1,23,3,0,0,0,1,0,24,AKERS E
,26.09%,56.52%,13.04%,0.00%,4.35%,,,,,,,,,
COMM-203-106,6,12,0,1,0,19,3.21,0,0,0,0,0,19,CAMPBELL G
,31.58%,63.16%,0.00%,5.26%,0.00%,,,,,,,,,
COMM-203-107,15,6,2,1,0,24,3.458,0,0,0,0,0,24,HODGDON K
,62.50%,25.00%,8.33%,4.17%,0.00%,,,,,,,,,
COMM-203-108,5,10,4,1,0,20,2.95,0,0,0,0,0,20,SISLER H
,25.00%,50.00%,20.00%,5.00%,0.00%,,,,,,,,,
COMM-203-109,8,11,3,0,0,22,3.227,0,0,0,1,0,23,FOGLE K
,36.36%,50.00%,13.64%,0.00%,0.00%,,,,,,,,,
COMM-203-110,8,14,0,0,0,22,3.363,0,0,0,0,0,22,ZHAO Y
,36.36%,63.64%,0.00%,0.00%,0.00%,,,,,,,,,
COMM-203-201,5,9,2,1,0,17,3.058,0,0,0,1,0,18,BRANNON G
,29.41%,52.94%,11.76%,5.88%,0.00%,,,,,,,,,
COMM-203-202,7,11,3,0,0,21,3.19,0,0,0,1,0,22,STREET J
,33.33%,52.38%,14.29%,0.00%,0.00%,,,,,,,,,
COMM-203-203,2,15,4,0,0,21,2.904,0,0,0,1,0,22,MILLER L
,9.52%,71.43%,19.05%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,COMMUNICATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COMM-203-204,5,13,2,0,1,21,3,0,0,0,0,0,21,ROWE S
,23.81%,61.90%,9.52%,0.00%,4.76%,,,,,,,,,
COMM-203-205,7,11,5,1,0,24,3,0,0,0,0,0,24,GLOECKNER P
,29.17%,45.83%,20.83%,4.17%,0.00%,,,,,,,,,
COMM-203-206,5,14,2,1,0,22,3.045,0,0,0,0,0,22,BAJAN A
,22.73%,63.64%,9.09%,4.55%,0.00%,,,,,,,,,
COMM-203-207,7,10,1,0,0,18,3.333,0,0,0,0,0,18,TACHKOVA E
,38.89%,55.56%,5.56%,0.00%,0.00%,,,,,,,,,
COMM-203-208,8,11,3,0,1,23,3.086,0,0,0,0,0,23,WHITTEN R
,34.78%,47.83%,13.04%,0.00%,4.35%,,,,,,,,,
COMM-203-209,8,8,3,0,0,19,3.263,0,0,0,0,0,19,FOGLE K
,42.11%,42.11%,15.79%,0.00%,0.00%,,,,,,,,,
COMM-203-210,5,12,4,1,1,23,2.826,0,0,0,1,0,24,PANTOJA G
,21.74%,52.17%,17.39%,4.35%,4.35%,,,,,,,,,
COURSE TOTAL:,137,226,48,8,4,423,3.144,0,0,0,9,0,432,
,32.39%,53.43%,11.35%,1.89%,0.95%,,,,,,,,,
COMM-215-100,8,9,0,0,0,17,3.47,0,0,0,0,0,17,ROWE S
,47.06%,52.94%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,9,0,0,0,17,3.47,0,0,0,0,0,17,
,47.06%,52.94%,0.00%,0.00%,0.00%,,,,,,,,,
COMM-243-200,12,5,1,0,0,18,3.611,0,0,0,0,0,18,MUNSON D
,66.67%,27.78%,5.56%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,5,1,0,0,18,3.611,0,0,0,0,0,18,
,66.67%,27.78%,5.56%,0.00%,0.00%,,,,,,,,,
COMM-289-150,15,4,0,0,0,19,3.789,0,0,0,0,0,19,GOIDEL R
,78.95%,21.05%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2017,,,,,,,,,,
,,,,,Undergraduate & Graduate,,,,,,,,,
COLLEGE:,LIBERAL ARTS,,,,,,,,,,,,,
DEPARTMENT:,COMMUNICATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,15,4,0,0,0,19,3.789,0,0,0,0,0,19,
,78.95%,21.05%,0.00%,0.00%,0.00%,,,,,,,,,
COMM-315-199,72,21,6,3,0,102,3.588,0,0,0,0,0,102,WESNER K
,70.59%,20.59%,5.88%,2.94%,0.00%,,,,,,,,,
COMM-315-299,69,21,5,1,0,96,3.645,0,0,0,1,0,97,WESNER K
,71.88%,21.88%,5.21%,1.04%,0.00%,,,,,,,,,
COURSE TOTAL:,141,42,11,4,0,198,3.616,0,0,0,1,0,199,
,71.21%,21.21%,5.56%,2.02%,0.00%,,,,,,,,,
COMM-320-700,50,38,2,1,0,91,3.505,1,0,0,1,0,93,WHITTEN R
,54.95%,41.76%,2.20%,1.10%,0.00%,,,,,,,,,
COURSE TOTAL:,50,38,2,1,0,91,3.505,1,0,0,1,0,93,
,54.95%,41.76%,2.20%,1.10%,0.00%,,,,,,,,,
COMM-325-199,17,36,8,3,3,67,2.91,0,1,0,0,1,69,RULE F
,25.37%,53.73%,11.94%,4.48%,4.48%,,,,,,,,,
COMM-325-299,24,26,7,1,1,59,3.203,0,0,0,1,0,60,RULE F
,40.68%,44.07%,11.86%,1.69%,1.69%,,,,,,,,,
COURSE TOTAL:,41,62,15,4,4,126,3.047,0,1,0,1,1,129,
,32.54%,49.21%,11.90%,3.17%,3.17%,,,,,,,,,
COMM-327-700,10,35,4,0,1,50,3.06,0,0,0,0,0,50,MILLER L
