,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-214-150,3,5,0,0,0,8,3.375,0,0,0,0,0,8,TALREJA R
,37.50%,62.50%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,5,0,0,0,8,3.375,0,0,0,0,0,8,
,37.50%,62.50%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-220-150,8,0,0,0,0,8,4,0,0,0,0,0,8,KARPETIS A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-220-300,5,1,1,0,1,8,3.125,0,0,0,0,0,8,MORTARI D
,62.50%,12.50%,12.50%,0.00%,12.50%,,,,,,,,,
AERO-220-700,6,9,3,3,5,26,2.307,0,0,0,0,0,26,MORTARI D
,23.08%,34.62%,11.54%,11.54%,19.23%,,,,,,,,,
COURSE TOTAL:,19,10,4,3,6,42,2.785,0,0,0,0,0,42,
,45.24%,23.81%,9.52%,7.14%,14.29%,,,,,,,,,
AERO-303-150,8,2,0,0,0,10,3.8,0,0,0,0,0,10,KARPETIS A
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,2,0,0,0,10,3.8,0,0,0,0,0,10,
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-306-300,2,3,3,0,0,8,2.875,1,0,0,0,0,9,WHITCOMB J
,25.00%,37.50%,37.50%,0.00%,0.00%,,,,,,,,,
AERO-306-399,3,10,2,5,0,20,2.55,1,0,0,0,0,21,WHITCOMB J
,15.00%,50.00%,10.00%,25.00%,0.00%,,,,,,,,,
AERO-306-700,1,2,2,0,0,5,2.8,0,0,0,0,0,5,WHITCOMB J
,20.00%,40.00%,40.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,15,7,5,0,33,2.666,2,0,0,0,0,35,
,18.18%,45.45%,21.21%,15.15%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ENGINEERING,,,,,,,,,,,,,
DEPARTMENT:,AEROSPACE ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
AERO-351-150,11,5,0,0,0,16,3.687,0,0,0,0,0,16,KARPETIS A
,68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,5,0,0,0,16,3.687,0,0,0,0,0,16,
,68.75%,31.25%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-413-150,12,3,0,0,0,15,3.8,0,0,0,0,0,15,TALREJA R
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,12,3,0,0,0,15,3.8,0,0,0,0,0,15,
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
AERO-489-151,6,3,0,0,0,9,3.666,0,0,0,0,0,9,TALREJA R
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,6,3,0,0,0,9,3.666,0,0,0,0,0,9,
