,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,CHEMICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEN-414-300,4,5,0,0,0,9,3.444,0,0,0,0,0,9,ELSAID K
,44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,5,0,0,0,9,3.444,0,0,0,0,0,9,
,44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,4,5,0,0,0,9,3.444,0,0,0,0,0,9,
,44.44%,55.56%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF LIBERAL ARTS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COMM-335-300,15,6,2,0,0,23,3.565,0,0,0,1,0,24,WILLIAMS J
,65.22%,26.09%,8.70%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,6,2,0,0,23,3.565,0,0,0,1,0,24,
,65.22%,26.09%,8.70%,0.00%,0.00%,,,,,,,,,
ENGL-210-301,7,1,0,0,0,8,3.875,0,0,0,1,0,9,RUDD L
,87.50%,12.50%,0.00%,0.00%,0.00%,,,,,,,,,
ENGL-210-302,10,3,1,0,0,14,3.642,0,0,0,0,0,14,HODGES A
,71.43%,21.43%,7.14%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,4,1,0,0,22,3.727,0,0,0,1,0,23,
,77.27%,18.18%,4.55%,0.00%,0.00%,,,,,,,,,
ENGL-219-300,13,0,0,0,0,13,4,0,0,0,0,0,13,WARD S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,0,0,0,0,13,4,0,0,0,0,0,13,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ENGR-482-950,3,2,0,0,0,5,3.6,0,0,0,0,0,5,BASHIR H
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,2,0,0,0,5,3.6,0,0,0,0,0,5,
,60.00%,40.00%,0.00%,0.00%,0.00%,,,,,,,,,
HIST-105-300,10,2,0,0,0,12,3.833,0,0,0,1,0,13,LEE H
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,10,2,0,0,0,12,3.833,0,0,0,1,0,13,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
HIST-258-300,25,5,0,0,0,30,3.833,0,0,0,0,0,30,VAN DE LOGT M
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF LIBERAL ARTS,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,25,5,0,0,0,30,3.833,0,0,0,0,0,30,
,83.33%,16.67%,0.00%,0.00%,0.00%,,,,,,,,,
POLS-206-300,17,6,3,0,0,26,3.538,0,0,0,0,0,26,GRAY P
,65.38%,23.08%,11.54%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,17,6,3,0,0,26,3.538,0,0,0,0,0,26,
,65.38%,23.08%,11.54%,0.00%,0.00%,,,,,,,,,
STLC-289-300,3,7,1,0,1,12,2.916,0,0,0,0,0,12,RASMUSSEN D
,25.00%,58.33%,8.33%,0.00%,8.33%,,,,,,,,,
COURSE TOTAL:,3,7,1,0,1,12,2.916,0,0,0,0,0,12,
,25.00%,58.33%,8.33%,0.00%,8.33%,,,,,,,,,
DEPARTMENT TOTAL:,103,32,7,0,1,143,3.63,0,0,0,3,0,146,
,72.03%,22.38%,4.90%,0.00%,0.70%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF SCIENCE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
CHEM-107-300,3,5,5,0,0,13,2.846,0,0,0,0,0,13,AL-HASHIMI M
,23.08%,38.46%,38.46%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,5,5,0,0,13,2.846,0,0,0,0,0,13,
,23.08%,38.46%,38.46%,0.00%,0.00%,,,,,,,,,
CHEM-117-300,3,4,1,0,0,8,3.25,0,0,0,0,0,8,AL-HASHIMI M
,37.50%,50.00%,12.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,4,1,0,0,8,3.25,0,0,0,0,0,8,
,37.50%,50.00%,12.50%,0.00%,0.00%,,,,,,,,,
MATH-151-301,1,4,4,2,2,13,2,0,0,0,0,0,13,SOUKIASSIAN Y
,7.69%,30.77%,30.77%,15.38%,15.38%,,,,,,,,,
MATH-151-302,0,4,1,1,0,6,2.5,0,0,0,0,0,6,SOUKIASSIAN Y
,0.00%,66.67%,16.67%,16.67%,0.00%,,,,,,,,,
COURSE TOTAL:,1,8,5,3,2,19,2.157,0,0,0,0,0,19,
,5.26%,42.11%,26.32%,15.79%,10.53%,,,,,,,,,
MATH-152-301,4,2,4,0,0,10,3,0,0,0,1,0,11,ELGINDI M
,40.00%,20.00%,40.00%,0.00%,0.00%,,,,,,,,,
MATH-152-302,2,2,5,1,2,12,2.083,0,0,0,0,0,12,ELGINDI M
,16.67%,16.67%,41.67%,8.33%,16.67%,,,,,,,,,
MATH-152-303,1,4,1,1,0,7,2.714,0,0,0,1,0,8,ELGINDI M
,14.29%,57.14%,14.29%,14.29%,0.00%,,,,,,,,,
MATH-152-304,1,4,3,0,0,8,2.75,0,0,0,0,0,8,ELGINDI M
,12.50%,50.00%,37.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,8,12,13,2,2,37,2.594,0,0,0,2,0,39,
,21.62%,32.43%,35.14%,5.41%,5.41%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF SCIENCE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
MATH-308-300,3,2,5,0,1,11,2.545,0,0,0,1,0,12,KHAN R
,27.27%,18.18%,45.45%,0.00%,9.09%,,,,,,,,,
COURSE TOTAL:,3,2,5,0,1,11,2.545,0,0,0,1,0,12,
,27.27%,18.18%,45.45%,0.00%,9.09%,,,,,,,,,
MATH-311-300,9,12,10,0,0,31,2.967,1,0,0,0,0,32,HUANG T
,29.03%,38.71%,32.26%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,12,10,0,0,31,2.967,1,0,0,0,0,32,
,29.03%,38.71%,32.26%,0.00%,0.00%,,,,,,,,,
PHYS-208-301,4,4,8,1,2,19,2.368,0,0,0,0,0,19,BELIC M
,21.05%,21.05%,42.11%,5.26%,10.53%,,,,,,,,,
PHYS-208-302,4,4,7,1,0,16,2.687,0,0,0,2,0,18,KROLIKOWSKI W
,25.00%,25.00%,43.75%,6.25%,0.00%,,,,,,,,,
COURSE TOTAL:,8,8,15,2,2,35,2.514,0,0,0,2,0,37,
,22.86%,22.86%,42.86%,5.71%,5.71%,,,,,,,,,
PHYS-218-300,1,1,5,0,0,7,2.428,0,0,0,0,0,7,NHA H
,14.29%,14.29%,71.43%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,1,1,5,0,0,7,2.428,0,0,0,0,0,7,
,14.29%,14.29%,71.43%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF SCIENCE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,36,52,59,7,7,161,2.592,1,0,0,5,0,167,
,22.36%,32.30%,36.65%,4.35%,4.35%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,ELECTRICAL & COMPUTER ENG,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ECEN-214-300,9,2,2,0,0,13,3.538,0,0,0,0,0,13,BALOG R
,69.23%,15.38%,15.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,2,0,0,13,3.538,0,0,0,0,0,13,
,69.23%,15.38%,15.38%,0.00%,0.00%,,,,,,,,,
ECEN-314-300,9,0,0,0,0,9,4,0,0,0,0,0,9,SERPEDIN E
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ECEN-325-300,4,1,0,0,0,5,3.8,0,0,0,0,0,5,MUHAMMAD M
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,1,0,0,0,5,3.8,0,0,0,0,0,5,
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,22,3,2,0,0,27,3.717,0,0,0,0,0,27,
,81.48%,11.11%,7.41%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2018,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,QATAR CAMPUS,,,,,,,,,,,,,
DEPARTMENT:,MECHANICAL ENGINEERING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENGR-112-300,3,1,3,4,1,12,2.083,0,0,0,0,0,12,SCHULLER M
,25.00%,8.33%,25.00%,33.33%,8.33%,,,,,,,,,
COURSE TOTAL:,3,1,3,4,1,12,2.083,0,0,0,0,0,12,
,25.00%,8.33%,25.00%,33.33%,8.33%,,,,,,,,,
ISEN-608-300,15,0,0,0,0,15,4,0,0,0,0,0,15,PARSAEI H
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,15,0,0,0,0,15,4,0,0,0,0,0,15,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
MEEN-210-300,5,2,0,1,0,8,3.375,0,0,0,0,0,8,SCHULLER M
,62.50%,25.00%,0.00%,12.50%,0.00%,,,,,,,,,
COURSE TOTAL:,5,2,0,1,0,8,3.375,0,0,0,0,0,8,
,62.50%,25.00%,0.00%,12.50%,0.00%,,,,,,,,,
MEEN-222-300,2,3,0,0,0,5,3.4,0,0,0,0,0,5,USMAN C
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,2,3,0,0,0,5,3.4,0,0,0,0,0,5,
,40.00%,60.00%,0.00%,0.00%,0.00%,,,,,,,,,
MEEN-315-300,3,3,5,0,0,11,2.818,0,0,0,0,0,11,KANNAIYAN K
,27.27%,27.27%,45.45%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,3,3,5,0,0,11,2.818,0,0,0,0,0,11,
,27.27%,27.27%,45.45%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY AT QATAR,,,,,,,,,
