,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ASCC-289-200,19,3,0,0,1,23,0,0,0,0,0,0,23,DVORACEK M
,82.61%,13.04%,0.00%,0.00%,4.35%,,,,,,,,,
ASCC-289-201,10,3,2,3,1,19,0,0,0,0,0,0,19,MCCLURE M
,52.63%,15.79%,10.53%,15.79%,5.26%,,,,,,,,,
ASCC-289-202,17,1,4,0,1,23,0,0,0,0,0,0,23,LAUGHLIN T
,73.91%,4.35%,17.39%,0.00%,4.35%,,,,,,,,,
ASCC-289-205,17,1,0,1,0,19,0,0,0,0,0,0,19,DIXON C
,89.47%,5.26%,0.00%,5.26%,0.00%,,,,,,,,,
ASCC-289-206,12,1,1,0,0,14,0,0,0,0,0,0,14,JONES M
,85.71%,7.14%,7.14%,0.00%,0.00%,,,,,,,,,
ASCC-289-207,18,1,0,1,0,20,0,0,0,0,0,0,20,HURLEY J
,90.00%,5.00%,0.00%,5.00%,0.00%,,,,,,,,,
ASCC-289-208,18,1,0,0,0,19,0,0,0,0,0,0,19,MCCORMICK M
,94.74%,5.26%,0.00%,0.00%,0.00%,,,,,,,,,
ASCC-289-209,17,2,2,0,0,21,0,0,0,0,0,0,21,STAHR R
,80.95%,9.52%,9.52%,0.00%,0.00%,,,,,,,,,
ASCC-289-210,11,3,3,0,0,17,0,0,0,0,0,0,17,OLIVER B
,64.71%,17.65%,17.65%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,139,16,12,5,3,175,Error,0,0,0,0,0,175,
,79.43%,9.14%,6.86%,2.86%,1.71%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,CENTER FOR ACAD ENHANCEMENT,,,,,,,,,,,,,
DEPARTMENT:,TASP/TSI ADMINISTRATION,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,139,16,12,5,3,175,Error,0,0,0,0,0,175,
,79.43%,9.14%,6.86%,2.86%,1.71%,,,,,,,,,
COLLEGE TOTAL:,139,16,12,5,3,175,Error,0,0,0,0,0,175,
,79.43%,9.14%,6.86%,2.86%,1.71%,,,,,,,,,
