,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
LAW-689-700,16,1,0,0,1,18,3.722,0,0,0,0,0,18,GUZELIAN C
,88.89%,5.56%,0.00%,0.00%,5.56%,,,,,,,,,
LAW-689-701,15,0,0,0,0,15,4,0,0,0,0,0,15,MENTZ G
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-702,17,3,0,0,0,20,3.85,2,0,0,0,0,22,BRILL A
,85.00%,15.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-703,22,0,0,0,0,22,4,2,0,0,0,1,25,MUNRO R
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
LAW-689-704,28,5,1,0,0,34,3.794,0,0,0,0,3,37,KRAVITZ R
,82.35%,14.71%,2.94%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,98,9,1,0,1,109,3.862,4,0,0,0,4,117,
,89.91%,8.26%,0.92%,0.00%,0.92%,,,,,,,,,
LAW-708-700,4,2,0,0,0,6,3.666,0,0,0,0,0,6,LUCAS G
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,4,2,0,0,0,6,3.666,0,0,0,0,0,6,
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,SCHOOL OF LAW,,,,,,,,,,,,,
DEPARTMENT:,SCHOOL OF LAW,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
DEPARTMENT TOTAL:,102,11,1,0,1,115,3.852,4,0,0,0,4,123,
,88.70%,9.57%,0.87%,0.00%,0.87%,,,,,,,,,
COLLEGE TOTAL:,102,11,1,0,1,115,3.852,4,0,0,0,4,123,
,88.70%,9.57%,0.87%,0.00%,0.87%,,,,,,,,,
