,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ASSOC PROVOST FOR UG STUDIES,,,,,,,,,,,,,
DEPARTMENT:,AP-UNDERGRAD STUDIES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
UGST-492-300,13,2,1,0,0,16,4,0,1,0,0,0,17,WEBB S
,81.25%,12.50%,6.25%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,13,2,1,0,0,16,4,0,1,0,0,0,17,
,81.25%,12.50%,6.25%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,13,2,1,0,0,16,4,0,1,0,0,0,17,
,81.25%,12.50%,6.25%,0.00%,0.00%,,,,,,,,,
COLLEGE TOTAL:,13,2,1,0,0,16,4,0,1,0,0,0,17,
,81.25%,12.50%,6.25%,0.00%,0.00%,,,,,,,,,
