,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,BIOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
BIOL-111-100,16,5,2,0,0,23,3.608,0,0,0,1,0,24,HAWKINS A
,69.57%,21.74%,8.70%,0.00%,0.00%,,,,,,,,,
BIOL-111-101,10,7,2,2,1,22,3.045,1,0,0,0,0,23,HAWKINS A
,45.45%,31.82%,9.09%,9.09%,4.55%,,,,,,,,,
BIOL-111-102,18,3,1,1,1,24,3.5,0,0,0,0,0,24,HAWKINS A
,75.00%,12.50%,4.17%,4.17%,4.17%,,,,,,,,,
BIOL-111-103,8,8,4,0,1,21,3.047,1,0,0,2,0,24,HAWKINS A
,38.10%,38.10%,19.05%,0.00%,4.76%,,,,,,,,,
COURSE TOTAL:,52,23,9,3,3,90,3.311,2,0,0,3,0,95,
,57.78%,25.56%,10.00%,3.33%,3.33%,,,,,,,,,
BIOL-112-201,11,5,2,3,0,21,3.142,0,0,0,0,0,21,LEE C
,52.38%,23.81%,9.52%,14.29%,0.00%,,,,,,,,,
BIOL-112-202,5,13,2,0,0,20,3.15,0,0,0,0,0,20,LEE C
,25.00%,65.00%,10.00%,0.00%,0.00%,,,,,,,,,
BIOL-112-203,16,4,0,0,0,20,3.8,0,0,0,0,0,20,LEE C
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
BIOL-112-204,9,7,2,3,0,21,3.047,1,0,0,0,0,22,LEE C
,42.86%,33.33%,9.52%,14.29%,0.00%,,,,,,,,,
BIOL-112-205,9,5,4,1,1,20,3,1,0,0,0,0,21,LEE C
,45.00%,25.00%,20.00%,5.00%,5.00%,,,,,,,,,
COURSE TOTAL:,50,34,10,7,1,102,3.225,2,0,0,0,0,104,
,49.02%,33.33%,9.80%,6.86%,0.98%,,,,,,,,,
BIOL-206-101,6,7,6,0,0,19,3,0,0,0,0,0,19,MOYES R
,31.58%,36.84%,31.58%,0.00%,0.00%,,,,,,,,,
BIOL-206-102,3,2,1,0,0,6,3.333,0,0,0,0,0,6,MOYES R
,50.00%,33.33%,16.67%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2019,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,SCIENCE,,,,,,,,,,,,,
DEPARTMENT:,BIOLOGY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
COURSE TOTAL:,9,9,7,0,0,25,3.08,0,0,0,0,0,25,
,36.00%,36.00%,28.00%,0.00%,0.00%,,,,,,,,,
BIOL-213-100,10,7,3,4,0,24,2.958,0,0,0,1,0,25,ERICKSON J
,41.67%,29.17%,12.50%,16.67%,0.00%,,,,,,,,,
COURSE TOTAL:,10,7,3,4,0,24,2.958,0,0,0,1,0,25,
,41.67%,29.17%,12.50%,16.67%,0.00%,,,,,,,,,
BIOL-214-200,11,13,4,1,2,31,2.967,1,0,0,0,0,32,PEPPER A
,35.48%,41.94%,12.90%,3.23%,6.45%,,,,,,,,,
COURSE TOTAL:,11,13,4,1,2,31,2.967,1,0,0,0,0,32,
,35.48%,41.94%,12.90%,3.23%,6.45%,,,,,,,,,
BIOL-319-301,1,10,3,0,0,14,2.857,0,0,0,0,0,14,COHN W
,7.14%,71.43%,21.43%,0.00%,0.00%,,,,,,,,,
BIOL-319-302,6,7,8,0,0,21,2.904,0,0,0,1,0,22,COHN W
,28.57%,33.33%,38.10%,0.00%,0.00%,,,,,,,,,
BIOL-319-304,3,9,8,1,0,21,2.666,0,0,0,1,0,22,COHN W
,14.29%,42.86%,38.10%,4.76%,0.00%,,,,,,,,,
BIOL-319-305,1,6,12,0,0,19,2.421,0,0,0,0,0,19,COHN W
,5.26%,31.58%,63.16%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,11,32,31,1,0,75,2.706,0,0,0,2,0,77,
,14.67%,42.67%,41.33%,1.33%,0.00%,,,,,,,,,
BIOL-320-301,3,6,5,0,0,14,2.857,0,0,0,1,0,15,TAYLOR L
,21.43%,42.86%,35.71%,0.00%,0.00%,,,,,,,,,
