,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ACCT-209-200,62,118,107,1,8,296,2.76,0,0,0,14,0,310,HEAD M
,20.95%,39.86%,36.15%,0.34%,2.70%,,,,,,,,,
COURSE TOTAL:,62,118,107,1,8,296,2.76,0,0,0,14,0,310,
,20.95%,39.86%,36.15%,0.34%,2.70%,,,,,,,,,
ACCT-210-200,23,35,17,10,1,86,2.802,0,0,0,5,0,91,ALLEN N
,26.74%,40.70%,19.77%,11.63%,1.16%,,,,,,,,,
COURSE TOTAL:,23,35,17,10,1,86,2.802,0,0,0,5,0,91,
,26.74%,40.70%,19.77%,11.63%,1.16%,,,,,,,,,
ACCT-229-100,16,17,12,10,5,60,2.483,2,0,0,5,0,67,ARNOSKY C
,26.67%,28.33%,20.00%,16.67%,8.33%,,,,,,,,,
COURSE TOTAL:,16,17,12,10,5,60,2.483,2,0,0,5,0,67,
,26.67%,28.33%,20.00%,16.67%,8.33%,,,,,,,,,
ACCT-230-200,25,28,12,4,0,69,3.072,0,0,0,1,0,70,ALLEN N
,36.23%,40.58%,17.39%,5.80%,0.00%,,,,,,,,,
COURSE TOTAL:,25,28,12,4,0,69,3.072,0,0,0,1,0,70,
,36.23%,40.58%,17.39%,5.80%,0.00%,,,,,,,,,
ACCT-321-100,34,0,0,0,0,34,4,0,0,0,0,0,34,MCELROY T
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,34,0,0,0,0,34,4,0,0,0,0,0,34,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ACCT-327-101,18,29,24,0,0,71,2.915,0,0,0,2,0,73,LARKIN R
,25.35%,40.85%,33.80%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,18,29,24,0,0,71,2.915,0,0,0,2,0,73,
,25.35%,40.85%,33.80%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,MAYS BUSINESS SCHOOL,,,,,,,,,,,,,
DEPARTMENT:,ACCOUNTING,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
