,,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,,GRADE DISTRIBUTION REPORT FOR,,,,,,,,,,
COLLEGE:,,,,,,,,,,,,,,,
DEPARTMENT:,,,,,,,,,,,,,,,
,,,,,,,,TOTAL,,,,,,,
SECTION,A,B+,B,C+,C,D,F,A - F,GPA,I,S,U,X,TOTAL,INSTRUCTOR
------------,-----,-----,-----,-----,-----,-----,-----,------,-----,---,---,---,---,------,------------
,0,0,0,0,0,0,0,0,,0,0,0,0,0,
Cannot,,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,,,,,,,,
DEPARTMENT TOTAL:,0,0,0,0,0,0,0,0,Error,0,0,0,0,0,
,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,,,,,,,,
COLLEGE TOTAL:,0,0,0,0,0,0,0,0,Error,0,0,0,0,0,
,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,Cannot,,,,,,,,
