,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
EDAD-606-700,44,0,0,0,0,44,4,0,0,0,0,0,44,FAHRENWALD C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-606-701,50,0,0,0,0,50,4,0,0,0,0,0,50,FAHRENWALD C
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,94,0,0,0,0,94,4,0,0,0,0,0,94,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-608-700,45,5,0,0,0,50,3.9,0,0,0,0,0,50,ASLIN D
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,45,5,0,0,0,50,3.9,0,0,0,0,0,50,
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-609-700,40,1,0,3,0,44,3.772,0,0,0,0,0,44,POENITZSCH N
,90.91%,2.27%,0.00%,6.82%,0.00%,,,,,,,,,
EDAD-609-701,11,0,0,0,0,11,4,0,0,0,0,0,11,POENITZSCH N
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,51,1,0,3,0,55,3.818,0,0,0,0,0,55,
,92.73%,1.82%,0.00%,5.45%,0.00%,,,,,,,,,
EDAD-615-600,9,0,0,0,0,9,4,0,0,0,0,0,9,SAAVEDRA A
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,9,0,0,0,0,9,4,0,0,0,0,0,9,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
EDAD-624-700,38,1,1,0,0,40,3.925,4,0,0,0,0,44,WEBB-JOHNSON G
,95.00%,2.50%,2.50%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,38,1,1,0,0,40,3.925,4,0,0,0,0,44,
,95.00%,2.50%,2.50%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2020,,,,,,,,,,
,,,,,,Graduate,,,,,,,,
COLLEGE:,EDUCATION & HUMAN DEVELOPMENT,,,,,,,,,,,,,
DEPARTMENT:,EDUC ADMN & HUMAN RESOURCE DEV,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
