,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2019-2020,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-927-301,90,41,0,0,0,131,3.687,1,0,0,0,0,132,CORNELL K
,68.70%,31.30%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,90,41,0,0,0,131,3.687,1,0,0,0,0,132,
,68.70%,31.30%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-940-301,130,1,1,0,0,132,3.977,0,0,0,0,0,132,CORNELL K
,98.48%,0.76%,0.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,130,1,1,0,0,132,3.977,0,0,0,0,0,132,
,98.48%,0.76%,0.76%,0.00%,0.00%,,,,,,,,,
VMID-960-301,33,79,20,0,0,132,3.098,0,0,0,0,0,132,CORNELL K
,25.00%,59.85%,15.15%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,33,79,20,0,0,132,3.098,0,0,0,0,0,132,
,25.00%,59.85%,15.15%,0.00%,0.00%,,,,,,,,,
VMID-962-301,115,16,1,0,0,132,3.863,0,0,0,0,0,132,CORNELL K
,87.12%,12.12%,0.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,115,16,1,0,0,132,3.863,0,0,0,0,0,132,
,87.12%,12.12%,0.76%,0.00%,0.00%,,,,,,,,,
VMID-963-301,114,17,1,0,0,132,3.856,0,0,0,0,0,132,CORNELL K
,86.36%,12.88%,0.76%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,114,17,1,0,0,132,3.856,0,0,0,0,0,132,
,86.36%,12.88%,0.76%,0.00%,0.00%,,,,,,,,,
VMID-975-301,10,0,0,0,0,10,4,0,0,0,0,0,10,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-302,9,1,0,0,0,10,3.9,0,0,0,0,0,10,CORNELL K
,90.00%,10.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2019-2020,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,COLLEGE OF VETERINARY MEDICINE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VMID-975-303,9,0,1,0,0,10,3.8,0,0,0,0,0,10,CORNELL K
,90.00%,0.00%,10.00%,0.00%,0.00%,,,,,,,,,
VMID-975-304,8,1,1,0,0,10,3.7,0,0,0,0,0,10,CORNELL K
,80.00%,10.00%,10.00%,0.00%,0.00%,,,,,,,,,
VMID-975-305,10,0,0,0,0,10,4,0,0,0,0,0,10,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-306,10,0,0,0,0,10,4,0,0,0,0,0,10,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-307,10,0,0,0,0,10,4,0,0,0,0,0,10,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VMID-975-308,8,2,0,0,0,10,3.8,0,0,0,0,0,10,CORNELL K
,80.00%,20.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,74,4,2,0,0,80,3.9,0,0,0,0,0,80,
,92.50%,5.00%,2.50%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,556,158,25,0,0,739,3.718,1,0,0,0,0,740,
,75.24%,21.38%,3.38%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2019-2020,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET LARGE ANIMAL CLINICAL SC,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VLCS-940-301,99,15,1,0,0,115,3.852,0,0,0,0,0,115,CORNELL K
,86.09%,13.04%,0.87%,0.00%,0.00%,,,,,,,,,
VLCS-940-302,16,1,0,0,0,17,3.941,0,0,0,0,0,17,CORNELL K
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,115,16,1,0,0,132,3.863,0,0,0,0,0,132,
,87.12%,12.12%,0.76%,0.00%,0.00%,,,,,,,,,
VLCS-941-301,80,45,3,1,0,129,3.581,3,0,0,0,0,132,CORNELL K
,62.02%,34.88%,2.33%,0.78%,0.00%,,,,,,,,,
VLCS-941-302,13,4,0,0,0,17,3.764,0,0,0,0,0,17,CORNELL K
,76.47%,23.53%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,93,49,3,1,0,146,3.602,3,0,0,0,0,149,
,63.70%,33.56%,2.05%,0.68%,0.00%,,,,,,,,,
VLCS-945-301,16,1,0,0,0,17,3.941,0,0,0,0,0,17,CORNELL K
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-302,14,3,0,0,0,17,3.823,0,0,0,0,0,17,CORNELL K
,82.35%,17.65%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-303,17,0,0,0,0,17,4,0,0,0,0,0,17,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-304,16,1,0,0,0,17,3.941,0,0,0,0,0,17,CORNELL K
,94.12%,5.88%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-305,42,21,0,0,0,63,3.666,0,0,0,0,0,63,CORNELL K
,66.67%,33.33%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-306,59,4,0,0,0,63,3.936,0,0,0,0,0,63,CORNELL K
,93.65%,6.35%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-307,17,0,0,0,0,17,4,0,0,0,0,0,17,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,GRADE DISTRIBUTION REPORT FOR FULL YR PROFESSIONAL 2019-2020,,,,,,,,,,,
,,,,,Professional Veterinary Medicine,,,,,,,,,
COLLEGE:,VETERINARY MED & BIOMEDICAL SC,,,,,,,,,,,,,
DEPARTMENT:,VET LARGE ANIMAL CLINICAL SC,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
VLCS-945-308,40,5,0,0,0,45,3.888,1,0,0,0,0,46,CORNELL K
,88.89%,11.11%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-309,46,0,0,0,0,46,4,0,0,0,0,0,46,CORNELL K
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
VLCS-945-311,15,2,0,0,0,17,3.882,0,0,0,0,0,17,CORNELL K
,88.24%,11.76%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,282,37,0,0,0,319,3.884,1,0,0,0,0,320,
,88.40%,11.60%,0.00%,0.00%,0.00%,,,,,,,,,
DEPARTMENT TOTAL:,490,102,4,1,0,597,3.81,4,0,0,0,0,601,
,82.08%,17.09%,0.67%,0.17%,0.00%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
