,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ARCH-249-700,32,11,3,2,0,48,3.52,1,0,0,1,0,50,CAFFEY S
,66.67%,22.92%,6.25%,4.17%,0.00%,,,,,,,,,
COURSE TOTAL:,32,11,3,2,0,48,3.52,1,0,0,1,0,50,
,66.67%,22.92%,6.25%,4.17%,0.00%,,,,,,,,,
ARCH-250-700,19,6,5,1,0,31,3.387,0,0,0,1,0,32,CAMPAGNOL G
,61.29%,19.35%,16.13%,3.23%,0.00%,,,,,,,,,
COURSE TOTAL:,19,6,5,1,0,31,3.387,0,0,0,1,0,32,
,61.29%,19.35%,16.13%,3.23%,0.00%,,,,,,,,,
ARCH-331-100,0,4,1,0,4,9,1.555,0,0,0,0,0,9,NICHOLS A
,0.00%,44.44%,11.11%,0.00%,44.44%,,,,,,,,,
COURSE TOTAL:,0,4,1,0,4,9,1.555,0,0,0,0,0,9,
,0.00%,44.44%,11.11%,0.00%,44.44%,,,,,,,,,
ARCH-485-355,24,0,0,0,0,24,4,0,0,0,0,0,24,HOLLIDAY S
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,24,0,0,0,0,24,4,0,0,0,0,0,24,
,100.00%,0.00%,0.00%,0.00%,0.00%,,,,,,,,,
ARCH-603-300,9,2,0,1,0,12,3.583,0,0,0,0,0,12,LUTZ S
,75.00%,16.67%,0.00%,8.33%,0.00%,,,,,,,,,
COURSE TOTAL:,9,2,0,1,0,12,3.583,0,0,0,0,0,12,
,75.00%,16.67%,0.00%,8.33%,0.00%,,,,,,,,,
ENDS-101-200,7,0,0,0,1,8,3.5,0,0,0,0,0,8,VANEGAS J
,87.50%,0.00%,0.00%,0.00%,12.50%,,,,,,,,,
ENDS-101-700,69,1,0,0,2,72,3.875,0,0,0,0,0,72,CAFFEY S
,95.83%,1.39%,0.00%,0.00%,2.78%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,ARCHITECTURE,,,,,,,,,,,,,
DEPARTMENT:,ARCHITECTURE,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ENDS-101-G00,82,2,0,0,0,84,3.976,0,0,0,0,0,84,VANEGAS J
,97.62%,2.38%,0.00%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,158,3,0,0,3,164,3.908,0,0,0,0,0,164,
,96.34%,1.83%,0.00%,0.00%,1.83%,,,,,,,,,
ENDS-108-100,4,15,0,0,0,19,3.21,0,0,0,0,0,19,MCINTOSH N
