,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,ATMOSPHERIC SCIENCES,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
ATMO-201-299,20,27,19,3,2,71,2.845,0,0,0,1,0,72,LI Y
,28.17%,38.03%,26.76%,4.23%,2.82%,,,,,,,,,
COURSE TOTAL:,20,27,19,3,2,71,2.845,0,0,0,1,0,72,
,28.17%,38.03%,26.76%,4.23%,2.82%,,,,,,,,,
DEPARTMENT TOTAL:,20,27,19,3,2,71,2.845,0,0,0,1,0,72,
,28.17%,38.03%,26.76%,4.23%,2.82%,,,,,,,,,
,,,,,TEXAS A&M UNIVERSITY,,,,,,,,,
,,,,GRADE DISTRIBUTION REPORT FOR SUMMER 2021,,,,,,,,,,
,,,,,,Undergraduate,,,,,,,,
COLLEGE:,GEOSCIENCES,,,,,,,,,,,,,
DEPARTMENT:,GEOGRAPHY,,,,,TOTAL,,,,,,,,
SECTION,A,B,C,D,F,A - F,GPA,I,S,U,Q,X,TOTAL,INSTRUCTOR
------------,-------,-------,-------,-------,-------,-------,-----,-----,----- ----- ----- -----,,,------- -------------------,,
GEOG-201-199,37,19,1,1,0,58,3.586,1,0,0,2,0,61,THOMPSON C
,63.79%,32.76%,1.72%,1.72%,0.00%,,,,,,,,,
COURSE TOTAL:,37,19,1,1,0,58,3.586,1,0,0,2,0,61,
,63.79%,32.76%,1.72%,1.72%,0.00%,,,,,,,,,
GEOG-202-100,132,2,2,1,0,137,3.934,0,0,0,1,0,138,BRYSCH C
,96.35%,1.46%,1.46%,0.73%,0.00%,,,,,,,,,
GEOG-202-G00,34,24,6,0,0,64,3.437,0,0,0,0,0,64,SMITH J
,53.13%,37.50%,9.38%,0.00%,0.00%,,,,,,,,,
COURSE TOTAL:,166,26,8,1,0,201,3.776,0,0,0,1,0,202,
,82.59%,12.94%,3.98%,0.50%,0.00%,,,,,,,,,
GEOG-203-199,108,36,4,3,2,153,3.601,0,0,0,3,0,156,LOISEL J
,70.59%,23.53%,2.61%,1.96%,1.31%,,,,,,,,,
COURSE TOTAL:,108,36,4,3,2,153,3.601,0,0,0,3,0,156,
,70.59%,23.53%,2.61%,1.96%,1.31%,,,,,,,,,
GEOG-205-299,25,8,2,0,1,36,3.555,0,0,0,1,0,37,PROUT E
,69.44%,22.22%,5.56%,0.00%,2.78%,,,,,,,,,
COURSE TOTAL:,25,8,2,0,1,36,3.555,0,0,0,1,0,37,
,69.44%,22.22%,5.56%,0.00%,2.78%,,,,,,,,,
GEOG-213-299,20,10,4,4,7,45,2.711,0,0,0,2,0,47,FORD V
,44.44%,22.22%,8.89%,8.89%,15.56%,,,,,,,,,
COURSE TOTAL:,20,10,4,4,7,45,2.711,0,0,0,2,0,47,
,44.44%,22.22%,8.89%,8.89%,15.56%,,,,,,,,,
GEOG-304-100,24,7,4,1,0,36,3.5,0,0,0,0,0,36,BOUNDS B
